00:00 - 01:00,343,,n/e,n/e,n/e,n/e,1840,,16,,191,,n/e,n/e,n/e,n/e,n/e,n/e,,2067,4767,,1282,,n/e,n/e,37528,,n/e,n/e,n/e,n/e,0,,83,,577,,14157,
01:00 - 02:00,343,,n/e,n/e,n/e,n/e,1787,,16,,190,,n/e,n/e,n/e,n/e,n/e,n/e,,1685,4918,,1005,,n/e,n/e,37320,,n/e,n/e,n/e,n/e,0,,87,,578,,13789,
02:00 - 03:00,343,,n/e,n/e,n/e,n/e,1778,,15,,190,,n/e,n/e,n/e,n/e,n/e,n/e,,1989,4876,,936,,n/e,n/e,36954,,n/e,n/e,n/e,n/e,0,,87,,577,,12816,
03:00 - 04:00,343,,n/e,n/e,n/e,n/e,1765,,15,,191,,n/e,n/e,n/e,n/e,n/e,n/e,,1967,4863,,798,,n/e,n/e,36906,,n/e,n/e,n/e,n/e,0,,88,,576,,8031,
04:00 - 05:00,343,,n/e,n/e,n/e,n/e,1779,,15,,191,,n/e,n/e,n/e,n/e,n/e,n/e,,2687,4869,,731,,n/e,n/e,36344,,n/e,n/e,n/e,n/e,0,,93,,570,,7678,
05:00 - 06:00,342,,n/e,n/e,n/e,n/e,1766,,15,,190,,n/e,n/e,n/e,n/e,n/e,n/e,,2764,4797,,734,,n/e,n/e,36148,,n/e,n/e,n/e,n/e,0,,91,,567,,7520,
06:00 - 07:00,343,,n/e,n/e,n/e,n/e,1769,,15,,190,,n/e,n/e,n/e,n/e,n/e,n/e,,2416,4655,,760,,n/e,n/e,36740,,n/e,n/e,n/e,n/e,0,,93,,556,,7142,
07:00 - 08:00,343,,n/e,n/e,n/e,n/e,1881,,15,,190,,n/e,n/e,n/e,n/e,n/e,n/e,,2378,4682,,1058,,n/e,n/e,36510,,n/e,n/e,n/e,n/e,246,,93,,565,,6942,
08:00 - 09:00,344,,n/e,n/e,n/e,n/e,1877,,16,,190,,n/e,n/e,n/e,n/e,n/e,n/e,,2692,4811,,750,,n/e,n/e,35080,,n/e,n/e,n/e,n/e,318,,94,,542,,10361,
09:00 - 10:00,343,,n/e,n/e,n/e,n/e,1894,,16,,190,,n/e,n/e,n/e,n/e,n/e,n/e,,2615,4859,,766,,n/e,n/e,35665,,n/e,n/e,n/e,n/e,933,,94,,410,,10525,
10:00 - 11:00,343,,n/e,n/e,n/e,n/e,1896,,16,,190,,n/e,n/e,n/e,n/e,n/e,n/e,,2639,4828,,848,,n/e,n/e,36702,,n/e,n/e,n/e,n/e,2454,,96,,465,,9949,
11:00 - 12:00,343,,n/e,n/e,n/e,n/e,1894,,16,,191,,n/e,n/e,n/e,n/e,n/e,n/e,,2189,4812,,854,,n/e,n/e,36729,,n/e,n/e,n/e,n/e,4021,,95,,545,,9505,
12:00 - 13:00,343,,n/e,n/e,n/e,n/e,1914,,16,,191,,n/e,n/e,n/e,n/e,n/e,n/e,,2116,4755,,850,,n/e,n/e,37065,,n/e,n/e,n/e,n/e,4883,,93,,558,,9492,
13:00 - 14:00,342,,n/e,n/e,n/e,n/e,1898,,16,,191,,n/e,n/e,n/e,n/e,n/e,n/e,,2051,4882,,930,,n/e,n/e,36874,,n/e,n/e,n/e,n/e,4926,,93,,550,,9209,
14:00 - 15:00,342,,n/e,n/e,n/e,n/e,1867,,16,,191,,n/e,n/e,n/e,n/e,n/e,n/e,,712,5009,,1169,,n/e,n/e,37189,,n/e,n/e,n/e,n/e,4188,,92,,551,,8667,
15:00 - 16:00,343,,n/e,n/e,n/e,n/e,1870,,16,,191,,n/e,n/e,n/e,n/e,n/e,n/e,36,,5224,,1731,,n/e,n/e,38429,,n/e,n/e,n/e,n/e,2703,,93,,571,,8035,
16:00 - 17:00,343,,n/e,n/e,n/e,n/e,1870,,16,,191,,n/e,n/e,n/e,n/e,n/e,n/e,1176,,5346,,2611,,n/e,n/e,41068,,n/e,n/e,n/e,n/e,971,,95,,574,,8125,
17:00 - 18:00,343,,n/e,n/e,n/e,n/e,1884,,16,,190,,n/e,n/e,n/e,n/e,n/e,n/e,2073,,5458,,2559,,n/e,n/e,43655,,n/e,n/e,n/e,n/e,257,,96,,569,,9316,
18:00 - 19:00,343,,n/e,n/e,n/e,n/e,1888,,15,,191,,n/e,n/e,n/e,n/e,n/e,n/e,2597,,5719,,2581,,n/e,n/e,44280,,n/e,n/e,n/e,n/e,0,,96,,570,,11235,
19:00 - 20:00,342,,n/e,n/e,n/e,n/e,1884,,16,,191,,n/e,n/e,n/e,n/e,n/e,n/e,2710,,5724,,2314,,n/e,n/e,44019,,n/e,n/e,n/e,n/e,0,,94,,568,,12970,
20:00 - 21:00,342,,n/e,n/e,n/e,n/e,1910,,16,,190,,n/e,n/e,n/e,n/e,n/e,n/e,2222,,5452,,2008,,n/e,n/e,43293,,n/e,n/e,n/e,n/e,0,,98,,568,,14329,
21:00 - 22:00,342,,n/e,n/e,n/e,n/e,1900,,16,,190,,n/e,n/e,n/e,n/e,n/e,n/e,811,,5243,,1627,,n/e,n/e,42694,,n/e,n/e,n/e,n/e,0,,97,,566,,15231,
22:00 - 23:00,343,,n/e,n/e,n/e,n/e,1885,,15,,190,,n/e,n/e,n/e,n/e,n/e,n/e,892,,5217,,1692,,n/e,n/e,42717,,n/e,n/e,n/e,n/e,0,,93,,565,,15469,
23:00 - 00:00,341,,n/e,n/e,n/e,n/e,1916,,15,,190,,n/e,n/e,n/e,n/e,n/e,n/e,,107,5169,,1550,,n/e,n/e,41802,,n/e,n/e,n/e,n/e,0,,89,,568,,15712,
00:00 - 01:00,342,,n/e,n/e,n/e,n/e,1999,,15,,190,,n/e,n/e,n/e,n/e,n/e,n/e,,1559,4990,,1671,,n/e,n/e,41061,,n/e,n/e,n/e,n/e,0,,92,,568,,15931,
01:00 - 02:00,343,,n/e,n/e,n/e,n/e,1964,,15,,191,,n/e,n/e,n/e,n/e,n/e,n/e,,2928,5008,,1723,,n/e,n/e,41321,,n/e,n/e,n/e,n/e,0,,91,,568,,16148,
02:00 - 03:00,343,,n/e,n/e,n/e,n/e,1977,,15,,190,,n/e,n/e,n/e,n/e,n/e,n/e,,3023,4923,,988,,n/e,n/e,39933,,n/e,n/e,n/e,n/e,0,,94,,568,,16062,
03:00 - 04:00,342,,n/e,n/e,n/e,n/e,1986,,16,,190,,n/e,n/e,n/e,n/e,n/e,n/e,,2958,4874,,1032,,n/e,n/e,37751,,n/e,n/e,n/e,n/e,0,,96,,565,,15999,
04:00 - 05:00,343,,n/e,n/e,n/e,n/e,1995,,16,,191,,n/e,n/e,n/e,n/e,n/e,n/e,,2846,4820,,938,,n/e,n/e,37508,,n/e,n/e,n/e,n/e,0,,96,,568,,15937,
05:00 - 06:00,343,,n/e,n/e,n/e,n/e,2004,,16,,191,,n/e,n/e,n/e,n/e,n/e,n/e,,2444,4791,,1114,,n/e,n/e,38121,,n/e,n/e,n/e,n/e,0,,96,,568,,15869,
06:00 - 07:00,342,,n/e,n/e,n/e,n/e,2012,,15,,191,,n/e,n/e,n/e,n/e,n/e,n/e,,1802,4940,,1576,,n/e,n/e,42400,,n/e,n/e,n/e,n/e,0,,93,,568,,15714,
07:00 - 08:00,342,,n/e,n/e,n/e,n/e,2025,,15,,191,,n/e,n/e,n/e,n/e,n/e,n/e,,801,5289,,2027,,n/e,n/e,44249,,n/e,n/e,n/e,n/e,232,,93,,564,,15713,
08:00 - 09:00,341,,n/e,n/e,n/e,n/e,2020,,15,,190,,n/e,n/e,n/e,n/e,n/e,n/e,924,,5748,,2333,,n/e,n/e,44449,,n/e,n/e,n/e,n/e,281,,92,,568,,15712,
09:00 - 10:00,342,,n/e,n/e,n/e,n/e,2039,,16,,191,,n/e,n/e,n/e,n/e,n/e,n/e,1840,,5916,,2356,,n/e,n/e,44788,,n/e,n/e,n/e,n/e,611,,91,,568,,15932,
10:00 - 11:00,342,,n/e,n/e,n/e,n/e,2010,,15,,191,,n/e,n/e,n/e,n/e,n/e,n/e,1826,,5855,,2294,,n/e,n/e,45383,,n/e,n/e,n/e,n/e,1346,,89,,568,,16293,
11:00 - 12:00,342,,n/e,n/e,n/e,n/e,2000,,16,,191,,n/e,n/e,n/e,n/e,n/e,n/e,2262,,5877,,2260,,n/e,n/e,45568,,n/e,n/e,n/e,n/e,1971,,91,,568,,16462,
12:00 - 13:00,343,,n/e,n/e,n/e,n/e,2022,,16,,191,,n/e,n/e,n/e,n/e,n/e,n/e,2258,,5760,,2226,,n/e,n/e,45557,,n/e,n/e,n/e,n/e,2175,,91,,560,,16553,
13:00 - 14:00,342,,n/e,n/e,n/e,n/e,1993,,16,,191,,n/e,n/e,n/e,n/e,n/e,n/e,1989,,5704,,2677,,n/e,n/e,45621,,n/e,n/e,n/e,n/e,2242,,90,,562,,16784,
14:00 - 15:00,342,,n/e,n/e,n/e,n/e,1983,,16,,191,,n/e,n/e,n/e,n/e,n/e,n/e,1408,,5690,,2615,,n/e,n/e,45624,,n/e,n/e,n/e,n/e,1832,,89,,563,,16765,
15:00 - 16:00,342,,n/e,n/e,n/e,n/e,1970,,16,,191,,n/e,n/e,n/e,n/e,n/e,n/e,730,,5690,,2605,,n/e,n/e,45663,,n/e,n/e,n/e,n/e,1063,,90,,561,,16673,
16:00 - 17:00,343,,n/e,n/e,n/e,n/e,2013,,16,,191,,n/e,n/e,n/e,n/e,n/e,n/e,,27,5874,,2143,,n/e,n/e,46161,,n/e,n/e,n/e,n/e,484,,93,,564,,16576,
17:00 - 18:00,342,,n/e,n/e,n/e,n/e,2020,,16,,190,,n/e,n/e,n/e,n/e,n/e,n/e,427,,5994,,2283,,n/e,n/e,46137,,n/e,n/e,n/e,n/e,236,,93,,567,,16276,
