snapshot,HWD
2024-10-01 00:00:00,15.2833333333333
2024-10-01 01:00:00,27.845
2024-10-01 02:00:00,12.1483333333333
2024-10-01 03:00:00,15.985
2024-10-01 04:00:00,33.2033333333333
2024-10-01 05:00:00,112.225
2024-10-01 06:00:00,308.425
2024-10-01 07:00:00,470.848333333333
2024-10-01 08:00:00,479.428333333333
2024-10-01 09:00:00,412.34
2024-10-01 10:00:00,300.793333333333
2024-10-01 11:00:00,247.551666666667
2024-10-01 12:00:00,183.223333333333
2024-10-01 13:00:00,169.191666666667
2024-10-01 14:00:00,143.066666666667
2024-10-01 15:00:00,132.023333333333
2024-10-01 16:00:00,137.316666666667
2024-10-01 17:00:00,183.455
2024-10-01 18:00:00,189.435
2024-10-01 19:00:00,223.345
2024-10-01 20:00:00,235.118333333333
2024-10-01 21:00:00,223.645
2024-10-01 22:00:00,187.11
2024-10-01 23:00:00,138.471666666667
2024-10-02 00:00:00,109.253333333333
2024-10-02 01:00:00,61.9033333333333
2024-10-02 02:00:00,38.2316666666667
2024-10-02 03:00:00,33.5433333333333
2024-10-02 04:00:00,54.3066666666667
2024-10-02 05:00:00,134.05
2024-10-02 06:00:00,276.483333333333
2024-10-02 07:00:00,400.933333333333
2024-10-02 08:00:00,422.538333333333
2024-10-02 09:00:00,348.826666666667
2024-10-02 10:00:00,304.245
2024-10-02 11:00:00,257.761666666667
2024-10-02 12:00:00,200.571666666667
2024-10-02 13:00:00,172.436666666667
2024-10-02 14:00:00,138.218333333333
2024-10-02 15:00:00,125.666666666667
2024-10-02 16:00:00,126.18
2024-10-02 17:00:00,167.095
2024-10-02 18:00:00,215.371666666667
2024-10-02 19:00:00,250.288333333333
2024-10-02 20:00:00,220.345
2024-10-02 21:00:00,218.578333333333
2024-10-02 22:00:00,185.163333333333
2024-10-02 23:00:00,136.33
2024-10-03 00:00:00,98.4533333333333
2024-10-03 01:00:00,67.0933333333333
2024-10-03 02:00:00,29.7616666666667
2024-10-03 03:00:00,33.115
2024-10-03 04:00:00,48.6316666666667
2024-10-03 05:00:00,118.253333333333
2024-10-03 06:00:00,313.843333333333
2024-10-03 07:00:00,457.773333333333
2024-10-03 08:00:00,433.225
2024-10-03 09:00:00,359.8
2024-10-03 10:00:00,295.066666666667
2024-10-03 11:00:00,229.601666666667
2024-10-03 12:00:00,199.648333333333
2024-10-03 13:00:00,163.486666666667
2024-10-03 14:00:00,147.38
2024-10-03 15:00:00,141.976666666667
2024-10-03 16:00:00,141.821666666667
2024-10-03 17:00:00,152.545
2024-10-03 18:00:00,190.12
2024-10-03 19:00:00,228.781666666667
2024-10-03 20:00:00,224.708333333333
2024-10-03 21:00:00,203.033333333333
2024-10-03 22:00:00,186.51
2024-10-03 23:00:00,157.421666666667
2024-10-04 00:00:00,115.638333333333
2024-10-04 01:00:00,69.0883333333333
2024-10-04 02:00:00,39.2283333333333
2024-10-04 03:00:00,34.485
2024-10-04 04:00:00,50.075
2024-10-04 05:00:00,120.215
2024-10-04 06:00:00,286.478333333333
2024-10-04 07:00:00,428.663333333333
2024-10-04 08:00:00,424.016666666667
2024-10-04 09:00:00,357.305
2024-10-04 10:00:00,290.106666666667
2024-10-04 11:00:00,266.411666666667
2024-10-04 12:00:00,194.338333333333
2024-10-04 13:00:00,159.14
2024-10-04 14:00:00,146.065
2024-10-04 15:00:00,136.165
2024-10-04 16:00:00,140.431666666667
2024-10-04 17:00:00,175.8
2024-10-04 18:00:00,204.83
2024-10-04 19:00:00,262.271666666667
2024-10-04 20:00:00,239.296666666667
2024-10-04 21:00:00,201.488333333333
2024-10-04 22:00:00,177.651666666667
2024-10-04 23:00:00,122.906666666667
2024-10-05 00:00:00,112.381666666667
2024-10-05 01:00:00,82.6883333333333
2024-10-05 02:00:00,57.9466666666667
2024-10-05 03:00:00,48.7883333333333
2024-10-05 04:00:00,46.1983333333333
2024-10-05 05:00:00,120.238333333333
2024-10-05 06:00:00,289.07
2024-10-05 07:00:00,444.646666666667
2024-10-05 08:00:00,443.971666666667
2024-10-05 09:00:00,371.173333333333
2024-10-05 10:00:00,327.533333333333
2024-10-05 11:00:00,279.745
2024-10-05 12:00:00,223.983333333333
2024-10-05 13:00:00,195.595
2024-10-05 14:00:00,155.951666666667
2024-10-05 15:00:00,153.05
2024-10-05 16:00:00,146.746666666667
2024-10-05 17:00:00,202.096666666667
2024-10-05 18:00:00,242.943333333333
2024-10-05 19:00:00,248.403333333333
2024-10-05 20:00:00,284.075
2024-10-05 21:00:00,280.005
2024-10-05 22:00:00,252.645
2024-10-05 23:00:00,205.131666666667
