00:00 - 01:00,39,,102,,n/e,n/e,176,,0,,47,,n/e,n/e,n/e,n/e,n/e,n/e,,31,328,,2,,n/e,n/e,1977,,142,,44,,0,,n/e,n/e,n/e,n/e,1,
01:00 - 02:00,38,,104,,n/e,n/e,178,,0,,47,,n/e,n/e,n/e,n/e,n/e,n/e,,125,252,,2,,n/e,n/e,1979,,141,,45,,0,,n/e,n/e,n/e,n/e,1,
02:00 - 03:00,37,,104,,n/e,n/e,183,,0,,47,,n/e,n/e,n/e,n/e,n/e,n/e,,233,247,,2,,n/e,n/e,1976,,142,,45,,0,,n/e,n/e,n/e,n/e,2,
03:00 - 04:00,37,,104,,n/e,n/e,177,,0,,47,,n/e,n/e,n/e,n/e,n/e,n/e,,391,244,,2,,n/e,n/e,1981,,139,,45,,0,,n/e,n/e,n/e,n/e,2,
04:00 - 05:00,37,,104,,n/e,n/e,175,,0,,47,,n/e,n/e,n/e,n/e,n/e,n/e,,311,243,,2,,n/e,n/e,1984,,138,,45,,0,,n/e,n/e,n/e,n/e,2,
05:00 - 06:00,38,,104,,n/e,n/e,177,,0,,47,,n/e,n/e,n/e,n/e,n/e,n/e,,505,241,,2,,n/e,n/e,1984,,137,,45,,0,,n/e,n/e,n/e,n/e,2,
06:00 - 07:00,39,,104,,n/e,n/e,178,,0,,47,,n/e,n/e,n/e,n/e,n/e,n/e,,308,240,,2,,n/e,n/e,1984,,137,,45,,0,,n/e,n/e,n/e,n/e,1,
07:00 - 08:00,41,,101,,n/e,n/e,174,,0,,42,,n/e,n/e,n/e,n/e,n/e,n/e,,210,221,,2,,n/e,n/e,1991,,130,,45,,0,,n/e,n/e,n/e,n/e,1,
08:00 - 09:00,36,,100,,n/e,n/e,174,,0,,39,,n/e,n/e,n/e,n/e,n/e,n/e,,214,361,,0,,n/e,n/e,1957,,128,,45,,0,,n/e,n/e,n/e,n/e,1,
09:00 - 10:00,36,,103,,n/e,n/e,186,,0,,46,,n/e,n/e,n/e,n/e,n/e,n/e,,19,423,,0,,n/e,n/e,1927,,142,,45,,7,,n/e,n/e,n/e,n/e,1,
10:00 - 11:00,36,,104,,n/e,n/e,183,,0,,49,,n/e,n/e,n/e,n/e,n/e,n/e,,14,414,,0,,n/e,n/e,1980,,142,,45,,22,,n/e,n/e,n/e,n/e,2,
11:00 - 12:00,36,,104,,n/e,n/e,179,,0,,49,,n/e,n/e,n/e,n/e,n/e,n/e,,14,419,,0,,n/e,n/e,1982,,144,,44,,47,,n/e,n/e,n/e,n/e,1,
12:00 - 13:00,38,,104,,n/e,n/e,175,,0,,49,,n/e,n/e,n/e,n/e,n/e,n/e,,14,413,,0,,n/e,n/e,1980,,145,,42,,74,,n/e,n/e,n/e,n/e,1,
13:00 - 14:00,38,,105,,n/e,n/e,172,,0,,49,,n/e,n/e,n/e,n/e,n/e,n/e,,12,413,,0,,n/e,n/e,1980,,144,,42,,84,,n/e,n/e,n/e,n/e,0,
