Date;BRP;Unit;Production Unit Type;Pmax available;Fuel code
2023-01-01;Electrabel;BEERSE TJ;TJ;32.0;LF
2023-01-01;Electrabel;BEVERCE 1;HU;2.9;WA
2023-01-01;Electrabel;BEVERCE 2;HU;2.9;WA
2023-01-01;Electrabel;CIERREUX TJ;TJ;18.0;LF
2023-01-01;Electrabel;DROGENBOS DM 52;D;2.5;LF
2023-01-01;Electrabel;Kristal _ Solar _ Park;;99.0;Other
2023-01-01;Luminus;RINGVAART STEG;CCGT;385.0;NG
2023-01-01;Luminus;HAM32;GT;58.0;NG
2023-01-01;Luminus;HU ANDENNE;;9.0;WA
2023-01-01;Luminus;HU FLORIFFOUX;;0.8;WA
2023-01-01;Luminus;HU IVOZ-RAMET;;10.0;WA
2023-01-01;Luminus;HU LIXHE;HU;20.0;WA
2023-01-01;Luminus;Nobelwind Offshore Windpark;;165.0;WI
2023-01-01;Next Kraftwerke;INESCO GT1;;44.8;NG
2023-01-01;Next Kraftwerke;ZEEBRUGGE WIND;;12.0;WI
2023-01-01;TotalEnergies Gas & Power;Wilmarsdonk Total GT2;WKK;43.0;NG
2023-01-01;Yuso;Deux-Acren Energy Storage;;50.0;Other
2023-01-01;Luminus;ANGLEUR TGV3;CCGT;50.0;NG
2023-01-01;Electrawinds Distributie;Electrawinds biomassa Oostende;WKK;18.0;Other
2023-01-01;Eneco Energy Trade;Seastar Offshore WP;;252.0;WI
2023-01-01;Electrabel;Zeebrugge TJ;TJ;18.0;LF
2023-01-01;Lampiris;Rentel Offshore WP;;307.0;WI
2023-01-01;Luminus;ANGLEUR TG 41;GT;64.0;NG
2023-01-01;Lampiris;Eurosilo;WKK;12.9;NG
2023-01-01;Electrabel;Infrabel Avernas Greensky Wind;;32.0;WI
2023-01-01;Electrabel;IVBO;IS;16.0;Other
2023-01-01;Electrabel;LANGERBRUGGE STORA ST 2;WKK;44.7;Other
2023-01-01;Electrabel;Lillo Degussa GT1;WKK;43.0;NG
2023-01-01;Electrabel;Lillo Degussa ST;WKK;10.0;NG
2023-01-01;Electrabel;Schaerbeek Siomab ST1;IS;15.0;Other
2023-01-01;Electrabel;Schaerbeek Siomab ST3;IS;15.0;Other
2023-01-01;Electrabel;TIHANGE 1N;NU;481.0;NU
2023-01-01;Electrabel;TIHANGE 2;NU;1008.0;NU
2023-01-01;Electrabel;VILVOORDE GT;;264.0;NG
2023-01-01;Electrabel;HERDERSBRUG GT2;;156.3;NG
2023-01-01;Axpo Solutions;Froidchapelle Wind;;25.0;WI
2023-01-01;Axpo Solutions;Windvision Estinnes WIND;;81.2;WI
2023-01-01;Electrabel;Amercoeur 1 R ST;;162.0;NG
2023-01-01;Electrabel;ArcelorMittal Belgium Gent Wind EBL;;17.3;WI
2023-01-01;Electrabel;BUTGENBACH;HU;1.8;WA
2023-01-01;Electrabel;COO II T;;690.0;WA
2023-01-01;Electrabel;DOEL 4;NU;1039.0;NU
2023-01-01;Electrabel;DROGENBOS GT1;;150.0;NG
2023-01-01;Electrabel;DROGENBOS ST;;160.0;NG
2023-01-01;Electrabel;VILVOORDE ST;;121.0;NG
2023-01-01;Electrabel;Zandvliet Power;CCGT;386.2;NG
2023-01-01;Luminus;EDF Luminus Seraing GT2;;150.0;NG
2023-01-01;Luminus;HAM31;GT;58.0;NG
2023-01-01;Luminus;HU MONSIN;;19.7;WA
2023-01-01;Luminus;SERAING TV;;170.0;NG
2023-01-01;Luminus;EDF Luminus Izegem WKK;WKK;20.0;NG
2023-01-01;Next Kraftwerke;INESCO GT2;;44.8;NG
2023-01-01;Next Kraftwerke;INESCO ST;;48.5;NG
2023-01-01;RWE Supply & Trading;Northwester 2;;219.1;WI
2023-01-01;RWE Supply & Trading;Thorntonbank - C-Power - Area NE;;147.6;WI
2023-01-01;Electrabel;Zedelgem TJ;TJ;18.0;LF
2023-01-01;TotalEnergies Gas & Power;Wilmarsdonk Total GT3;WKK;43.0;NG
2023-01-01;TotalEnergies Gas & Power;Wilmarsdonk Total GT1;WKK;43.0;NG
2023-01-01;Luminus;EDF Luminus Ham GT;;43.0;NG
2023-01-01;Flexcity Belgium;Beveren 2 Indaver;IS;21.0;Other
2023-01-01;Electrabel;Zeebrugge 2 Fluxys;WKK;40.0;NG
2023-01-01;Electrabel;Zelzate 2 Knippegroen;CL;315.0;Other
2023-01-01;Electrabel;Zelzate TJ;TJ;18.0;LF
2023-01-01;Eneco Energy Trade;Mermaid Offshore WP;;235.2;WI
2023-01-01;Eneco Energy Trade;Thorntonbank - C-Power - Area SW;;177.6;WI
2023-01-01;Eneco Energy Trade;WM Park Powerport Zeebrugge;;12.0;WI
2023-01-01;Flexcity Belgium;Beveren 3 Indaver;IS;24.0;Other
2023-01-01;Lampiris;Incinerateur THUMAIDE (IPALLE);IS;34.0;Other
2023-01-01;Flexcity Belgium;Beveren Sleco;IS;41.0;Other
2023-01-01;Lampiris;PLATE-TAILLE T;;144.0;WA
2023-01-01;Flexcity Belgium;Jemeppe-sur-Sambre ST;;10.0;NG
2023-01-01;Flexcity Belgium;Jemeppe-sur-Sambre GT2;;48.0;NG
2023-01-01;Flexcity Belgium;Jemeppe-sur-Sambre GT1;;48.0;NG
2023-01-01;Lampiris;Aspiravi N49 Assenede;;12.0;WI
2022-01-01;Electrabel;Northwind;;216.0;WI
2022-01-01;Electrabel;Noordschote TJ;TJ;18.0;LF
2022-01-01;Electrabel;Lanaken Sappi;WKK;43.0;NG
2022-01-01;Electrabel;La Vierre;;1.9;WA
2022-01-01;Electrabel;Oud-Lillo Monsanto;WKK;43.0;NG
2022-01-01;Electrabel;SAINT-GHISLAIN STEG;CCGT;350.0;NG
2022-01-01;Electrabel;Schaerbeek Siomab ST2;IS;15.0;Other
2022-01-01;Electrabel;Scheldelaan Exxonmobil;WKK;140.0;NG
2022-01-01;Electrabel;TIHANGE 1N;NU;481.0;NU
2022-01-01;Electrabel;TIHANGE 3;NU;1038.0;NU
2022-01-01;Axpo Solutions;Windvision Estinnes WIND;;81.2;WI
2022-01-01;Electrabel;Aalst Syral GT;WKK;43.0;NG
2022-01-01;Electrabel;AALTER TJ;TJ;18.0;LF
2022-01-01;Electrabel;BEERSE TJ;TJ;32.0;LF
2022-01-01;Electrabel;Belwind Phase 1;;171.0;WI
2022-01-01;Electrabel;BUTGENBACH;HU;1.8;WA
2022-01-01;Electrabel;DROGENBOS DM 51;D;2.5;LF
2022-01-01;Electrabel;DROGENBOS DM 52;D;2.5;LF
2022-01-01;Electrabel;Wilmarsdonk Total GT1;WKK;43.0;NG
2022-01-01;Luminus;EDF Luminus Ham GT;;43.0;NG
2022-01-01;Luminus;EDF Luminus Seraing GT1;;150.0;NG
2022-01-01;Luminus;HU AMPSIN-NEUVILLE;;9.9;WA
2022-01-01;Luminus;HU GRAND-MALADES;;5.0;WA
2022-01-01;Luminus;RINGVAART STEG;CCGT;385.0;NG
2022-01-01;Luminus;SERAING TV;;170.0;NG
2022-01-01;RWE Supply & Trading;Biostoom Oostende;CCGT;19.4;Other
2022-01-01;RWE Supply & Trading;INESCO WKK;CCGT;138.0;NG
2022-01-01;Luminus;Beveren 2 Indaver;IS;21.0;Other
2022-01-01;Eneco Energy Trade;Thorntonbank - C-Power - Area SW;;177.6;WI
2022-01-01;Electrabel;Zwijndrecht Lanxess GT;WKK;43.0;NG
2022-01-01;Electrabel;Zwijndrecht Lanxess ST;WKK;15.0;NG
2022-01-01;Electrabel;Zedelgem TJ;TJ;18.0;LF
2022-01-01;Eneco Energy Trade;WM Park Powerport Zeebrugge;;12.0;WI
2022-01-01;Lampiris;Aspiravi N49 Assenede;;12.0;WI
2022-01-01;Lampiris;Eurosilo;WKK;12.9;NG
2022-01-01;Lampiris;Aspiravi Wuustwezel;;27.6;WI
2022-01-01;Lampiris;Incinerateur THUMAIDE (IPALLE);IS;34.0;Other
2022-01-01;Electrabel;LANGERBRUGGE STORA ST 2;WKK;44.7;Other
2022-01-01;Electrabel;LANGERBRUGGE STORA ST 1;WKK;11.0;Other
2022-01-01;Electrabel;IXELLES TJ;TJ;18.0;LF
2022-01-01;Electrabel;Oorderen Bayer;WKK;43.0;NG
2022-01-01;Electrabel;Schaerbeek Siomab ST3;IS;15.0;Other
2022-01-01;Electrabel;RODENHUIZE 4;CL;268.0;Other
2022-01-01;Electrabel;IVBO;IS;16.0;Other
2022-01-01;Electrabel;CIERREUX TJ;TJ;18.0;LF
2022-01-01;Electrabel;ICO Windpark Zeebrugge;;44.0;WI
2022-01-01;Electrabel;Beveren Ineos Phenolchemie;WKK;23.8;NG
2022-01-01;Electrabel;Wilmarsdonk Total GT2;WKK;43.0;NG
2022-01-01;Electrabel;Aalst Syral ST;WKK;5.0;NG
2022-01-01;Electrabel;HERDERSBRUG STEG;CCGT;465.0;NG
2022-01-01;Electrabel;COO II T;;690.0;WA
2022-01-01;Electrabel;DOEL 3;NU;1006.0;NU
2022-01-01;Electrabel;DOEL 4;NU;1039.0;NU
2022-01-01;Electrabel;Wilmarsdonk Total GT3;WKK;43.0;NG
2022-01-01;Luminus;EDF Luminus Izegem WKK;WKK;20.0;NG
2022-01-01;Luminus;HAM32;GT;58.0;NG
2022-01-01;Luminus;Jemeppe-sur-Sambre GT2;;48.0;NG
2022-01-01;Luminus;Beveren 3 Indaver;IS;24.0;Other
2022-01-01;Luminus;Jemeppe-sur-Sambre ST;;10.0;NG
2022-01-01;Luminus;ZEEBRUGGE WIND;;12.0;WI
2022-01-01;RWE Supply & Trading;Thorntonbank - C-Power - Area NE;;147.6;WI
2022-01-01;Luminus;Beveren Sleco;IS;41.0;Other
2022-01-01;Luminus;HU IVOZ-RAMET;;10.0;WA
2022-01-01;Electrabel;Zeebrugge TJ;TJ;18.0;LF
2022-01-01;Electrawinds Distributie;Greenpower Oostende;IS;20.3;Other
2022-01-01;Eneco Energy Trade;Seastar Offshore WP;;252.0;WI
2022-01-01;Lampiris;PLATE-TAILLE T;;144.0;WA
2022-01-01;Luminus;ANGLEUR TG 42;GT;64.0;NG
2022-01-01;Luminus;ANGLEUR TG 41;GT;64.0;NG
2022-01-01;Lampiris;Rentel Offshore WP;;307.0;WI
2022-01-01;Lampiris;Intradel Herstal;IS;30.0;Other
2022-01-01;Electrabel;Lillo Degussa GT2;WKK;32.0;NG
2022-01-01;Electrabel;Norther Offshore WP;;369.6;WI
2022-01-01;Electrabel;Lillo Degussa ST;WKK;10.0;NG
2022-01-01;Electrabel;Lillo Degussa GT1;WKK;43.0;NG
2022-01-01;Electrabel;Schaerbeek Siomab ST1;IS;15.0;Other
2022-01-01;Electrabel;TIHANGE 1S;NU;481.0;NU
2022-01-01;Electrabel;TIHANGE 2;NU;1008.0;NU
2022-01-01;Electrabel;Turon TJ;TJ;18.6;LF
2022-01-01;Electrabel;Infrabel Avernas Greensky Wind;;32.0;WI
2022-01-01;Electrabel;VILVOORDE GT;;264.0;NG
2022-01-01;Axpo Solutions;Froidchapelle Wind;;25.0;WI
2022-01-01;DIRECT ENERGIE;Marcinelle Energie (Carsid);CCGT;413.0;NG
2022-01-01;Electrabel;Amercoeur 1 R TGV;CCGT;451.0;NG
2022-01-01;Electrabel;ArcelorMittal Belgium Gent Wind;;33.5;WI
2022-01-01;Electrabel;COO I T;;474.0;WA
2022-01-01;Electrabel;DOEL 1;NU;445.0;NU
2022-01-01;Electrabel;DOEL 2;NU;445.0;NU
2022-01-01;Electrabel;DROGENBOS GT1;;150.0;NG
2022-01-01;Electrabel;DROGENBOS GT2;;150.0;NG
2022-01-01;Electrabel;DROGENBOS ST;;160.0;NG
2022-01-01;Luminus;EDF Luminus Seraing GT2;;150.0;NG
2022-01-01;Luminus;Jemeppe-sur-Sambre GT1;;48.0;NG
2022-01-01;Luminus;HAM31;GT;58.0;NG
2022-01-01;Luminus;HU ANDENNE;;9.0;WA
2022-01-01;Luminus;HU FLORIFFOUX;;0.8;WA
2022-01-01;Luminus;HU LIXHE;HU;20.0;WA
2022-01-01;Luminus;HU MONSIN;;19.7;WA
2022-01-01;Luminus;Nobelwind Offshore Windpark;;165.0;WI
2022-01-01;RWE Supply & Trading;Northwester 2;;219.1;WI
2022-01-01;RWE Supply & Trading;T-power Beringen;CCGT;422.0;NG
2022-01-01;Electrabel;Wilrijk Isvag;IS;12.0;Other
2022-01-01;Electrabel;Zandvliet Power;CCGT;386.2;NG
2022-01-01;Luminus;ANGLEUR TG32;;25.0;NG
2022-01-01;Electrabel;Zeebrugge 2 Fluxys;WKK;40.0;NG
2022-01-01;Electrabel;Zelzate 2 Knippegroen;CL;315.0;Other
2022-01-01;Electrabel;Zelzate TJ;TJ;18.0;LF
2022-01-01;Electrawinds Distributie;Electrawinds biomassa Oostende;WKK;18.0;Other
2022-01-01;Eneco Energy Trade;Mermaid Offshore WP;;237.0;WI
2022-01-01;Luminus;ANGLEUR TG31;;25.0;NG
2021-01-01;Electrabel;Lillo Degussa ST;WKK;10.0;NG
2021-01-01;Electrabel;Noordschote TJ;TJ;18.0;LF
2021-01-01;Electrabel;LANGERBRUGGE STORA ST 2;WKK;44.7;Other
2021-01-01;Electrabel;LANGERBRUGGE STORA ST 1;WKK;11.0;Other
2021-01-01;Electrabel;Oud-Lillo Monsanto;WKK;43.0;NG
2021-01-01;Electrabel;Scheldelaan Exxonmobil;WKK;140.0;NG
2021-01-01;Electrabel;TIHANGE 2;NU;1008.0;NU
2021-01-01;Electrabel;Infrabel Avernas Greensky Wind;;32.0;WI
2021-01-01;Electrabel;ICO Windpark Zeebrugge;;44.0;WI
2021-01-01;Electrabel;Wilmarsdonk Total GT2;WKK;43.0;NG
2021-01-01;Electrabel;AALTER TJ;TJ;18.0;LF
2021-01-01;Electrabel;BEERSE TJ;TJ;32.0;LF
2021-01-01;Electrabel;Belwind Phase 1;;171.0;WI
2021-01-01;Electrabel;COO II T;;690.0;WA
2021-01-01;Electrabel;DOEL 4;NU;1039.0;NU
2021-01-01;Electrabel;HERDERSBRUG STEG;CCGT;465.0;NG
2021-01-01;Electrabel;Wilmarsdonk Total GT3;WKK;43.0;NG
2021-01-01;Luminus;EDF Luminus Izegem WKK;WKK;20.0;NG
2021-01-01;Luminus;EDF Luminus Seraing GT1;;150.0;NG
2021-01-01;Luminus;HAM31;GT;58.0;NG
2021-01-01;Luminus;HU AMPSIN-NEUVILLE;;9.9;WA
2021-01-01;Luminus;HU ANDENNE;;9.0;WA
2021-01-01;Luminus;Beveren 3 Indaver;IS;24.0;Other
2021-01-01;Luminus;Jemeppe-sur-Sambre GT2;;48.0;NG
2021-01-01;Luminus;RINGVAART STEG;CCGT;385.0;NG
2021-01-01;Luminus;SERAING TV;;170.0;NG
2021-01-01;RWE Supply & Trading;INESCO WKK;CCGT;138.0;NG
2021-01-01;RWE Supply & Trading;T-power Beringen;CCGT;422.0;NG
2021-01-01;Electrabel;Zeebrugge 2 Fluxys;WKK;40.0;NG
2021-01-01;Eneco Energy Trade;Mermaid Offshore WP;;237.0;WI
2021-01-01;Electrabel;Zwijndrecht Lanxess ST;WKK;15.0;NG
2021-01-01;Lampiris;Aspiravi N49 Assenede;;12.0;WI
2021-01-01;Lampiris;Aspiravi Wuustwezel;;23.0;WI
2021-01-01;Luminus;ANGLEUR TG31;;25.0;NG
2021-01-01;Lampiris;Eurosilo;WKK;12.9;NG
2021-01-01;Lampiris;Intradel Herstal;IS;34.0;Other
2021-01-01;Luminus;ANGLEUR TG 41;GT;64.0;NG
2021-01-01;Luminus;ANGLEUR TG 42;GT;64.0;NG
2021-01-01;Electrabel;Northwind;;216.0;WI
2021-01-01;Electrabel;Norther Offshore WP;;369.6;WI
2021-01-01;Electrabel;La Vierre;;1.9;WA
2021-01-01;Electrabel;Lillo Degussa GT1;WKK;43.0;NG
2021-01-01;Electrabel;RODENHUIZE 4;CL;268.0;Other
2021-01-01;Electrabel;Lanaken Sappi;WKK;43.0;NG
2021-01-01;Electrabel;Schaerbeek Siomab ST3;IS;15.0;Other
2021-01-01;Electrabel;RODENHUIZE WIND;;4.5;WI
2021-01-01;Electrabel;SAINT-GHISLAIN STEG;CCGT;350.0;NG
2021-01-01;Electrabel;Schaerbeek Siomab ST1;IS;15.0;Other
2021-01-01;Electrabel;Schaerbeek Siomab ST2;IS;15.0;Other
2021-01-01;Electrabel;TIHANGE 1N;NU;481.0;NU
2021-01-01;Electrabel;VILVOORDE GT;;255.0;NG
2021-01-01;DIRECT ENERGIE;Marcinelle Energie (Carsid);CCGT;413.0;NG
2021-01-01;Electrabel;Amercoeur 1 R TGV;CCGT;451.0;NG
2021-01-01;Electrabel;ArcelorMittal Belgium Gent Wind;;33.5;WI
2021-01-01;Electrabel;Beveren Ineos Phenolchemie;WKK;23.8;NG
2021-01-01;Electrabel;BUTGENBACH;HU;1.8;WA
2021-01-01;Electrabel;DOEL 1;NU;445.0;NU
2021-01-01;Electrabel;DOEL 2;NU;445.0;NU
2021-01-01;Electrabel;DOEL 3;NU;1006.0;NU
2021-01-01;Electrabel;DROGENBOS GT1;;150.0;NG
2021-01-01;Electrabel;DROGENBOS GT2;;150.0;NG
2021-01-01;Electrabel;DROGENBOS ST;;160.0;NG
2021-01-01;Electrabel;Wilmarsdonk Total GT1;WKK;43.0;NG
2021-01-01;Luminus;HU LIXHE;HU;20.0;WA
2021-01-01;Luminus;HU MONSIN;;19.7;WA
2021-01-01;Luminus;EDF Luminus Ham GT;;43.0;NG
2021-01-01;Luminus;EDF Luminus Seraing GT2;;150.0;NG
2021-01-01;Luminus;HAM32;GT;58.0;NG
2021-01-01;Luminus;HU FLORIFFOUX;;0.8;WA
2021-01-01;Luminus;Jemeppe-sur-Sambre GT1;;48.0;NG
2021-01-01;Luminus;Nobelwind Offshore Windpark;;165.0;WI
2021-01-01;Luminus;ZEEBRUGGE WIND;;12.0;WI
2021-01-01;RWE Supply & Trading;Biostoom Oostende;CCGT;19.4;Other
2021-01-01;RWE Supply & Trading;Northwester 2;;219.1;WI
2021-01-01;Electrabel;Wilrijk Isvag;IS;12.0;Other
2021-01-01;Luminus;Beveren Sleco;IS;41.0;Other
2021-01-01;RWE Supply & Trading;Thorntonbank - C-Power - Area NE;;147.6;WI
2021-01-01;Luminus;Beveren 2 Indaver;IS;21.0;Other
2021-01-01;Eneco Energy Trade;Thorntonbank - C-Power - Area SW;;177.6;WI
2021-01-01;Electrabel;Zandvliet Power;CCGT;386.2;NG
2021-01-01;Electrabel;Zelzate 2 Knippegroen;CL;315.0;Other
2021-01-01;Electrabel;Zwijndrecht Lanxess GT;WKK;43.0;NG
2021-01-01;Electrawinds Distributie;Greenpower Oostende;IS;20.3;Other
2021-01-01;Lampiris;Rentel Offshore WP;;307.0;WI
2021-01-01;Eneco Energy Trade;WM Park Powerport Zeebrugge;;12.0;WI
2021-01-01;Electrabel;Oorderen Bayer;WKK;43.0;NG
2021-01-01;Electrabel;Lillo Degussa GT2;WKK;32.0;NG
2021-01-01;Electrabel;TIHANGE 1S;NU;481.0;NU
2021-01-01;Electrabel;TIHANGE 3;NU;1038.0;NU
2021-01-01;Electrabel;Turon TJ;TJ;18.6;LF
2021-01-01;Electrabel;IVBO;IS;16.0;Other
2021-01-01;Electrabel;IXELLES TJ;TJ;18.0;LF
2021-01-01;Axpo Solutions;Froidchapelle Wind;;25.0;WI
2021-01-01;Axpo Solutions;Windvision Estinnes WIND;;81.2;WI
2021-01-01;Electrabel;Aalst Syral GT;WKK;43.0;NG
2021-01-01;Electrabel;Aalst Syral ST;WKK;5.0;NG
2021-01-01;Electrabel;CIERREUX TJ;TJ;18.0;LF
2021-01-01;Electrabel;COO I T;;474.0;WA
2021-01-01;Electrabel;DROGENBOS DM 51;D;2.5;LF
2021-01-01;Electrabel;DROGENBOS DM 52;D;2.5;LF
2021-01-01;Luminus;HU GRAND-MALADES;;5.0;WA
2021-01-01;Luminus;HU IVOZ-RAMET;;10.0;WA
2021-01-01;Luminus;Jemeppe-sur-Sambre ST;;10.0;NG
2021-01-01;Luminus;ANGLEUR TG32;;25.0;NG
2021-01-01;Electrabel;Zedelgem TJ;TJ;18.0;LF
2021-01-01;Electrabel;Zeebrugge TJ;TJ;18.0;LF
2021-01-01;Electrabel;Zelzate TJ;TJ;18.0;LF
2021-01-01;Electrawinds Distributie;Electrawinds biomassa Oostende;WKK;18.0;Other
2021-01-01;Eneco Energy Trade;Seastar Offshore WP;;252.0;WI
2021-01-01;Lampiris;Incinerateur THUMAIDE (IPALLE);IS;34.0;Other
2021-01-01;Lampiris;PLATE-TAILLE T;;144.0;WA
2020-01-01;Electrabel;Lanaken Sappi;WKK;43.0;NG
2020-01-01;Electrabel;Oorderen Bayer;WKK;43.0;NG
2020-01-01;Electrabel;Northwind;;216.0;WI
2020-01-01;Electrabel;LANGERBRUGGE STORA ST 1;WKK;11.0;Other
2020-01-01;Electrabel;Lillo Degussa GT1;WKK;43.0;NG
2020-01-01;Electrabel;RODENHUIZE 4;CL;268.0;Other
2020-01-01;Electrabel;Oud-Lillo Monsanto;WKK;43.0;NG
2020-01-01;Electrabel;SCHELLE WIND;;4.5;WI
2020-01-01;Electrabel;TIHANGE 1S;NU;481.0;NU
2020-01-01;Electrabel;TIHANGE 2;NU;1008.0;NU
2020-01-01;Electrabel;Turon TJ;TJ;18.6;LF
2020-01-01;Electrabel;La Vierre;;1.9;WA
2020-01-01;Electrabel;COO II T;;690.0;WA
2020-01-01;Electrabel;IVBO;IS;16.0;Other
2020-01-01;DIRECT ENERGIE;Marcinelle Energie (Carsid);CCGT;413.0;NG
2020-01-01;Electrabel;Aalst Syral GT;WKK;43.0;NG
2020-01-01;Electrabel;ArcelorMittal Belgium Gent Wind;;33.5;WI
2020-01-01;Electrabel;Belwind Phase 1;;171.0;WI
2020-01-01;Electrabel;DOEL 2;NU;433.0;NU
2020-01-01;Electrabel;DOEL 3;NU;1006.0;NU
2020-01-01;Electrabel;DOEL 4;NU;1039.0;NU
2020-01-01;Electrabel;VILVOORDE GT;;255.0;NG
2020-01-01;Luminus;Jemeppe-sur-Sambre GT1;;48.0;NG
2020-01-01;Luminus;EDF Luminus Seraing GT2;;150.0;NG
2020-01-01;Luminus;HAM31;GT;58.0;NG
2020-01-01;Luminus;HAM32;GT;58.0;NG
2020-01-01;Luminus;HU IVOZ-RAMET;;10.0;WA
2020-01-01;Luminus;HU LIXHE;HU;20.0;WA
2020-01-01;Luminus;Jemeppe-sur-Sambre GT2;;48.0;NG
2020-01-01;Electrabel;Wilmarsdonk Total GT3;WKK;43.0;NG
2020-01-01;RWE Supply & Trading;Biostoom Oostende;CCGT;19.4;Other
2020-01-01;RWE Supply & Trading;INESCO WKK;CCGT;138.0;NG
2020-01-01;RWE Supply & Trading;Thorntonbank - C-Power - Area NE;;147.6;WI
2020-01-01;Luminus;ZEEBRUGGE WIND;;12.0;WI
2020-01-01;Luminus;Beveren Sleco;IS;41.0;Other
2020-01-01;Eneco Energy Trade;Windvision Estinnes WIND;;80.0;WI
2020-01-01;Eneco Energy Trade;Thorntonbank - C-Power - Area SW;;177.6;WI
2020-01-01;Luminus;ANGLEUR TG 41;GT;64.0;NG
2020-01-01;Lampiris;Aspiravi N49 Assenede;;12.0;WI
2020-01-01;Luminus;ANGLEUR TG31;;25.0;NG
2020-01-01;Lampiris;Aspiravi Wuustwezel;;23.0;WI
2020-01-01;Electrabel;Norther Offshore WP;;369.6;WI
2020-01-01;Electrabel;LANGERBRUGGE STORA ST 2;WKK;44.7;Other
2020-01-01;Electrabel;TIHANGE 3;NU;1038.0;NU
2020-01-01;Electrabel;RODENHUIZE WIND;;4.5;WI
2020-01-01;Electrabel;SAINT-GHISLAIN STEG;CCGT;350.0;NG
2020-01-01;Electrabel;Schaerbeek Siomab ST1;IS;15.0;Other
2020-01-01;Electrabel;Scheldelaan Exxonmobil;WKK;140.0;NG
2020-01-01;Electrabel;TIHANGE 1N;NU;481.0;NU
2020-01-01;Electrabel;IXELLES TJ;TJ;18.0;LF
2020-01-01;Electrabel;Infrabel Avernas Greensky Wind;;32.0;WI
2020-01-01;Axpo Solutions;Froidchapelle Wind;;25.0;WI
2020-01-01;Electrabel;Wilmarsdonk Total GT1;WKK;43.0;NG
2020-01-01;Electrabel;Aalst Syral ST;WKK;5.0;NG
2020-01-01;Electrabel;AALTER TJ;TJ;18.0;LF
2020-01-01;Electrabel;DROGENBOS ST;;160.0;NG
