Date;BRP;Unit;Production Unit Type;Pmax available;Fuel code
2023-01-01;Yuso;Ruien Energy Storage;;25.1;Other
2023-01-01;Electrabel;HERDERSBRUG ST;;167.0;NG
2023-01-01;Electrabel;Lanaken Sappi;WKK;43.0;NG
2023-01-01;Electrabel;LANGERBRUGGE STORA ST 1;WKK;11.0;Other
2023-01-01;Electrabel;Lillo Degussa GT2;WKK;32.0;NG
2023-01-01;Electrabel;Oorderen Bayer;WKK;43.0;NG
2023-01-01;Electrabel;Oud-Lillo Monsanto;WKK;43.0;NG
2023-01-01;Electrabel;SAINT-GHISLAIN STEG;CCGT;386.0;NG
2023-01-01;Electrabel;Schaerbeek Siomab ST2;IS;15.0;Other
2023-01-01;Electrabel;TIHANGE 1S;NU;481.0;NU
2023-01-01;Electrabel;Turon TJ;TJ;18.6;LF
2023-01-01;Electrabel;ICO Windpark Zeebrugge;;44.0;WI
2023-01-01;Electrabel;Wilrijk Isvag;IS;12.0;Other
2023-01-01;DIRECT ENERGIE;Marcinelle Energie (Carsid);CCGT;413.0;NG
2023-01-01;Electrabel;Amercoeur 1 R GT;;289.0;NG
2023-01-01;Electrabel;Belwind Phase 1;;171.0;WI
2023-01-01;Electrabel;BEVERCE 3;HU;2.9;WA
2023-01-01;Electrabel;Beveren Ineos Phenolchemie;WKK;23.8;NG
2023-01-01;Electrabel;COO I T;;474.0;WA
2023-01-01;Electrabel;DOEL 1;NU;445.0;NU
2023-01-01;Electrabel;DOEL 2;NU;445.0;NU
2023-01-01;Electrabel;DROGENBOS DM 51;D;2.5;LF
2023-01-01;Electrabel;DROGENBOS GT2;;150.0;NG
2023-01-01;Luminus;HU AMPSIN-NEUVILLE;;9.9;WA
2023-01-01;Luminus;HU GRAND-MALADES;;5.0;WA
2023-01-01;Luminus;Intradel Herstal;IS;30.0;Other
2023-01-01;Luminus;Luminus Villers-le-Bouillet WIND;;44.9;WI
2023-01-01;Next Kraftwerke;Taminco (Gent) WKK;WKK;6.3;NG
2023-01-01;RWE Supply & Trading;Biostoom Oostende;CCGT;19.4;Other
2023-01-01;RWE Supply & Trading;T-power Beringen;CCGT;422.0;NG
2023-01-01;Luminus;EDF Luminus Seraing GT1;;150.0;NG
2023-01-01;Electrabel;Zwijndrecht Lanxess GT;WKK;43.0;NG
2023-01-01;Electrabel;Zwijndrecht Lanxess ST;WKK;15.0;NG
2023-01-01;Electrawinds Distributie;Greenpower Oostende;IS;20.3;Other
2023-01-01;Eneco Energy Trade;Aspiravi Wuustwezel;;27.6;WI
2023-01-01;Luminus;ANGLEUR TG 42;GT;64.0;NG
2023-01-01;Electrabel;IXELLES TJ;TJ;18.0;LF
2023-01-01;Electrabel;La Vierre;;1.9;WA
2023-01-01;Electrabel;Noordschote TJ;TJ;18.0;LF
2023-01-01;Electrabel;Norther Offshore WP;;369.6;WI
2023-01-01;Electrabel;Northwind;;216.0;WI
2023-01-01;Electrabel;RODENHUIZE 4;CL;268.0;Other
2023-01-01;Electrabel;Scheldelaan Exxonmobil;WKK;140.0;NG
2023-01-01;Electrabel;TIHANGE 3;NU;1038.0;NU
2023-01-01;Electrabel;HERDERSBRUG GT1;;157.0;NG
2023-01-01;Electrabel;Aalst Syral GT;WKK;43.0;NG
2023-01-01;Electrabel;Aalst Syral ST;WKK;5.0;NG
2023-01-01;Electrabel;AALTER TJ;TJ;18.0;LF
