electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,region,district,URE_id,as_of_year
16.4,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL619,Kujawsko-pomorskie,aleksandrowski,373,2019
0.45,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL619,Kujawsko-pomorskie,aleksandrowski,294,2019
0.1,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL843,Podlaskie,augustowski,1876,2019
0.268,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL843,Podlaskie,augustowski,1890,2019
0.132,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL843,Podlaskie,augustowski,1891,2019
0.999,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL843,Podlaskie,augustowski,1892,2019
0.09,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL843,Podlaskie,augustowski,1873,2019
0.11,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL622,Warmińsko-mazurskie,bartoszycki,2662,2019
0.099,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL622,Warmińsko-mazurskie,bartoszycki,2663,2019
0.99,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL622,Warmińsko-mazurskie,bartoszycki,2664,2019
0.615,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL622,Warmińsko-mazurskie,bartoszycki,2665,2019
2.2,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL7,PL71,PL713,Łódzkie,bełchatowski,927,2019
0.055,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL71,PL713,Łódzkie,bełchatowski,953,2019
0.2,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL71,PL713,Łódzkie,bełchatowski,983,2019
0.5,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL71,PL713,Łódzkie,bełchatowski,984,2019
0.66,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL71,PL713,Łódzkie,bełchatowski,985,2019
0.14,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL71,PL713,Łódzkie,bełchatowski,986,2019
0.078,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL71,PL713,Łódzkie,bełchatowski,987,2019
0.2,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL71,PL713,Łódzkie,bełchatowski,988,2019
0.997,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL71,PL713,Łódzkie,bełchatowski,989,2019
0.099,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL71,PL713,Łódzkie,bełchatowski,990,2019
0.078,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL71,PL713,Łódzkie,bełchatowski,991,2019
4.5,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL71,PL713,Łódzkie,bełchatowski,992,2019
1.5,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL71,PL713,Łódzkie,bełchatowski,993,2019
1.5,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL71,PL713,Łódzkie,bełchatowski,994,2019
1.5,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL71,PL713,Łódzkie,bełchatowski,995,2019
2.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL71,PL713,Łódzkie,bełchatowski,996,2019
2.4,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL71,PL713,Łódzkie,bełchatowski,997,2019
0.014,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL71,PL713,Łódzkie,bełchatowski,998,2019
0.08,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL71,PL713,Łódzkie,bełchatowski,999,2019
14.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL71,PL713,Łódzkie,bełchatowski,1000,2019
0.08,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL7,PL71,PL713,Łódzkie,bełchatowski,1001,2019
0.022,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL811,Lubelskie,bialski,797,2019
0.035,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL811,Lubelskie,bialski,796,2019
0.035,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL811,Lubelskie,bialski,794,2019
0.035,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL811,Lubelskie,bialski,793,2019
0.035,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL811,Lubelskie,bialski,792,2019
0.035,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL811,Lubelskie,bialski,795,2019
0.999,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL811,Lubelskie,bialski,670,2019
0.08,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL811,Lubelskie,bialski,677,2019
2.199,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL8,PL81,PL811,Lubelskie,bialski,674,2019
0.999,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL811,Lubelskie,bialski,667,2019
0.99,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL811,Lubelskie,bialski,666,2019
0.999,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL8,PL81,PL811,Lubelskie,bialski,663,2019
1.4,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL811,Lubelskie,bialski,673,2019
0.033,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL811,Lubelskie,bialski,676,2019
0.252,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL8,PL81,PL811,Lubelskie,bialski,672,2019
0.999,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL811,Lubelskie,bialski,669,2019
1.26,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL811,Lubelskie,bialski,668,2019
0.606,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL811,Lubelskie,bialski,781,2019
0.3,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL811,Lubelskie,bialski,671,2019
0.15,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL811,Lubelskie,bialski,675,2019
5.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL42,PL426,Zachodniopomorskie,białogardzki,3253,2019
0.598,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL42,PL426,Zachodniopomorskie,białogardzki,3252,2019
90.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL42,PL426,Zachodniopomorskie,białogardzki,3256,2019
0.012,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL42,PL426,Zachodniopomorskie,białogardzki,3254,2019
0.16,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL42,PL426,Zachodniopomorskie,białogardzki,3257,2019
0.006,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL4,PL42,PL426,Zachodniopomorskie,białogardzki,3255,2019
0.04,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1900,2019
0.047,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1901,2019
0.04,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1902,2019
0.016,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1903,2019
0.999,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1904,2019
0.044,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1883,2019
0.32,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1881,2019
0.098,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1889,2019
0.725,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1908,2019
0.935,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1909,2019
1.0,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1899,2019
0.012,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1898,2019
0.34,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1897,2019
1.0,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1896,2019
0.6,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1895,2019
78.503,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1978,2019
1.532,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1977,2019
0.6,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1906,2019
9.002,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1894,2019
0.01,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1893,2019
0.022,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1875,2019
0.5,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1907,2019
0.3,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1984,2019
0.66,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1905,2019
0.005,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,białostocki,1910,2019
0.999,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL841,Podlaskie,"białostocki,",1979,2019
0.12,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Śląskie,bielski,2278,2019
37.5,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Podlaskie,bielski,1911,2019
0.16,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Śląskie,bielski,2231,2019
0.5,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Podlaskie,bielski,1915,2019
5.408,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL8,PL84,PL842,Podlaskie,bielski,1914,2019
0.999,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL8,PL84,PL842,Podlaskie,bielski,1913,2019
0.006,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Śląskie,bielski,2280,2019
0.017,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Śląskie,bielski,2279,2019
0.015,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Śląskie,bielski,2277,2019
0.037,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL84,PL842,Śląskie,bielski,2276,2019
