electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,region,district,URE_id,as_of_year
0.96,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL812,Lubelskie,biłgorajski,681,2019
2.6,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL8,PL81,PL812,Lubelskie,biłgorajski,647,2019
0.15,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL8,PL81,PL812,Lubelskie,biłgorajski,650,2019
0.75,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL2,PL21,PL214,Łódzkie,bocheński,1249,2019
0.004,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL2,PL21,PL214,Małopolskie,bocheński,1289,2019
0.068,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL2,PL21,PL214,Małopolskie,bocheński,1290,2019
0.315,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,bolesławiecki,68,2019
0.3,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,bolesławiecki,69,2019
1.84,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,bolesławiecki,10,2019
0.32,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,bolesławiecki,53,2019
0.41,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,bolesławiecki,70,2019
0.55,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,bolesławiecki,71,2019
0.644,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,bolesławiecki,56,2019
0.17,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,bolesławiecki,46,2019
0.999,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,bolesławiecki,67,2019
0.96,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,bolesławiecki,9,2019
0.18,Renewable energy,Bioenergy,Biomass and biogas,,Urzad Regulacji Energetyki,PL5,PL51,PL515,Dolnośląskie,bolesławiecki,51,2019
0.999,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,braniewski,2668,2019
0.519,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,braniewski,2672,2019
0.352,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,braniewski,2671,2019
2.64,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,braniewski,2670,2019
20.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,braniewski,2669,2019
0.007,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,braniewski,2609,2019
0.04,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,braniewski,2613,2019
6.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,braniewski,2666,2019
0.999,Renewable energy,Solar,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL62,PL621,Warmińsko-mazurskie,braniewski,2667,2019
0.66,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL616,Kujawsko-pomorskie,brodnicki,395,2019
0.9,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL616,Kujawsko-pomorskie,brodnicki,394,2019
1.0,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL616,Kujawsko-pomorskie,brodnicki,393,2019
0.04,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL616,Kujawsko-pomorskie,brodnicki,246,2019
1.7,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL616,Kujawsko-pomorskie,brodnicki,333,2019
0.037,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL616,Kujawsko-pomorskie,brodnicki,392,2019
0.022,Renewable energy,Hydro,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL616,Kujawsko-pomorskie,brodnicki,391,2019
1.2,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL616,Kujawsko-pomorskie,brodnicki,390,2019
0.75,Renewable energy,Wind,,Other or unspecified technology,Urzad Regulacji Energetyki,PL6,PL61,PL616,Kujawsko-pomorskie,brodnicki,639,2019
