Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Sector1,EfficiencySector1,ChargingEfficiencySector1,Sector2,EfficiencySector2,ChargingEfficiencySector2
,generators offwind_BE,1549.8,1,BE,,,WTOF,WIN,1,0,0,0.02,0.02,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,generators offwind-ac_BE,1738.19937359281,1,BE,,,WTOF,WIN,1,0,0,0.02,0.02,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,generators offwind-dc_BE,4712.00052697313,1,BE,,,WTOF,WIN,1,0,0,0.02,0.02,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,generators onwind_BE,14419.2254936549,1,BE,,,WTON,WIN,1,0,0,0.02,0.02,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,generators ror_BE,59.0153397425792,1,BE,,,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,,,,,,,,,,,,,
,generators solar_BE,12527.3611709371,1,BE,,,PHOT,SUN,1,0,0,0.02,0.02,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,generators solar rooftop_BE,69217.3028192255,1,BE,,,PHOT,SUN,1,0,0,0.02,0.02,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,links H2 Electrolysis_BE_1,5331.22638981623,1,BE,,,PEME,ELE,0.7,2.25,1,0.6,0.6,20,6,3.5,0.2,0.55,0.083333333,0,,,,,,,,,,,,,,,,,,,,
,links H2 Electrolysis_BE_2,2665.61319490812,1,BE,,,ALKE,ELE,0.7875,7,4.5,0.175,0.175,100,12.5,9,0.3,0.575,1,0,,,,,,,,,,,,,,,,,,,,
,links H2 Electrolysis_BE_3,1332.80659745406,1,BE,,,SOXE,ELE,0.9625,14,7,0.06,0.06,400,25,15,0.4,0.7,2,0,,,,,,,,,,,,,,,,,,,,
