Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,Bełchatów,5102.0,1.0,PL,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Opole,3342.0,1.0,PL,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kozienice 2,2207.0,1.0,PL,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Turów,2029.0,1.0,PL,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kozienice 1,1800.0,1.0,PL,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Połaniec,1674.0,1.0,PL,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jaworzno 3,1345.0,1.0,PL,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jaworzno 2 JWCD,910.0,1.0,PL,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Łaziska 3,905.0,1.0,PL,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dolna Odra,903.0,1.0,PL,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rybnik,1350.0,1.0,PL,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Żarnowiec,780.0,1.0,PL,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ostrołęka B,690.0,1.0,PL,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elektrownia Gryfino,,1.0,PL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pątnów 1,644.0,1.0,PL,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Płock,630.0,1.0,PL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EC Siekierki,620.0,1.0,PL,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Porąbka Żar,552.0,1.0,PL,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EC Żerań 2,496.0,1.0,PL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pątnów 2,474.0,1.0,PL,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EC Włocławek,465.0,1.0,PL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Łagisza,460.0,1.0,PL,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kraków Łęg,451.0,1.0,PL,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EC Stalowa Wola,450.0,1.0,PL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PKN Orlen,373.0,1.0,PL,,,STUR,OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Skawina,330.0,1.0,PL,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Siersza,306.0,1.0,PL,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EC Żerań 1,299.0,1.0,PL,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wrocław,272.0,1.0,PL,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Farma wiatrowa Dunowo,186.0,1.0,PL,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FW Darłowo,239.0,1.0,PL,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EC Wrotków,231.0,1.0,PL,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chorzów,226.0,1.0,PL,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Połaniec 2-Pasywna,225.0,1.0,PL,,,STUR,BIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gdańsk 2,217.0,1.0,PL,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
