,CCGT,CHP,H2 turbine,Imports_Exports,battery storage,coal,distribution network,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-01-01 00:00:00,7.59376875345275E-06,1.53079296831186E-05,2.06984274293729E-06,-5.31589664713639,-6.00935238055628,3.24531938377528E-07,-29.3473043235901,24.4551041227636,16.2410086846629,-0.0234492958161247,0,0,-3.30053756819098E-05,-4.10090887992993E-05,2.19446950256789E-05
2013-01-01 01:00:00,7.59068414898929E-06,1.55134516613166E-05,2.08357554500249E-06,-5.3012400103579,-4.69032611035109,3.24459382408044E-07,-29.0085103930447,22.9353822009681,16.0882543487447,-0.0234494398942237,0,0,-3.32987668783744E-05,-4.11664172046642E-05,2.17821146688344E-05
2013-01-01 02:00:00,7.58759092775639E-06,1.54968397235752E-05,2.09517087182641E-06,-5.21557082485167,-5.15994665406829,3.24353305716844E-07,-28.9537390743763,23.6656577884947,15.6871591801249,-0.0234495217833693,0,0,-3.35042444021383E-05,-4.12387992825103E-05,2.18013080426119E-05
2013-01-01 03:00:00,7.57801338158276E-06,1.54759747441258E-05,2.10314664068367E-06,-8.01236664839761,-0.433125051138178,3.24147899468224E-07,-29.7223356032675,23.8651567554469,14.3262323048386,-0.0234501015963147,0,0,-3.41763268924069E-05,-4.1560728786564E-05,2.22076352274762E-05
2013-01-01 04:00:00,7.66198335480903E-06,1.81543758579403E-05,2.13840725191436E-06,-2.31475374204417,0.913351156365155,3.24433223091183E-07,-29.7645452566652,20.0525965853835,11.1368775594264,-0.0234237327902709,0,0,-3.09226907779703E-05,-3.95284854192965E-05,1.21210679983555E-05
2013-01-01 05:00:00,7.6547102194371E-06,1.8104460765087E-05,2.1438619067372E-06,-2.27653258553283,3.26737744252524,3.24411923693981E-07,-29.7645459323048,20.0778932004051,8.71934229237634,-0.0234251808239245,0,0,-3.20351848326936E-05,-4.51519966710236E-05,1.26081040020065E-05
2013-01-01 06:00:00,7.65197154393934E-06,1.80920655135556E-05,2.14569167266861E-06,-2.18726722640622,3.22210734057963,3.24576296025185E-07,-29.7645465909019,22.1132518288604,6.63998977596922,-0.0234258405765267,0,0,-3.32997005505717E-05,-4.42220101896424E-05,1.31796570127455E-05
2013-01-01 07:00:00,7.65382615405342E-06,1.81447830849826E-05,2.1533736868072E-06,-2.13264262584955,0.87244748484562,3.24795931253562E-07,-29.7645469162603,25.137603796631,5.91066729218442,-0.0234257838456835,0,0,-3.37939752951684E-05,-3.82016822205742E-05,1.33248598615445E-05
2013-01-01 08:00:00,7.62816538362142E-06,1.71185831121316E-05,2.16150986283252E-06,-2.11960242033654,-0.265035213812315,3.25272584983157E-07,-29.7645473406121,26.3529429336325,5.81978880165763,-0.0234360762407157,0,0,-3.53883593522255E-05,-3.90485261876279E-05,1.3272169520188E-05
2013-01-01 09:00:00,7.65642823761782E-06,1.72317784291511E-05,2.20445286117931E-06,-2.10706362037557,-1.8830671305045,3.26965261050729E-07,-29.7645473197982,26.3425766090898,6.07619607430663,-0.0234360620192809,1.35952899223614,-7.77007859036609E-05,-3.48989225711307E-05,-3.91623948668922E-05,1.34189667033855E-05
