,CCGT,CHP,Imports_Exports,OCGT,battery storage,coal,distribution network,hydroelectricity,offshore wind,oil,onshore wind,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-01-01 10:00:00,8.37166961254091E-05,2.27636758673085,2.45429107700361,1.67369947281546E-05,-0.102827591171201,0.000129000370354215,-66.1380836162999,0.929881853369411,23.7565201598661,1.18543975932493E-05,26.0926869846202,10.7310824506152,-4.27622503367633E-05,-2.21069135374118E-05,-3.35141236624992E-05,1.72008611198204E-05
2013-01-01 11:00:00,8.61586288428007E-05,2.27636853302566,2.07808205535158,1.70387522023784E-05,-9.26739885625291E-05,0.000132644004974984,-66.7423778863683,2.23453672769312,23.8096690584911,1.1949310490585E-05,25.3724102041571,10.9713143231991,-4.2904990226832E-05,-2.16191418425631E-05,-3.30114755676973E-05,1.67348293873916E-05
2013-01-01 12:00:00,8.77445540088946E-05,2.27636911081802,4.83656921574258,1.72766438799737E-05,1.81538916465538E-05,0.000134958424532441,-66.8318194730461,2.25913222233301,25.2302037651182,1.20075141760216E-05,23.3884319314931,8.84099841231983,-4.21538185117108E-05,-2.16338738746975E-05,-3.2662523877967E-05,1.6569530919157E-05
2013-01-01 13:00:00,8.73293221785812E-05,2.27636904255044,5.11766173954624,1.73044571272914E-05,-0.000354578499561748,0.000134404328945131,-66.0659074932389,2.28646736763401,27.2485245373735,1.19991402129705E-05,23.3264891413796,5.81065759682647,-4.51094581251683E-05,-2.1905738604436E-05,-3.2131962120161E-05,1.67434258726254E-05
2013-01-01 14:00:00,8.97103679989935E-05,2.27636999825184,9.81197104229225,1.76961737389814E-05,-0.000200348941960613,0.000138720525585761,-67.0958202814547,2.43837622517583,27.5352001330687,1.21008857570324E-05,22.6892098406319,2.34479438179158,-4.91017091739958E-05,-2.15553588322449E-05,-3.10598806380966E-05,1.63709975850693E-05
2013-01-01 15:00:00,0.000137421310279789,2.27638517008941,11.0764909083664,2.20916437609109E-05,0.000242909776298751,0.000212515880353285,-64.2775394582105,2.61352479274104,27.433549739733,1.32933794055417E-05,20.8770433175812,0,0,-1.65367094612226E-05,-2.32732400613713E-05,1.2403703997921E-05
2013-01-01 16:00:00,0.000144430974947762,2.27638689596993,11.4068421977451,2.26262773146647E-05,0.0755542080385922,0.000222868383830762,-66.649745231089,5.30421231272714,27.5470496834608,1.34159189473645E-05,20.0393780427573,0,0,-1.63775098855653E-05,-2.2745388808751E-05,1.21928152666147E-05
2013-01-01 17:00:00,0.000144222176467653,2.27638672503983,11.4761133067356,2.2623049581838E-05,0.0648824923482327,0.000222485191640191,-67.3300989987348,5.84528439571265,27.7283668863933,1.34138116919367E-05,19.9387448751764,0,0,-1.64602017202624E-05,-2.27011957916474E-05,1.21229050367901E-05
2013-01-01 18:00:00,0.000144689115614251,2.2763867485671,11.5223194023773,2.26217012396764E-05,0.0685929848521221,0.000222898389755915,-65.8541066280816,3.44046105821023,27.8570073781376,1.34206469126252E-05,20.689017852014,0,0,-1.63810730741238E-05,-2.26265471557454E-05,1.19363404997059E-05
2013-01-01 19:00:00,0.000123427717358125,2.27638136046714,10.1295438217991,2.09816713838574E-05,8.67302459225106E-06,0.00019026439002373,-64.540453335064,2.62350342213653,28.2775764362463,1.30173107008078E-05,21.2331809941143,0,0,-1.76927852030597E-05,-2.43195281820121E-05,1.2780055778853E-05
2013-01-01 20:00:00,0.000102607628103609,2.27637382249674,8.40682153114985,1.91023741762936E-05,-1.93864853033903E-05,0.000158374816728354,-64.0175628764293,2.62810709053367,29.0853433889539,1.25049087235799E-05,21.6207437797015,0,0,-1.98761793576887E-05,-2.69549147100889E-05,1.42415422694773E-05
2013-01-01 21:00:00,9.03942008130926E-05,2.2763702879233,5.51282931781215,1.78640224916426E-05,-0.000368519059550374,0.000139888456677007,-62.334439583906,2.63309266039611,29.4734984246743,1.21267245728955E-05,22.4388677404007,0,0,-2.19112309530258E-05,-2.96834980941583E-05,1.56227399121735E-05
2013-01-01 22:00:00,8.91603584858474E-05,2.27636984292503,2.18741791852233,1.76653854878976E-05,-0.0482987980669968,0.000137868324002684,-60.4995812010047,2.30342688351547,29.5638579504338,1.20879278717217E-05,24.2166625431202,0,0,-2.19616311586989E-05,-3.04921526478097E-05,1.56571176183468E-05
2013-01-01 23:00:00,8.94404575599591E-05,2.27636992950255,2.03116606296366,1.76724375859527E-05,-0.0347722805641646,0.000138396241684286,-59.7258702013173,1.65668793751065,29.8147808252171,1.21013566303252E-05,23.9814913709105,0,0,-2.18898537110809E-05,-3.02035909634952E-05,1.53858090726113E-05
2013-01-02 00:00:00,8.9414490748622E-05,2.27636991517356,2.3017724277555,1.7670117725403E-05,-0.0305495909783125,0.000138536941654211,-59.0518099760183,0.516373561349467,30.0665978486912,1.21041455699752E-05,23.9210990063758,0,0,-2.18587970129008E-05,-3.00043487565489E-05,1.51741019176224E-05
2013-01-02 01:00:00,8.94678415577309E-05,2.2763699416032,0.462686525630514,1.76725051422393E-05,-0.0280535519102685,0.000138699731539418,-58.3854004491024,0.731296423003583,30.3432506091729,1.2107147075682E-05,24.599702938225,0,0,-2.17134072867496E-05,-2.97736659480279E-05,1.50200542611683E-05
2013-01-02 02:00:00,8.93932302335116E-05,2.276369932681,0.547632951839042,1.7675564287307E-05,-0.0315813266817381,0.000138657860631463,-58.6677994268062,0.833353637883605,30.3325366255825,1.2105792741364E-05,24.7093400017261,0,0,-2.16663152609866E-05,-2.97615815438377E-05,1.4990015865572E-05
2013-01-02 03:00:00,8.94195310562081E-05,2.27636990542782,-0.992359169748456,1.76813967948847E-05,-0.0444070793482048,0.000138728752274305,-58.7037268493261,1.66732557650003,30.3383757851622,1.21051876842948E-05,25.4582736406825,0,0,-2.15058977195755E-05,-2.97040476420562E-05,1.50598215147181E-05
2013-01-02 04:00:00,0.000125369499817553,2.27638184233328,-0.388165148275054,2.10490093658169E-05,0.0001597340039822,0.000193601641251105,-59.7200216552731,2.60749200509652,30.3646693905425,1.30666431965346E-05,24.8592162631873,0,0,-1.69344566681791E-05,-2.319839093947E-05,1.21417670205521E-05
2013-01-02 05:00:00,0.000124032093476529,2.27638142599152,-0.593215841159251,2.10129877432842E-05,-0.000135736875170508,0.000192008045899114,-60.2871032731758,2.60194310388662,30.3762795594226,1.30335988026038E-05,25.6255861204411,0,0,-1.69507863242355E-05,-2.3328356828884E-05,1.26694841334546E-05
2013-01-02 06:00:00,0.000143927838449887,2.27638643696395,-0.977972484727572,2.25848038847596E-05,0.0492928781660182,0.000223281892768128,-64.9469138228119,7.62036324772481,30.3417425434826,1.34175810548169E-05,25.6367769399574,0,0,-1.57126132543318E-05,-2.16073611653655E-05,1.20394538086404E-05
2013-01-02 07:00:00,0.000293754087831399,2.70648701713882,1.28597985970483,2.94612757947818E-05,0.104643178666116,0.000455562417589968,-68.4435466932093,10.1168859222046,29.9896284384292,1.48297129621617E-05,24.2391930103822,0,0,-1.2774600922793E-05,-1.747568219713E-05,9.74897895175154E-06
2013-01-02 08:00:00,0.00014536852450178,2.27638643468299,-0.983630326256875,2.24944137329346E-05,0.0553346539150216,0.000225908574736438,-64.866198733805,2.97767834414093,29.7767975845047,1.34403804222452E-05,22.719516564481,8.04381761597404,-3.03226745360206E-05,-1.57695481775695E-05,-2.16760236548197E-05,1.19682037970094E-05
2013-01-02 09:00:00,8.8987919030278E-05,2.27636943626685,-2.28337889746133,1.74808175780022E-05,-0.0580193478443884,0.000139338418375971,-65.8275138220752,-1.50326063840809,29.6233126703003,1.20884091618631E-05,21.975849806298,15.7965283690003,-3.78880011397706E-05,-2.16964960987119E-05,-2.99805664083976E-05,1.64709174813367E-05
2013-01-02 10:00:00,8.90151007325062E-05,2.27636943299222,-0.999475718908815,1.74532594195895E-05,-0.0439972238557775,0.000139472674353127,-65.9152596181228,-3.70993948694124,29.7833024250899,1.20856135279713E-05,20.9658609358863,17.6430267446907,-3.85050852300583E-05,-2.18084179133476E-05,-2.97753181313141E-05,1.63967878899191E-05
2013-01-02 11:00:00,8.89421792063582E-05,2.27636945505739,0.000836642331832438,1.74669339714918E-05,-0.0486611627203054,0.000139372897456254,-66.18761719916,-3.7094122486367,29.2223631811016,1.20839263213812E-05,21.1043733088425,17.3416385116261,-4.05895733670103E-05,-2.17970619272822E-05,-2.98447696478092E-05,1.64376782366592E-05
2013-01-02 12:00:00,8.88401571184787E-05,2.27636950022682,0.234996532793596,1.75066375887364E-05,-0.0673605815621697,0.00013910349285469,-67.2661780864171,-0.463346499346384,29.5302856145606,1.20873669435754E-05,22.417163350564,13.3379636474804,-4.27790349614414E-05,-2.16367083596515E-05,-2.98652670906847E-05,1.65262056549293E-05
2013-01-02 13:00:00,0.000122338901328205,2.27638036094152,2.14462895970178,2.07336176070506E-05,-1.11427792679013E-05,0.000190434951170038,-68.9851808058667,2.56520990004909,29.8760718650811,1.30114123413668E-05,22.7727507038033,9.34992428909598,-3.45430196239823E-05,-1.71306559812541E-05,-2.35615976899481E-05,1.31237307955825E-05
2013-01-02 14:00:00,0.000299806642115082,2.28554077855464,6.73891603562062,2.95314890971703E-05,4.07996367003535E-05,0.000460706785770411,-69.2307870566498,6.63967499895944,29.6875544732957,1.48647428339266E-05,19.5987234369372,4.27962374000212,-2.68811202650179E-05,-1.30790764224314E-05,-1.74713863419242E-05,9.80440075073878E-06
2013-01-02 15:00:00,0.000461072686336081,5.7084877194614,8.1598534253714,3.30167438025117E-05,0.00112390119623205,0.000701803480488737,-72.9343237006637,10.0842238785361,30.0528558961493,1.54332385986804E-05,18.9266288655464,0,0,-1.24203464979235E-05,-1.62534137055559E-05,9.33677254129263E-06
2013-01-02 16:00:00,0.00184677330943976,7.00596555047213,8.10480226160306,3.9775268734368E-05,0.104626201438397,0.00281725732943791,-75.2180204546684,10.0805909892983,30.1400411700598,1.64161099221644E-05,19.7773300292478,0,0,-1.12297718876748E-05,-1.47387278408075E-05,8.66515169938254E-06
2013-01-02 17:00:00,0.000493433521085993,6.40162336833596,7.34684514000481,3.35432101851716E-05,0.103477986696295,0.00074862169792591,-75.0261640267671,10.0769989810669,30.2839769348953,1.55155160570048E-05,20.8120113397747,0,0,-1.21358011088295E-05,-1.60433302326908E-05,9.34341670315981E-06
2013-01-02 18:00:00,0.000296814008610016,4.67545402882517,5.82144523544909,2.9631323060714E-05,-0.000196238174044323,0.000456702570973907,-72.9615548617862,10.0365261162246,30.3331810976078,1.48501621320467E-05,22.0944122091273,0,0,-1.29506329265309E-05,-1.73032262773916E-05,9.74502250583149E-06
2013-01-02 19:00:00,0.000299304873911835,5.82370509067859,5.63116833236447,2.96624960559196E-05,-3.42555360766656E-05,0.000458584047958531,-69.3078507987229,4.85420254235303,30.2792782049628,1.48659595818615E-05,22.7187940070392,0,0,-1.28300295924128E-05,-1.72634915357008E-05,9.47034612127932E-06
2013-01-02 20:00:00,0.000310219025140778,2.95490679515735,7.90035616676277,2.98018976790237E-05,0.000176071736204807,0.000470160303804525,-66.9109937886964,2.5888726037603,30.3705182790286,1.49405135543695E-05,23.0954034296741,0,0,-1.26218792153746E-05,-1.70582684381344E-05,9.23386317649824E-06
2013-01-02 21:00:00,0.000253192706585057,2.27647266485798,6.403980048839,2.77480503605798E-05,6.8934632380302E-05,0.000380509359019758,-65.9701800209825,2.53770505195957,30.4031685109886,1.46495387676635E-05,24.3481754282911,0,0,-1.29238003358468E-05,-1.76665730782446E-05,9.45360699658246E-06
2013-01-02 22:00:00,8.69145918344417E-05,2.27636914191767,7.19273293827392,1.73687639702096E-05,-0.000280770765319828,0.000133497862298682,-69.9940958835685,2.24506354744791,30.4065340305583,1.19829285640563E-05,27.8735393054313,0,0,-2.13063726098288E-05,-3.03636274110204E-05,1.57644803926829E-05
2013-01-02 23:00:00,8.49566758571395E-05,2.27636828522007,5.88046479317601,1.70002218546057E-05,-0.00287947632801764,0.000129681700828873,-69.4718856815567,1.45369251091916,30.4065512664605,1.189005941556E-05,29.4575594162072,0,0,-2.14842119377985E-05,-3.11295956935425E-05,1.58640250182624E-05
2013-01-03 00:00:00,8.55443261129132E-05,2.27636847535272,5.8113566466301,1.69751615764326E-05,-0.000826943684236111,0.000130441536427857,-67.0710831109086,-3.76839098000706,30.4065450138384,1.19059162981979E-05,32.3458988194067,0,0,-2.07474324871268E-05,-3.07469486476464E-05,1.54077827253558E-05
2013-01-03 01:00:00,8.56564174948111E-05,2.27636851275746,4.12160274970077,1.69397033128389E-05,-0.000419617269837028,0.0001308861759495,-66.1103384983759,-4.94628765242271,30.406326600161,1.19161482526879E-05,34.2526137751629,0,0,-2.02811509679042E-05,-3.04926005382384E-05,1.51410953309432E-05
2013-01-03 02:00:00,8.00302847070535E-05,2.27636614899845,3.57539809690423,1.62816020349292E-05,-0.104577116389567,0.000122749411730941,-66.9517529252024,-5.29140967294099,30.4061083878149,1.17010644199145E-05,36.0897554663976,0,0,-2.15004583664124E-05,-3.27904688696776E-05,1.62424854368086E-05
2013-01-03 03:00:00,8.00921677436606E-05,2.27636605559976,3.354091321738,1.62548718269054E-05,-0.104576531155605,0.000122924323128021,-69.1452953676905,-5.2935099476345,30.4065639691325,1.17041518459036E-05,38.506246998321,0,0,-2.10843013037053E-05,-3.26284357518176E-05,1.6286355752714E-05
2013-01-03 04:00:00,8.56595681325964E-05,2.27636812858586,3.98348281213233,1.68581414044226E-05,-0.00037538852543222,0.00013134393466656,-72.029760861877,-4.9851219465266,30.4065684001519,1.19232505822655E-05,40.3487000751481,0,0,-1.92532715496057E-05,-3.00867020832953E-05,1.54506601442239E-05
2013-01-03 05:00:00,8.5345069683953E-05,2.27636790248074,5.64647388737777,1.68475568734381E-05,-0.000596305979364484,0.00013101752815511,-76.4669539336447,-3.13779577364698,30.4065684001519,1.19117961712071E-05,41.2757966409384,0,0,-1.9160849511012E-05,-3.01455876213623E-05,1.63241293999304E-05
2013-01-03 06:00:00,8.53061335733361E-05,2.27636779198073,5.49815963281297,1.68508824803941E-05,-0.000790519220370999,0.000130929365916139,-80.9516836254271,0.825699238075851,30.4065684001519,1.19070120741125E-05,41.9455386251469,0,0,-1.90077359204674E-05,-3.00845260409517E-05,1.71914616534165E-05
2013-01-03 07:00:00,8.87166249411698E-05,2.27636884461862,4.46485823539409,1.72244954687941E-05,0.00181480308960881,0.000136005202686486,-81.931744670093,2.22947634439741,30.4065684001519,1.20273605010202E-05,42.5525033993289,0,0,-1.81123827832553E-05,-2.8804321211453E-05,1.67835644212268E-05
2013-01-03 08:00:00,8.58287527111421E-05,2.2763678770629,3.98544481451604,1.68741868435169E-05,-0.00134517393342513,0.000131411986462346,-82.2679735974588,-0.474430124339691,30.4065684001519,1.19218326068999E-05,42.3169719427962,3.7583017967702,-4.87412267762374E-05,-1.86663286232019E-05,-2.98625893108237E-05,1.71113105559936E-05
2013-01-03 09:00:00,8.59276311339771E-05,2.27636859144929,4.19212185494217,1.68896355217174E-05,-0.00285500300706611,0.000131419269869098,-82.3578147773251,-0.718609731083103,30.4065684001519,1.1921141670822E-05,41.9444571791121,4.25966840392277,-4.7602035497057E-05,-1.85935512184579E-05,-2.97984567794742E-05,1.64252637889612E-05
2013-01-03 10:00:00,8.8764788324618E-05,2.27636897549542,3.95457935871744,1.72803181979033E-05,0.000149009462741198,0.000135705866814412,-79.8438833252867,2.22924086631051,30.4065684001519,1.20167514432995E-05,37.5971017120501,3.37976823491718,-4.78485597838282E-05,-1.83150147076745E-05,-2.88104433294905E-05,1.65508294645708E-05
2013-01-03 11:00:00,8.89253922262358E-05,2.27636905872891,2.61396675555647,1.73000202907953E-05,2.06309481509899E-05,0.000135809088479215,-80.3079087551424,2.22915654541097,30.4065684001519,1.20200098644239E-05,38.9618324317079,3.81988653779815,-4.68955968016517E-05,-1.81072020358123E-05,-2.87304031500497E-05,1.6517850222886E-05
2013-01-03 12:00:00,8.89264063148793E-05,2.27636911508641,2.04558106472997,1.73206709241618E-05,-0.000112088400076741,0.000135651674084541,-79.761985887038,2.22914457708891,30.4065684001519,1.20163910675402E-05,38.9899784332477,3.81434833458776,-4.69406872456388E-05,-1.80935162670026E-05,-2.87418199460347E-05,1.65077741037386E-05
2013-01-03 13:00:00,8.90941912110625E-05,2.27636920556859,0.256504103453681,1.73615213829509E-05,-0.000396783131883626,0.000135627254729011,-77.6378512901558,2.22916675563048,30.4065684001519,1.20162955788353E-05,39.064971506748,3.40456093238042,-4.77948720809724E-05,-1.80876528917284E-05,-2.87440338602209E-05,1.64916979721094E-05
2013-01-03 14:00:00,9.24998218479315E-05,2.27637037320509,0.788160455001944,1.77806355939359E-05,-0.000132121416562461,0.000140479677970073,-75.7999400001518,2.37653618272153,30.4065684001519,1.21265563243804E-05,38.4095939618457,1.5427272520668,-5.1887888238219E-05,-1.75677887192232E-05,-2.77534990831896E-05,1.60957895860519E-05
2013-01-03 15:00:00,0.000130783186619021,2.27638382463264,1.66460137078086,2.12938219851652E-05,0.000168987446028473,0.000197507561761822,-75.5633967956098,2.51823323732326,30.4065684001519,1.31088203249032E-05,38.6971530401662,0,0,-1.37775420357149E-05,-2.16166067068855E-05,1.28451555759396E-05
2013-01-03 16:00:00,0.00013905753963136,2.27638658501319,1.71840309009509,2.19564711928501E-05,0.0570278356967372,0.000209581758120075,-75.8623855149061,2.92922591639273,30.4063548607516,1.32614353345015E-05,38.4746761889009,0,0,-1.33944870194179E-05,-2.09550324167367E-05,1.26367633095707E-05
2013-01-03 17:00:00,0.000138652897468236,2.27638675735856,1.7134466258984,2.19909958282614E-05,0.0443268832066365,0.000209125667066898,-75.4963117769216,3.86924569779949,30.2354189087544,1.32557002662904E-05,37.3571778633622,0,0,-1.35468922475521E-05,-2.11138598905478E-05,1.24582653748292E-05
2013-01-03 18:00:00,0.000138398643925471,2.27638697981205,1.68882464245,2.20173043089879E-05,0.0369842256606984,0.000208847670088655,-73.2892285429324,3.57041798253467,29.7666345493658,1.32525017061507E-05,35.9496733312423,0,0,-1.37360093850293E-05,-2.14247430701562E-05,1.19860564583382E-05
2013-01-03 19:00:00,0.000130942258958449,2.27638513456958,1.66347108256238,2.14660787081318E-05,-7.39722266078996E-05,0.000197709002655479,-70.3522347562542,2.52258335480425,29.073204359016,1.31034794170155E-05,34.816380963224,0,0,-1.43178247018397E-05,-2.21097650604634E-05,1.18793993376002E-05
2013-01-03 20:00:00,0.000137844637852972,2.27638706720853,1.87621906977509,2.20142035294692E-05,0.0155294446487488,0.000208070407786623,-67.5054980388445,2.56201713990599,27.1714022516618,1.32342926718389E-05,33.6036401461276,0,0,-1.41121431824777E-05,-2.15245861358824E-05,1.13429879604563E-05
2013-01-03 21:00:00,0.000138101965606335,2.27637622660414,1.45820498944083,2.20379867692572E-05,0.055325919448141,0.000208371685301176,-66.2196056919118,3.25573258015924,26.487162043947,1.32389905797301E-05,32.6865008665827,0,0,-1.42391303015143E-05,-2.1449147403672E-05,1.1217491700042E-05
2013-01-03 22:00:00,9.17689915035963E-05,2.2763708886367,0.560804398145286,1.79172741163037E-05,-0.000130496764285381,0.000139037577907667,-63.6290379980587,2.40621987586439,28.1566046741614,1.20931998437691E-05,30.2290135184772,0,0,-1.91806954765819E-05,-2.84244734119596E-05,1.47005075651743E-05
2013-01-03 23:00:00,8.87617095616834E-05,2.27636983645033,1.91550519653262,1.75241435070587E-05,-0.0326901054114016,0.000134179457651879,-66.7008594242914,2.19735749522148,29.5255663625119,1.19882582609572E-05,30.8186078974872,0,0,-1.98156920650494E-05,-2.97886104171283E-05,1.50510862511941E-05
2013-01-04 00:00:00,8.9060981596655E-05,2.27636998447973,1.31631580960528,1.75202315837108E-05,-0.0500491613446235,0.000134481083753178,-65.1172933047836,0.392210467172474,29.8353962239745,1.19966423756822E-05,31.3469064978273,0,0,-1.97429177731639E-05,-2.97568294502781E-05,1.48227037641971E-05
2013-01-04 01:00:00,8.90437491819963E-05,2.27637000205273,1.0557825832214,1.75207145479742E-05,-0.0474761295386674,0.000134474797581083,-64.2628516022905,0.0865240363174904,29.7404915610218,1.19966396196361E-05,31.1510164639042,0,0,-1.98154675826326E-05,-2.98631345596618E-05,1.47183049823907E-05
2013-01-04 02:00:00,8.89213935857067E-05,2.27636999763935,1.06651520674961,1.75361412654105E-05,-0.046777148756119,0.000134360228177161,-64.7264373294531,1.80878103353159,29.9941476330669,1.19950198778618E-05,29.627258019296,0,0,-2.0050932475892E-05,-2.97287389512917E-05,0.0000147292982552
2013-01-04 03:00:00,8.87859468037321E-05,2.27636997360714,1.55917709004781,1.75561887443063E-05,-0.0405887663474634,0.000134241460174493,-65.1913911063581,2.19788727678771,30.1945922501354,1.19924033166423E-05,29.0038109620996,0,0,-2.0160271219242E-05,-2.9618393805606E-05,1.48502501529793E-05
2013-01-04 04:00:00,9.14015294704906E-05,2.27637090181743,2.10552354919206,1.78984934689842E-05,-8.21652345953008E-05,0.000138295580672054,-65.41607007286,2.2660871287449,30.219698378244,1.20851516021798E-05,28.5483192386983,0,0,-1.96304393346043E-05,-2.87233294776996E-05,1.47910735376055E-05
2013-01-04 05:00:00,9.17721012854312E-05,2.27637118929612,3.44644778149755,1.80155733235173E-05,-0.000270437975295141,0.00013908903187218,-66.9111378613252,2.41927806482725,30.2973611755454,1.21052951164318E-05,28.4717946115264,0,0,-1.95162013559054E-05,-2.84801847739686E-05,1.52327007427823E-05
2013-01-04 06:00:00,0.00013118125897933,2.27638502051739,6.31714720179581,2.17249391234876E-05,0.000181550708411702,0.000198536897880038,-69.6663404737267,2.55672787134058,30.3873867056511,1.31305704064676E-05,28.1282314972644,0,0,-1.51785933889813E-05,-2.19399322866138E-05,1.21374194702551E-05
2013-01-04 07:00:00,0.00013621693388491,2.27638589080326,1.69529114157205,2.22243629222842E-05,0.0307745501706905,0.000206812684003367,-72.3218060556969,9.51121239663965,30.40296758594,1.32226326578725E-05,28.4048802403642,0,0,-1.4819941182522E-05,-2.14724987721411E-05,1.20075500875765E-05
2013-01-04 08:00:00,0.000136857975543754,2.27638867171357,0.878139926718841,2.22524247165415E-05,0.0155781660833838,0.000207499105294087,-72.2900458292479,8.19652146331745,30.4065190981763,1.32385574176157E-05,27.7578875457765,2.75875190035219,-3.67285645207762E-05,-1.47807988386501E-05,-2.1406904336601E-05,1.18870157549001E-05
2013-01-04 09:00:00,0.000137212557251065,2.2763742214762,1.77895668094835,2.22469453913412E-05,0.0123390826422639,0.000207818292880168,-72.7421483573748,6.11662587921205,30.4062661604195,1.32431463904805E-05,28.0757298191571,4.07559407530787,-3.44153884574098E-05,-1.46819111293088E-05,-2.13551456475045E-05,1.18804857153644E-05
2013-01-04 10:00:00,0.000559916346820905,2.27642985960944,3.62777819377709,3.46689957523671E-05,0.104651122174283,0.000811049719131465,-74.2573893105041,10.0881963117852,30.3195788862832,1.57204618224731E-05,23.937321467196,3.90209338918442,-2.44739453771372E-05,-1.06972220318188E-05,-1.4987709513008E-05,8.46500577754823E-06
2013-01-04 11:00:00,0.000137062396232961,2.27637400553851,2.66951663180225,2.21992696211397E-05,0.0141780708665594,0.000207700950425513,-74.5135878641687,7.3561703897465,30.4049537133608,1.32414398207379E-05,27.857461677381,3.93467044214684,-3.4620184984055E-05,-1.46738507693195E-05,-2.13276797843491E-05,1.21485326806145E-05
2013-01-04 12:00:00,0.000138442353568428,2.2763738730946,2.81621525639579,2.21487635529887E-05,0.0315918651784554,0.000209103412841504,-73.7211307655231,3.07521790173549,30.405993142204,1.32613800196238E-05,31.5169489726421,3.59852282694507,-3.49509552121717E-05,-1.42352822252255E-05,-2.12046853512504E-05,1.21505794318184E-05
2013-01-04 13:00:00,9.19513485580196E-05,2.27636871982509,2.93159792635247,1.79197443250326E-05,-0.000636510713576247,0.000139453980267479,-75.7204303639218,2.43315351952072,30.4065039808519,1.21153961551938E-05,34.8261874909224,2.84715354242081,-4.78590126203888E-05,-1.84729796686977E-05,-2.81719799836821E-05,1.62052307238644E-05
2013-01-04 14:00:00,9.18790676192681E-05,2.27636859214374,3.2908590736681,1.78774476480713E-05,-0.000161089531468095,0.000139472617011379,-76.8106862047131,2.43362259091107,30.4065684001519,1.21121992654354E-05,36.8115661303358,1.59176437706854,-5.19002070652333E-05,-1.83276059441117E-05,-2.81806732005236E-05,1.63561154063806E-05
2013-01-04 15:00:00,9.14665473221809E-05,2.27636842607613,3.47969771898229,1.78298985446106E-05,-5.31343478456709E-05,0.000139151009044723,-77.1175213366094,2.44603095506468,30.4065684001519,1.20983473802769E-05,38.5087596490635,0,0,-1.82847249510209E-05,-2.82655007568309E-05,1.66698745930643E-05
