,CCGT,CHP,Imports_Exports,OCGT,battery storage,coal,distribution network,hydroelectricity,offshore wind,oil,onshore wind,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-01-01 00:00:00,7.6913535813063E-05,2.2763651279371,3.05442368013593,1.5814853232393E-05,-0.104480355578481,0.000118188608749355,-71.9158523557204,-5.39257151864373,28.7245218844714,1.156806593693E-05,43.3574951375709,0,0,-2.23543777689203E-05,-3.4321061900016E-05,1.7055376671364E-05
2013-01-01 01:00:00,7.76921902579449E-05,2.27636522637216,4.66580666200545,1.5918593195291E-05,-0.104339304426807,0.000119673368266762,-70.7412945532346,-5.39028726883831,26.1388909491367,1.16086635080455E-05,43.154755671924,0,0,-2.21341557803615E-05,-3.38911806045559E-05,1.6778773711401E-05
2013-01-01 02:00:00,7.88872159456471E-05,2.27636541893881,6.14682015208508,1.60763265630072E-05,-0.00277160027981264,0.000121639624613138,-69.0427483314302,-5.38716459140087,23.6586210204241,1.16630057429015E-05,42.35076965844,0,0,-2.17975530810714E-05,-3.32916484368866E-05,1.64796900412693E-05
2013-01-01 03:00:00,7.88447418106072E-05,2.27636536602696,3.66588069409961,1.60720915912525E-05,-0.00626999026171541,0.000121586189978616,-67.4096109639897,-5.38455745202181,24.4405898072873,1.16600330799973E-05,42.4174943075412,0,0,-2.17785365017021E-05,-3.32974076389121E-05,1.65936511618479E-05
2013-01-01 04:00:00,8.35661179254227E-05,2.27636732395547,2.08808667163445,1.66692099567262E-05,0.000223952281117995,0.000128932969992279,-66.2104593637307,-2.01781062612297,23.4501041317357,1.1850334148687E-05,40.4133588915559,0,0,-2.05313722452227E-05,-3.11950426523282E-05,1.59756198815596E-05
2013-01-01 05:00:00,8.32597790172937E-05,2.27636726326792,2.26697790460491,1.6679352337442E-05,-0.000107284162546051,0.000128578470907554,-66.7646889276288,1.75120164934344,21.8947301856917,1.1841725690236E-05,38.5753915178742,0,0,-2.07447627312324E-05,-3.16981358317747E-05,1.66728122956317E-05
2013-01-01 06:00:00,8.67875418500912E-05,2.27636865850564,5.39564590963958,1.71495578862502E-05,0.0984974174548269,0.000134254888469915,-65.9850007795275,2.16124122638007,20.4019176007781,1.19752807510181E-05,35.6511886440748,0,0,-2.00999691122836E-05,-3.13561776159474E-05,1.63654676394795E-05
2013-01-01 07:00:00,8.65579721043066E-05,2.27636864470194,5.38648955874627,1.71579567961825E-05,0.0991831413579548,0.000133977938710352,-64.3118294097487,2.17054419578995,20.6498735603115,1.19666745395862E-05,33.7292308406716,0,0,-2.0357090564321E-05,-3.21083069393708E-05,1.64452775986015E-05
2013-01-01 08:00:00,8.59102487578406E-05,2.27636836424345,3.81871055755917,1.70115178202608E-05,7.45180649601178E-05,0.000132519737403662,-66.8736521743292,2.18224471503168,21.6800934488541,1.19401089521709E-05,31.7096285690959,5.20644361971551,-4.62894094468165E-05,-2.07681380265545E-05,-3.26799477743336E-05,1.66463593946351E-05
2013-01-01 09:00:00,8.3821794142261E-05,2.27636758563012,2.3369852179893,1.67268813013735E-05,-0.102814177137934,0.000129162206034839,-65.4101345209677,-1.24244965377423,22.1044658322196,1.18573900332619E-05,30.7278684954106,9.30962978240952,-4.36071690326727E-05,-2.14493132707738E-05,-3.36545804131987E-05,1.71066461779962E-05
