,CCGT,CHP,Imports_Exports,OCGT,battery storage,distribution network,hydroelectricity,nuclear,offshore wind,oil,onshore wind,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-01-01 00:00:00,3.86094851587831E-05,1.56560153952729,5.25948249639758,1.90011559849288E-06,-2.01185736439754,-62.4435717769606,1.40308642356677,18.6516674309524,23.0274133137386,2.00767783771638E-06,14.5482574550789,0,0,-3.10682096945032E-05,-1.57447914491513E-05,1.76616349451208E-05
2013-01-01 01:00:00,3.86189980187356E-05,1.56560154569783,4.80195068028699,1.90654355001437E-06,-2.01185817950527,-61.2824590359093,1.97400350908721,18.6516674455943,22.7219928702356,2.00696698351456E-06,13.5791810549758,0,0,-3.13975294463682E-05,-1.57527201408243E-05,1.76029794734815E-05
2013-01-01 02:00:00,3.91422803452168E-05,1.56560200410743,5.50157704344484,1.92290827626071E-06,-2.01181333551656,-62.9439976419658,2.76400633399149,18.6516682094789,23.5643495047189,2.01436882630593E-06,12.9086854219873,0,0,-3.11043654967535E-05,-1.54104156482617E-05,1.73229083355274E-05
2013-01-01 03:00:00,4.36622569385664E-05,1.56560454739817,12.9837370035009,2.04922243549804E-06,0.0015548755191792,-71.9512707495644,2.78494805880913,18.6516729445438,23.5723968682306,2.06771888316176E-06,12.3914142742154,0,0,-2.72855330633403E-05,-1.37786951717089E-05,1.54006620536595E-05
2013-01-01 04:00:00,4.3396443362521E-05,1.56560488134166,11.9566460717297,2.04793629277057E-06,0.000467539540838908,-70.5474812153019,2.82153643951662,18.6516726992703,23.4628899435108,2.06477031243122E-06,12.0887224000582,0,0,-2.7561927495863E-05,-1.38629581506962E-05,1.5895357797204E-05
2013-01-01 05:00:00,4.33585754555334E-05,1.56560488492573,11.4708023459329,2.04699271953514E-06,0.00026929431525774,-69.0575374894158,2.86456397953935,18.6516727824324,22.986694237342,2.06490446266861E-06,11.5179885342788,0,0,-2.77271839232588E-05,-1.38658514230201E-05,1.65090783841682E-05
2013-01-01 06:00:00,4.33519787419821E-05,1.56560499967746,7.02747448209746,2.04682766788706E-06,0.000172254505968968,-63.9128338959936,2.91297716361208,18.6516729367851,22.640272602038,2.06404342114304E-06,11.114717752183,0,0,-2.78095584122091E-05,-1.38403471568154E-05,1.69602446587984E-05
2013-01-01 07:00:00,4.33685674907415E-05,1.5656050787879,6.97880630265126,2.03954756054769E-06,0.000113355298388136,-63.1584631314923,2.96438687373892,18.6516730600421,22.4226929595019,2.06471362655924E-06,10.5752437070351,0,0,-2.79012899876049E-05,-1.37816519082321E-05,1.69491681365514E-05
2013-01-01 08:00:00,4.34715882848247E-05,1.56560519764322,8.6719079577191,2.02754230960847E-06,7.55632505797898E-05,-64.703739798244,3.02456708247511,18.6516731810712,22.1110403387836,2.06875087094837E-06,9.98589834834844,0.693069180978115,-3.93790210223201E-05,-2.7938618681807E-05,-1.36726768897688E-05,1.688721890594E-05
2013-01-01 09:00:00,4.34510748361134E-05,1.56560529426632,11.0796291724606,2.00491689422599E-06,-2.21603447833248E-05,-67.571617776882,3.08376216494363,18.6516735660829,21.6706781901417,2.06098443940432E-06,9.03222080013495,2.48815925204357,-3.07379144288675E-05,-2.83103681884086E-05,-1.36505404341278E-05,1.69243088358949E-05
2013-01-01 10:00:00,4.34077418213314E-05,1.56560536464208,10.6807620613474,2.00001687823698E-06,-7.49252388735743E-05,-63.8232852894412,3.13375212728915,18.6516736831768,19.2590603111724,2.052477412654E-06,7.28043496574149,3.25215999699234,-2.93110037838772E-05,-2.93450108488308E-05,-1.38626944926728E-05,1.69909749980634E-05
2013-01-01 11:00:00,4.34842137238984E-05,1.56560547567086,11.8659830554721,2.01922488458606E-06,-0.000129457897373471,-64.0226389652707,3.17366858416339,18.6516737157794,18.532283439055,2.04945520620002E-06,6.55149762971606,3.68214914837379,-3.27761706088518E-05,-2.98614156537185E-05,-1.39532141541281E-05,1.70200953761147E-05
2013-01-01 12:00:00,4.32282347520961E-05,1.56560540839005,12.9761604546948,1.97674828273745E-06,-0.000233508480905108,-66.3012352659563,3.22109788154599,18.6516733400442,20.011902366009,2.02570386810288E-06,6.12886222983825,3.74626391454574,-3.58149410726635E-05,-2.9955389306639E-05,-1.38472252727411E-05,1.70387776122475E-05
2013-01-01 13:00:00,4.33179112597428E-05,1.56560549545967,13.1036906281976,1.9999323603784E-06,-0.000333622011201968,-65.6558147125639,3.27835234313082,18.6516734000112,19.8905184096498,2.02961351903574E-06,5.72685266190607,3.43955321923225,-3.6687067432089E-05,-3.02953500708184E-05,-1.38345550793701E-05,1.70877637354523E-05
2013-01-01 14:00:00,4.33297550470326E-05,1.56560555508707,5.1014575277926,2.02625721486536E-06,-0.000516281659430187,-57.1477848215409,3.33991535849777,18.6516735259508,20.8016035268998,2.03673817101829E-06,5.08888044153832,2.59926429640224,-3.68306820043542E-05,-3.10677195202845E-05,-1.37159058129441E-05,1.71803957877453E-05
2013-01-01 15:00:00,4.31970549267677E-05,1.56560559057803,2.0049533635821,2.06004414820969E-06,-0.0011923426832376,-53.0964751234264,3.37514858366831,18.6516731696216,21.5108008249553,2.04581637259952E-06,4.81123869034352,1.17834795303745,-3.70980966666623E-05,-3.1617675607925E-05,-1.3701464771998E-05,1.73450560655433E-05
2013-01-01 16:00:00,4.5002904507226E-05,1.56560591769813,-1.27295860528606,2.16660004561384E-06,0.000559440598255049,-48.588952576993,3.38167904918571,18.6516744277153,21.7112480872781,2.0659823676152E-06,4.551200720524,0,0,-3.088399015754E-05,-1.29338413169649E-05,1.65216775446785E-05
2013-01-01 17:00:00,4.48755855160573E-05,1.56560594167604,-0.141017242244178,2.19412896966297E-06,0.000156346578823208,-49.7226145693129,3.37492980031519,18.6516743492673,21.6312830021679,2.06972713530628E-06,4.6400402682982,0,0,-3.09011251849688E-05,-1.29477422310629E-05,1.63443043832671E-05
2013-01-01 18:00:00,4.4885666816677E-05,1.56560605616283,0.254288694809029,2.21523847599822E-06,1.53733618994983E-05,-49.5524066229109,3.36705781763522,18.6516744389344,20.7064611476902,2.07458697749464E-06,5.00736093597606,0,0,-3.04418812026016E-05,-1.28507043871764E-05,1.60370566413172E-05
2013-01-01 19:00:00,4.49888607722364E-05,1.56560601278851,-1.35520664415432,2.23233332546947E-06,-8.25064598276121E-05,-48.069581680911,3.35977881327774,18.6516745373244,20.7390094614202,2.07759449901735E-06,5.1088597217299,0,0,-3.02884246189842E-05,-1.27822891076903E-05,1.57940129274243E-05
2013-01-01 20:00:00,4.50981993891683E-05,1.5656061067314,-2.48310477560911,2.24639106551038E-06,-0.000195659635685172,-46.8541642233208,3.3562225655651,18.6516746287278,20.5596217730765,2.0796684700045E-06,5.20439707337102,0,0,-3.01287927771128E-05,-1.27217870345362E-05,1.55977962008546E-05
2013-01-01 21:00:00,4.47573447780808E-05,1.56560603574272,0.394829835911795,2.24375998412198E-06,-0.000671706517265518,-49.4093575463197,3.36248916287228,18.6516744182617,20.1714319220902,2.07561977073666E-06,5.26405653156331,0,0,-3.02471533281233E-05,-1.27337232356126E-05,1.55336608029842E-05
2013-01-01 22:00:00,4.65365347164165E-05,1.56560653260636,3.24708646164363,2.29948522563512E-06,6.32411722215211E-05,-49.0361196086101,3.36040288625074,18.6516756621481,17.5307986918355,2.09645763512873E-06,4.68053971169728,0,0,-2.9915816909832E-05,-1.25105680867819E-05,1.48186495446619E-05
2013-01-01 23:00:00,4.64704943403136E-05,1.56560664851639,2.96794422728498,2.31153942748135E-06,-0.000274048479178701,-46.6746343127278,3.35440685410554,18.6516755438468,15.6905156902575,2.09467313270628E-06,4.44481462256848,0,0,-3.02989579686258E-05,-1.32277258222757E-05,1.46649351705112E-05
2013-01-02 00:00:00,4.90456835752638E-05,1.5656070361669,4.67909258765338,2.38589308190978E-06,-7.80449818564218E-05,-45.1595253171743,3.34439729157936,18.6516770988221,12.6168859213263,2.1240040103903E-06,4.30199136533229,0,0,-2.91348716572418E-05,-1.31280048192082E-05,1.38582773966534E-05
2013-01-02 01:00:00,5.76156320636245E-05,1.5656087019664,3.66228328309071,2.5946662690766E-06,0.000832067262879304,-43.6448969573178,3.33066915713726,18.6516805362345,12.0478353976719,2.20323297678365E-06,4.38601529500135,0,0,-2.59571508519815E-05,-1.17904761895886E-05,1.23123864165694E-05
2013-01-02 02:00:00,5.45693953769007E-05,1.56560807586973,1.21403707125922,2.52297999997893E-06,-0.000893731179974285,-42.06102360621,3.31400684911328,18.6516795961386,12.8945276349973,2.17661119853183E-06,4.42209188294672,0,0,-2.6814379024412E-05,-1.2059197552162E-05,1.27203212713329E-05
2013-01-02 03:00:00,7.22518410727788E-05,1.56561103558408,0.727524303928298,2.87520123254726E-06,-1.47792868620837E-05,-40.8781562756098,3.29516593468572,18.6516837245648,12.5328372071476,2.30170567226904E-06,4.105351698609,0,0,-2.34175745635455E-05,-1.04718726603608E-05,1.10085713805399E-05
2013-01-02 04:00:00,0.000127037632661002,1.56565225487962,2.12449844411951,3.5549211345329E-06,5.36173225429729E-06,-41.9984499254395,3.2734709171975,18.651687748832,12.2406027554557,2.49790014773689E-06,4.14246757211118,0,0,-1.95500836012165E-05,-8.76905621510105E-06,9.48149989107277E-06
