Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,Forsmo,152.0,1.0,SE,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kvistforsen,150.0,1.0,SE,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lehtirova Wind farm,148.0,1.0,SE,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hölleforsen,147.0,1.0,SE,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Klevberget,146.0,1.0,SE,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Midskog,146.0,1.0,SE,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sidensjö,144.0,1.0,SE,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fäbodberget,143.0,1.0,SE,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stadsforsen,141.0,1.0,SE,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Höljes,140.0,1.0,SE,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stalon,137.0,1.0,SE,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ersträsk North (ERN),134.0,1.0,SE,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vargfors,132.0,1.0,SE,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hocksjön,131.0,1.0,SE,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bäckhammar,130.0,1.0,SE,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Korsselbränna,130.0,1.0,SE,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gasturbiner Malmö,129.0,1.0,SE,,,STUR,OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slite gasturbin,120.0,1.0,SE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Älvkarleby,120.0,1.0,SE,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blakliden,118.0,1.0,SE,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Målarberget,116.0,1.0,SE,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tönsen,116.0,1.0,SE,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Svartnäs,115.0,1.0,SE,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Torpshammar,115.0,1.0,SE,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Järpströmmen,114.0,1.0,SE,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Olden (Oldå og Långså),112.0,1.0,SE,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lillgrund,110.0,1.0,SE,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Högaliden Vindpark,108.0,1.0,SE,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hästkullen Södra,107.0,1.0,SE,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ögonfägnaden,106.0,1.0,SE,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuggen,104.0,1.0,SE,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grundfors,102.0,1.0,SE,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ersträsk South (ERS),101.0,1.0,SE,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nämforsen,101.0,1.0,SE,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Järnvägsforsen,100.0,1.0,SE,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Åbyverket G3,100.0,1.0,SE,,,STUR,BIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bastusel,100.0,1.0,SE,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Krokströmmen,99.0,1.0,SE,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lemnhult,98.0,1.0,SE,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Granliden,92.0,1.0,SE,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Karskruv,86.0,1.0,SE,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Umluspen,85.0,1.0,SE,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kronoberget,61.0,1.0,SE,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marhult,32.0,1.0,SE,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eken,12.0,1.0,SE,,,PHOT,SUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Öresundsverket CHP,448.0,1.0,SE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aros G3,245.0,1.0,SE,,,STUR,OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Uppsala KVV,120.0,1.0,SE,,,STUR,PEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
