index,DE -> SE,DE -> CZ,DE -> FR,DE -> AT,DE -> DK,DE -> CH,DE -> PL,DE -> NL
2016-01-01 03:00:00+0000,0.0,686.0,0.0,3097.0,202.0,3423.0,1509.0,2255.0
2016-01-01 04:00:00+0000,0.0,685.0,0.0,3068.0,203.0,3239.0,1511.0,2396.0
2016-01-01 05:00:00+0000,0.0,667.0,0.0,2841.0,206.0,3213.0,1470.0,2913.0
2016-01-01 06:00:00+0000,0.0,804.0,0.0,2846.0,208.0,3326.0,1498.0,3025.0
2016-01-01 07:00:00+0000,0.0,882.0,0.0,2930.0,217.0,3422.0,1427.0,2747.0
2016-01-01 08:00:00+0000,0.0,960.0,0.0,2832.0,215.0,2945.0,1655.0,2149.0
2016-01-01 09:00:00+0000,0.0,698.0,0.0,2487.0,208.0,2750.0,1549.0,2368.0
2016-01-01 10:00:00+0000,0.0,630.0,0.0,2346.0,207.0,2457.0,1484.0,2359.0
2016-01-01 11:00:00+0000,0.0,610.0,0.0,2171.0,169.0,2421.0,1499.0,2453.0
2016-01-01 12:00:00+0000,0.0,627.0,0.0,2094.0,155.0,2288.0,1495.0,2374.0
2016-01-01 13:00:00+0000,0.0,782.0,0.0,2409.0,148.0,2399.0,1570.0,1963.0
2016-01-01 14:00:00+0000,0.0,935.0,0.0,2512.0,77.0,2277.0,1651.0,1332.0
2016-01-01 15:00:00+0000,0.0,855.0,0.0,2041.0,76.0,2028.0,1569.0,813.0
2016-01-01 16:00:00+0000,0.0,916.0,0.0,1907.0,29.0,2105.0,1478.0,723.0
2016-01-01 17:00:00+0000,0.0,850.0,0.0,1952.0,33.0,2294.0,1424.0,115.0
2016-01-01 18:00:00+0000,0.0,843.0,0.0,2101.0,83.0,2896.0,1463.0,49.0
2016-01-01 19:00:00+0000,0.0,862.0,0.0,2204.0,79.0,3430.0,1520.0,657.0
2016-01-01 20:00:00+0000,0.0,819.0,0.0,2369.0,73.0,3767.0,1471.0,1061.0
2016-01-01 21:00:00+0000,0.0,789.0,0.0,2381.0,151.0,3481.0,1320.0,1411.0
2016-01-01 22:00:00+0000,0.0,902.0,0.0,2738.0,164.0,3638.0,1708.0,1811.0
2016-01-01 23:00:00+0000,0.0,1158.0,0.0,2875.0,213.0,3634.0,1796.0,1704.0
2016-01-02 00:00:00+0000,0.0,1220.0,0.0,3002.0,129.0,3634.0,1808.0,1848.0
2016-01-02 01:00:00+0000,0.0,1136.0,0.0,3032.0,336.0,3369.0,1707.0,1775.0
2016-01-02 02:00:00+0000,431.0,960.0,0.0,2835.0,1263.0,2855.0,1536.0,1161.0
2016-01-02 03:00:00+0000,283.0,901.0,0.0,2819.0,1717.0,2717.0,1566.0,1465.0
2016-01-02 04:00:00+0000,223.0,947.0,0.0,2955.0,2075.0,2700.0,1534.0,1682.0
2016-01-02 05:00:00+0000,150.0,992.0,0.0,2884.0,1994.0,2544.0,1607.0,1828.0
2016-01-02 06:00:00+0000,100.0,1194.0,0.0,3134.0,1857.0,3035.0,1577.0,1933.0
