,bus,type,carrier,e_nom,e_nom_mod,e_nom_extendable,e_nom_min,e_nom_max,e_nom_set,e_min_pu,e_max_pu,e_initial,e_initial_per_period,e_cyclic,e_cyclic_per_period,p_set,q_set,e_set,sign,marginal_cost,marginal_cost_quadratic,marginal_cost_storage,capital_cost,overnight_cost,discount_rate,fom_cost,standing_loss,active,build_year,lifetime,e_nom_opt,country,node,heat_load
BE1 0 residential rural water tanks-2030,BE1 0 residential rural water tanks,,residential rural water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.010247905903584223,0.0,0.0,35104.335138024115,,,0.0,0.013792883256083743,True,2030,20.0,0.6160842751552358,BE,BE1 0,residential rural heat
BE1 0 services rural water tanks-2030,BE1 0 services rural water tanks,,services rural water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.009966068528525409,0.0,0.0,35104.335138024115,,,0.0,0.013792883256083743,True,2030,20.0,1.0043654750326645,BE,BE1 0,services rural heat
BE1 0 residential urban decentral water tanks-2030,BE1 0 residential urban decentral water tanks,,residential urban decentral water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.010206120256821855,0.0,0.0,35104.335138024115,,,0.0,0.013792883256083743,True,2030,20.0,0.6206396258743259,BE,BE1 0,residential urban decentral heat
BE1 0 services urban decentral water tanks-2030,BE1 0 services urban decentral water tanks,,services urban decentral water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.01075091368359035,0.0,0.0,35104.335138024115,,,0.0,0.013792883256083743,True,2030,20.0,0.6804300550327492,BE,BE1 0,services urban decentral heat
BE1 0 urban central water tanks-2030,BE1 0 urban central water tanks,,urban central water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.010684684875240515,0.0,0.0,51.13948964357274,,,0.0,0.0002314546917104865,True,2030,25.0,714893.4375954459,BE,BE1 0,urban central heat
