name,bus0,bus1,bus2,bus3,bus4,type,carrier,efficiency,efficiency2,efficiency3,efficiency4,active,build_year,lifetime,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_set,p_init,p_min_pu,p_max_pu,capital_cost,overnight_cost,discount_rate,fom_cost,marginal_cost,marginal_cost_quadratic,stand_by_cost,length,terrain_factor,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,delay,delay2,delay3,delay4,cyclic_delay,cyclic_delay2,cyclic_delay3,cyclic_delay4,p_nom_opt,geometry,tags,under_construction,underground,underwater_fraction,length_original,reversed
BE1 0 co2 sequestered,BE1 0 co2 stored,BE1 0 co2 sequestered,,,,,co2 sequestered,1.0,1.0,1.0,1.0,True,0,inf,0.0,0.0,True,0.0,inf,,,,0.0,1.0,0.0,,,0.0,0.009026319662581724,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,367.43888076591105,,,,,,0.0,False
BE1 0 OCGT-2030,BE1 0 gas,BE1 0,co2 atmosphere,,,,OCGT,0.41,0.198,1.0,1.0,True,2030,25.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,19564.65493111743,,,0.0,1.9625057208493544,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,7406.010419693173,,,,,,0.0,False
BE1 0 CCGT-2030,BE1 0 gas,BE1 0,co2 atmosphere,,,,CCGT,0.58,0.198,1.0,1.0,True,2030,25.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,60777.05205432785,,,0.0,2.587141119941457,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.24014390249586312,,,,,,0.0,False
BE1 0 nuclear-2030,EU uranium,BE1 0,co2 atmosphere,,,,nuclear,0.326,0.0,1.0,1.0,True,2030,40.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,245733.6541868906,,,0.0,1.1671242368119459,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,240.85941474103052,,,,,,0.0,False
BE1 0 H2 Electrolysis-2030,BE1 0,BE1 0 H2,,,,,H2 Electrolysis,0.6217,1.0,1.0,1.0,True,2030,25.0,0.0,0.0,True,150.0,150.0,,,,0.0,1.0,69195.78447136609,,,0.0,0.009179663734144729,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,150.0,,,,,,0.0,False
BE1 0 H2 Fuel Cell-2030,BE1 0 H2,BE1 0,BE1 0 urban central heat,,,,H2 Fuel Cell,0.5,0.44999999999999996,1.0,1.0,True,2030,10.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,111967.91965463593,,,0.0,0.00990217669243975,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,126.6325297560195,,,,,,0.0,False
BE1 0 H2 turbine-2030,BE1 0 H2,BE1 0,,,,,H2 turbine,0.397,1.0,1.0,1.0,True,2030,25.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,31505.081502453184,,,0.0,6.772805113077197,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.7740542703089518,,,,,,0.0,False
BE1 0 battery charger-2030,BE1 0,BE1 0 battery,,,,,battery charger,0.9797958971132712,1.0,1.0,1.0,True,2030,10.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,24678.157875535107,,,0.0,0.010595465190381879,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,4563.154853807498,,,,,,0.0,False
BE1 0 battery discharger-2030,BE1 0 battery,BE1 0,,,,,battery discharger,0.9797958971132712,1.0,1.0,1.0,True,2030,10.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,0.0,,,0.0,0.009351656530911391,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,4657.250420473263,,,,,,0.0,False
BE1 0 Sabatier-2030,BE1 0 H2,BE1 0 gas,BE1 0 co2 stored,,,,Sabatier,0.8,-0.1584,1.0,1.0,True,2030,20.0,0.0,0.0,True,0.0,inf,,,,0.3,1.0,67651.68975151317,,,0.0,0.01006815298443213,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.08264561376585257,,,,,,0.0,False
BE1 0 SMR CC-2030,BE1 0 gas,BE1 0 H2,co2 atmosphere,BE1 0 co2 stored,,,SMR CC,0.69,0.019799999999999998,0.17820000000000003,1.0,True,2030,30.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,79103.13403637432,,,0.0,0.010053881277468741,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.07592610938319022,,,,,,0.0,False
BE1 0 SMR-2030,BE1 0 gas,BE1 0 H2,co2 atmosphere,,,,SMR,0.76,0.198,1.0,1.0,True,2030,30.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,68192.35692475682,,,0.0,0.009983952097715897,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.08260588192317747,,,,,,0.0,False
BE1 0 EV charger,BE1 0 low voltage,BE1 0 EV battery,,,,,EV charger,0.9,1.0,1.0,1.0,True,0,inf,18557.810699999998,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,0.010768006065350035,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,18557.810699999998,,,,,,0.0,False
BE1 0 V2G,BE1 0 EV battery,BE1 0 low voltage,,,,,V2G,0.9,1.0,1.0,1.0,True,0,inf,18557.810699999998,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,0.010610793870788733,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,18557.810699999998,,,,,,0.0,False
BE1 0 land transport oil,BE1 0 oil,BE1 0 land transport oil,co2 atmosphere,,,,land transport oil,1.0,0.2571,1.0,1.0,True,0,inf,0.0,0.0,True,0.0,inf,,,,0.0,1.0,0.0,,,0.0,0.010032221671063005,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,18778.161933169533,,,,,,0.0,False
BE1 0 residential rural ground heat pump-2030,BE1 0 low voltage,BE1 0 residential rural heat,,,,,residential rural ground heat pump,1.0,1.0,1.0,1.0,True,2030,20.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,685285.739303083,,,0.0,0.009243679055534823,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,148.49730065938527,,,,,,0.0,False
BE1 0 residential rural air heat pump-2030,BE1 0 low voltage,BE1 0 residential rural heat,,,,,residential rural air heat pump,1.0,1.0,1.0,1.0,True,2030,18.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,464475.86492974695,,,0.0,0.009063835975211503,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.04904215589411255,,,,,,0.0,False
BE1 0 residential rural water tanks charger,BE1 0 residential rural heat,BE1 0 residential rural water tanks,,,,,residential rural water tanks charger,0.8367,1.0,1.0,1.0,True,0,inf,0.0,0.0,True,0.0,inf,,,,0.0,1.0,0.0,,,0.0,0.010251813023370337,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,48.82206892226065,,,,,,0.0,False
BE1 0 residential rural water tanks discharger,BE1 0 residential rural water tanks,BE1 0 residential rural heat,,,,,residential rural water tanks discharger,0.8367,1.0,1.0,1.0,True,0,inf,0.0,0.0,True,0.0,inf,,,,0.0,1.0,0.0,,,0.0,0.009384060287427935,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,40.84475910339838,,,,,,0.0,False
BE1 0 residential rural resistive heater-2030,BE1 0 low voltage,BE1 0 residential rural heat,,,,,residential rural resistive heater,0.9,1.0,1.0,1.0,True,2030,20.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,79054.77447986482,,,0.0,0.01088361392883251,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.11239288798440981,,,,,,0.0,False
BE1 0 residential rural gas boiler-2030,BE1 0 gas,BE1 0 residential rural heat,co2 atmosphere,,,,residential rural gas boiler,0.98,0.198,1.0,1.0,True,2030,20.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,97846.11056504669,,,0.0,0.010863405765922972,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.11758157402685591,,,,,,0.0,False
BE1 0 services rural ground heat pump-2030,BE1 0 low voltage,BE1 0 services rural heat,,,,,services rural ground heat pump,1.0,1.0,1.0,1.0,True,2030,20.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,685285.739303083,,,0.0,0.009358780349309332,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,327.2541871332976,,,,,,0.0,False
BE1 0 services rural air heat pump-2030,BE1 0 low voltage,BE1 0 services rural heat,,,,,services rural air heat pump,1.0,1.0,1.0,1.0,True,2030,18.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,464475.86492974695,,,0.0,0.01036978293095318,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.056796616333154894,,,,,,0.0,False
BE1 0 services rural water tanks charger,BE1 0 services rural heat,BE1 0 services rural water tanks,,,,,services rural water tanks charger,0.8367,1.0,1.0,1.0,True,0,inf,0.0,0.0,True,0.0,inf,,,,0.0,1.0,0.0,,,0.0,0.010886361142354166,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,41.29393397044291,,,,,,0.0,False
BE1 0 services rural water tanks discharger,BE1 0 services rural water tanks,BE1 0 services rural heat,,,,,services rural water tanks discharger,0.8367,1.0,1.0,1.0,True,0,inf,0.0,0.0,True,0.0,inf,,,,0.0,1.0,0.0,,,0.0,0.010750919658626075,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,34.54259733338331,,,,,,0.0,False
BE1 0 services rural resistive heater-2030,BE1 0 low voltage,BE1 0 services rural heat,,,,,services rural resistive heater,0.9,1.0,1.0,1.0,True,2030,20.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,79054.77447986482,,,0.0,0.010905205396815928,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.34583987290049767,,,,,,0.0,False
BE1 0 services rural gas boiler-2030,BE1 0 gas,BE1 0 services rural heat,co2 atmosphere,,,,services rural gas boiler,0.98,0.198,1.0,1.0,True,2030,20.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,97846.11056504669,,,0.0,0.010620629690520895,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.35445884780809556,,,,,,0.0,False
BE1 0 residential urban decentral air heat pump-2030,BE1 0 low voltage,BE1 0 residential urban decentral heat,,,,,residential urban decentral air heat pump,1.0,1.0,1.0,1.0,True,2030,18.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,464475.86492974695,,,0.0,0.01093472377128536,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,3128.5393393683876,,,,,,0.0,False
