name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,p_init,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,overnight_cost,discount_rate,fom_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt
BE1 0 offwind-ac-2030,BE1 0,Slack,,909.527124128332,0.0,True,0.0,1738.1999999999998,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-ac,0.024711829731434917,0.0,True,2030,30.0,202862.72112260357,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,544.095498654778,1738.1993735928063
BE1 0 offwind-dc-2030,BE1 0,,,1411.475043654688,0.0,True,0.0,2000.0,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-dc,0.025525095627570868,0.0,True,2030,30.0,220375.13084402255,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1025.4434625451063,1999.999446467558
BE1 0 onwind-2030,BE1 0,,,2236.986576114382,0.0,True,0.0,3024.4,,0.0,1.0000000000000002,,,-inf,inf,0.0,1.0,onwind,0.025186353833124446,0.0,True,2030,30.0,115719.82225714701,,,0.0,1.0000000000000002,False,0.0,0.0,0.0,0,0,1,0,,,,,4123.910506825572,3024.398849192293
BE1 0 ror,BE1 0,,,59.015339742579165,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,ror,0.010383403597400354,0.0,True,0,inf,308170.3719034552,,,0.0,0.9,False,0.0,0.0,0.0,0,0,1,0,,,,,59.015339742579165,59.015339742579165
BE1 0 solar-2030,BE1 0,,,5357.783105747789,0.0,True,0.0,5103.6,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.019302254904696163,0.0,True,2030,40.0,52359.079122601375,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,13623.931102267337,5103.599411764723
BE1 0 oil,BE1 0 oil,PQ,,0.0,0.0,True,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,oil,52.920684978825584,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,17228.517766934165
BE1 0 gas,BE1 0 gas,PQ,,39563.050946355725,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,gas,35.10978874010791,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,39563.050946355725
BE1 0 residential rural solar thermal collector-2030,BE1 0 residential rural heat,PQ,,0.0,0.0,True,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,residential rural solar thermal,0.009158731580756032,0.0,True,2030,20.0,27211.936169229415,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.11154165884574126
BE1 0 services rural solar thermal collector-2030,BE1 0 services rural heat,PQ,,0.0,0.0,True,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,services rural solar thermal,0.00959372155096136,0.0,True,2030,20.0,27211.936169229415,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.10917004854384348
BE1 0 residential urban decentral solar thermal collector-2030,BE1 0 residential urban decentral heat,PQ,,0.0,0.0,True,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,residential urban decentral solar thermal,0.009097158065688537,0.0,True,2030,20.0,27211.936169229415,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.11635641065083789
BE1 0 services urban decentral solar thermal collector-2030,BE1 0 services urban decentral heat,PQ,,0.0,0.0,True,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,services urban decentral solar thermal,0.009612939506659115,0.0,True,2030,20.0,27211.936169229415,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.11394219595831384
BE1 0 urban central solar thermal collector-2030,BE1 0 urban central heat,PQ,,0.0,0.0,True,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,urban central solar thermal,0.009880655753330818,0.0,True,2030,20.0,17664.37569062365,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.17268215918905871
