00:00 - 00:15,240,0,n/e,n/e,n/e,n/e,28,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1591,2235,0,63,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,880,0
00:15 - 00:30,240,0,n/e,n/e,n/e,n/e,28,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1603,2229,0,74,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,888,0
00:30 - 00:45,240,0,n/e,n/e,n/e,n/e,29,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1572,2211,0,69,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,948,0
00:45 - 01:00,240,0,n/e,n/e,n/e,n/e,28,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1579,2195,0,71,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,968,0
01:00 - 01:15,240,0,n/e,n/e,n/e,n/e,29,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1650,2203,0,75,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,956,0
01:15 - 01:30,240,0,n/e,n/e,n/e,n/e,28,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1702,2172,0,66,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,952,0
01:30 - 01:45,240,0,n/e,n/e,n/e,n/e,28,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1716,2166,0,67,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,936,0
01:45 - 02:00,240,0,n/e,n/e,n/e,n/e,28,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1719,2140,0,64,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,980,0
02:00 - 02:15,240,0,n/e,n/e,n/e,n/e,28,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1766,2136,0,67,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,964,0
02:15 - 02:30,240,0,n/e,n/e,n/e,n/e,28,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1727,2166,0,67,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,856,0
