index,HU -> SI,HU -> RO,HU -> SK,HU -> AT,HU -> HR
2023-01-01 00:00:00+0000,493.0,289.0,0.0,0.0,1315.0
2023-01-01 00:15:00+0000,498.0,305.0,,0.0,
2023-01-01 00:30:00+0000,510.0,279.0,,0.0,
2023-01-01 00:45:00+0000,509.0,264.0,,0.0,
2023-01-01 01:00:00+0000,509.0,239.0,0.0,0.0,1222.0
2023-01-01 01:15:00+0000,515.0,240.0,,0.0,
2023-01-01 01:30:00+0000,509.0,255.0,,0.0,
2023-01-01 01:45:00+0000,502.0,269.0,,0.0,
2023-01-01 02:00:00+0000,489.0,274.0,0.0,0.0,1092.0
2023-01-01 02:15:00+0000,460.0,283.0,,0.0,
2023-01-01 02:30:00+0000,441.0,300.0,,0.0,
2023-01-01 02:45:00+0000,474.0,262.0,,0.0,
2023-01-01 03:00:00+0000,452.0,239.0,0.0,0.0,944.0
2023-01-01 03:15:00+0000,449.0,245.0,,0.0,
2023-01-01 03:30:00+0000,442.0,241.0,,0.0,
2023-01-01 03:45:00+0000,437.0,238.0,,1.0,
2023-01-01 04:00:00+0000,452.0,222.0,0.0,24.0,912.0
2023-01-01 04:15:00+0000,442.0,216.0,,13.0,
2023-01-01 04:30:00+0000,443.0,213.0,,22.0,
2023-01-01 04:45:00+0000,439.0,227.0,,1.0,
2023-01-01 05:00:00+0000,412.0,267.0,0.0,0.0,915.0
2023-01-01 05:15:00+0000,422.0,259.0,,0.0,
2023-01-01 05:30:00+0000,415.0,256.0,,0.0,
2023-01-01 05:45:00+0000,417.0,253.0,,4.0,
2023-01-01 06:00:00+0000,432.0,229.0,0.0,34.0,863.0
2023-01-01 06:15:00+0000,428.0,241.0,,41.0,
2023-01-01 06:30:00+0000,425.0,263.0,,5.0,
2023-01-01 06:45:00+0000,433.0,219.0,,84.0,
2023-01-01 07:00:00+0000,436.0,137.0,0.0,183.0,847.0
2023-01-01 07:15:00+0000,456.0,131.0,,225.0,
2023-01-01 07:30:00+0000,490.0,82.0,,296.0,
2023-01-01 07:45:00+0000,504.0,32.0,,402.0,
2023-01-01 08:00:00+0000,461.0,69.0,0.0,291.0,958.0
2023-01-01 08:15:00+0000,472.0,70.0,,232.0,
2023-01-01 08:30:00+0000,479.0,63.0,,242.0,
2023-01-01 08:45:00+0000,457.0,81.0,,149.0,
2023-01-01 09:00:00+0000,454.0,73.0,0.0,108.0,1091.0
2023-01-01 09:15:00+0000,452.0,77.0,,113.0,
2023-01-01 09:30:00+0000,446.0,86.0,,92.0,
2023-01-01 09:45:00+0000,479.0,61.0,,174.0,
2023-01-01 10:00:00+0000,483.0,16.0,0.0,252.0,1076.0
2023-01-01 10:15:00+0000,480.0,45.0,,193.0,
2023-01-01 10:30:00+0000,484.0,44.0,,211.0,
2023-01-01 10:45:00+0000,486.0,39.0,,210.0,
2023-01-01 11:00:00+0000,423.0,72.0,0.0,135.0,1020.0
2023-01-01 11:15:00+0000,412.0,64.0,,155.0,
