00:00 - 01:00,179,,1647,,53,,841,,5279,,312,,n/e,n/e,n/e,n/e,n/e,n/e,123,,214,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,4251
01:00 - 02:00,179,,2085,,52,,1047,,5555,,312,,n/e,n/e,n/e,n/e,n/e,n/e,0,,214,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,3125
02:00 - 03:00,179,,2172,,53,,851,,5313,,313,,n/e,n/e,n/e,n/e,n/e,n/e,0,,214,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,3487
03:00 - 04:00,180,,1900,,52,,781,,5148,,311,,n/e,n/e,n/e,n/e,n/e,n/e,0,,214,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,4258
04:00 - 05:00,179,,1655,,51,,798,,4971,,309,,n/e,n/e,n/e,n/e,n/e,n/e,0,,214,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,4474
05:00 - 06:00,179,,1536,,47,,791,,4981,,307,,n/e,n/e,n/e,n/e,n/e,n/e,0,,214,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,4497
06:00 - 07:00,179,,1551,,49,,794,,4975,,309,,n/e,n/e,n/e,n/e,n/e,n/e,0,,214,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8,,n/e,n/e,n/e,n/e,4566
07:00 - 08:00,179,,1545,,49,,799,,5048,,311,,n/e,n/e,n/e,n/e,n/e,n/e,0,,218,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,351,,n/e,n/e,n/e,n/e,4338
08:00 - 09:00,178,,1539,,50,,799,,5056,,309,,n/e,n/e,n/e,n/e,n/e,n/e,0,,225,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1116,,n/e,n/e,n/e,n/e,4223
09:00 - 10:00,179,,1567,,52,,807,,5042,,307,,n/e,n/e,n/e,n/e,n/e,n/e,0,,224,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1975,,n/e,n/e,n/e,n/e,4156
10:00 - 11:00,178,,1550,,52,,805,,4970,,306,,n/e,n/e,n/e,n/e,n/e,n/e,0,,220,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2399,,n/e,n/e,n/e,n/e,4525
11:00 - 12:00,191,,1533,,52,,803,,4918,,303,,n/e,n/e,n/e,n/e,n/e,n/e,0,,220,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2217,,n/e,n/e,n/e,n/e,5247
12:00 - 13:00,196,,1622,,52,,829,,5044,,299,,n/e,n/e,n/e,n/e,n/e,n/e,0,,219,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1602,,n/e,n/e,n/e,n/e,5709
13:00 - 14:00,197,,1590,,52,,820,,5012,,301,,n/e,n/e,n/e,n/e,n/e,n/e,0,,219,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,714,,n/e,n/e,n/e,n/e,6466
14:00 - 15:00,195,,1546,,50,,846,,5007,,302,,n/e,n/e,n/e,n/e,n/e,n/e,0,,232,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,141,,n/e,n/e,n/e,n/e,6702
15:00 - 16:00,196,,1770,,46,,880,,5210,,303,,n/e,n/e,n/e,n/e,n/e,n/e,273,,247,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,6506
16:00 - 17:00,196,,1800,,44,,740,,5267,,301,,n/e,n/e,n/e,n/e,n/e,n/e,495,,260,,50,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,6116
17:00 - 18:00,197,,2203,,45,,556,,5438,,293,,n/e,n/e,n/e,n/e,n/e,n/e,788,,266,,57,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,5601
18:00 - 19:00,195,,2403,,45,,548,,5738,,291,,n/e,n/e,n/e,n/e,n/e,n/e,907,,267,,57,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,4832
