00:00 - 01:00,549,,n/e,n/e,n/e,n/e,565,,551,,1,,n/e,n/e,472,,n/e,n/e,n/e,n/e,1166,,n/e,n/e,n/e,n/e,2798,,114,,25,,n/e,n/e,7,,n/e,n/e,1219,
01:00 - 02:00,546,,n/e,n/e,n/e,n/e,563,,519,,1,,n/e,n/e,466,,n/e,n/e,n/e,n/e,980,,n/e,n/e,n/e,n/e,2798,,114,,25,,n/e,n/e,7,,n/e,n/e,1197,
02:00 - 03:00,547,,n/e,n/e,n/e,n/e,562,,515,,1,,n/e,n/e,466,,n/e,n/e,n/e,n/e,929,,n/e,n/e,n/e,n/e,2798,,116,,26,,n/e,n/e,7,,n/e,n/e,1190,
03:00 - 04:00,542,,n/e,n/e,n/e,n/e,574,,514,,1,,n/e,n/e,468,,n/e,n/e,n/e,n/e,889,,n/e,n/e,n/e,n/e,2797,,115,,26,,n/e,n/e,7,,n/e,n/e,1050,
04:00 - 05:00,542,,n/e,n/e,n/e,n/e,562,,515,,1,,n/e,n/e,483,,n/e,n/e,n/e,n/e,912,,n/e,n/e,n/e,n/e,2797,,112,,26,,n/e,n/e,7,,n/e,n/e,916,
05:00 - 06:00,544,,n/e,n/e,n/e,n/e,562,,515,,1,,n/e,n/e,489,,n/e,n/e,n/e,n/e,875,,n/e,n/e,n/e,n/e,2797,,111,,26,,n/e,n/e,7,,n/e,n/e,897,
06:00 - 07:00,542,,n/e,n/e,n/e,n/e,585,,515,,1,,n/e,n/e,490,,n/e,n/e,n/e,n/e,904,,n/e,n/e,n/e,n/e,2797,,108,,26,,n/e,n/e,7,,n/e,n/e,863,
07:00 - 08:00,542,,n/e,n/e,n/e,n/e,618,,515,,1,,n/e,n/e,487,,n/e,n/e,n/e,n/e,1070,,n/e,n/e,n/e,n/e,2797,,102,,25,,n/e,n/e,7,,n/e,n/e,880,
08:00 - 09:00,542,,n/e,n/e,n/e,n/e,645,,515,,1,,n/e,n/e,494,,n/e,n/e,n/e,n/e,1094,,n/e,n/e,n/e,n/e,2797,,96,,25,,n/e,n/e,7,,n/e,n/e,952,
09:00 - 10:00,548,,n/e,n/e,n/e,n/e,678,,514,,1,,n/e,n/e,491,,n/e,n/e,n/e,n/e,1143,,n/e,n/e,n/e,n/e,2797,,92,,26,,n/e,n/e,7,,n/e,n/e,1062,
10:00 - 11:00,577,,n/e,n/e,n/e,n/e,714,,515,,1,,n/e,n/e,487,,n/e,n/e,n/e,n/e,1184,,n/e,n/e,n/e,n/e,2797,,79,,26,,n/e,n/e,7,,n/e,n/e,1186,
11:00 - 12:00,602,,n/e,n/e,n/e,n/e,697,,514,,1,,n/e,n/e,484,,n/e,n/e,n/e,n/e,1182,,n/e,n/e,n/e,n/e,2797,,77,,26,,n/e,n/e,7,,n/e,n/e,1283,
12:00 - 13:00,604,,n/e,n/e,n/e,n/e,693,,514,,1,,n/e,n/e,478,,n/e,n/e,n/e,n/e,1109,,n/e,n/e,n/e,n/e,2796,,77,,26,,n/e,n/e,7,,n/e,n/e,1356,
