index,FR -> RoW,FR -> NL,DE -> FR,DE -> RoW,BE -> RoW,FR -> BE,FR -> UK,NL -> UK,UK -> RoW,BE -> NL,RoW -> BE,NL -> FR,BE -> FR,RoW -> UK,DE -> NL,BE -> DE,BE -> UK,NL -> BE,UK -> FR,DE -> BE,UK -> NL,UK -> BE,RoW -> DE,RoW -> NL,NL -> RoW,NL -> DE,DE -> UK,RoW -> FR,UK -> DE,FR -> DE
2050-01-01 00:00:00,,,,,,104.107713584829,,,,,,,,,,,,3920.60429421795,61817.05205699067,0.0034874187211959,10825.629865040839,2460.37095877223,,,,4735.09235656846,,,3444.51908945262,72.6934671991735
2050-01-01 01:00:00,,,,,,248.143043185875,,,,,,,,,,,,3914.42967936039,61817.05243134571,0.0034480887141254,10825.6298937649,2460.37098428872,,,,4722.65889872257,,,3444.51910761265,173.266591619233
2050-01-01 02:00:00,,,,,,515.167758912737,,,,,,,,,,,,3899.53957464162,61817.052397211075,0.0034332180629307,10825.62980691196,2460.3709796006,,,,4705.47623183674,,,3444.51910622238,359.717472030288
2050-01-01 03:00:00,,,,,,849.520352929848,,,,,,,,,,,,3891.28962747658,61817.052245597995,0.003380302827141,10825.62958931212,2460.37096536514,,,,4703.41213430834,,,3444.51910540792,593.1802837972
2050-01-01 04:00:00,,,,,,649.203755829328,,,,,,,,,,,,3818.78879382071,61817.05248786605,0.0036281413618461,10825.632265193599,2460.37102456905,,,,4615.77026300703,,,3444.51909485296,453.308562747384
2050-01-01 05:00:00,,,494.705539177864,,,,,,,,,,708.489915156149,,,,,3789.42832025934,61817.054314477136,0.0053267711249,10825.63220990948,2460.37126214298,,,,4581.55470410694,,,3444.51908846933,
2050-01-01 06:00:00,,,1315.5656008888,,,,,,,,,,1884.0805691859,,,,,3725.85797749587,61817.053869704956,0.0052544372949018,10825.63209801778,2460.37123105738,,,,4502.29451768274,,,3444.51906271054,
2050-01-01 07:00:00,,,,,,987.564487240364,,,,,,,,,,,,3688.6363134071,61817.055202648604,0.0031566839106402,10825.631967965961,2460.37120390852,,,,4454.40077052596,,,3444.51922493928,689.570042261303
2050-01-01 08:00:00,,,2987.23682393657,,,,,,,,,,4278.15609576084,,,,,3677.39632324987,61817.05745256781,0.0052666582210743,10825.632984249962,2460.37138096465,,,,4440.08428586465,,,3444.51917348375,
2050-01-01 09:00:00,,,,,,929.765595879746,,,,,,,,,,,,3671.85052960211,61817.05576966302,0.0037713890995749,10825.63339982424,2460.37127859154,,,,4431.46157312898,,,3444.51922320166,649.211757057494
