Dispaset_Headers,Equivalent_Headers_1,Equivalent_Headers_2,Equivalent_Headers_3,Equivalent_Headers_4,Equivalent_Headers_5,Equivalent_Headers_6,Equivalent_Headers_7,Equivalent_Headers_8
 ,-,-,-,-,-,-,-,-
Unit,name_bnetza,Unit,name,Name,-,-,-,-
PowerCapacity,capacity_net_bnetza,Pmax available,capacity,electrical_capacity,Intalled Capacity at the beginning of year [MW],-,-,-
Nunits,-,-,-,-,-,-,-,-
Zone,country,Country,-,-,-,-,-,-
Zone_th,-,-,-,-,-,-,-,-
Zone_h2,-,-,-,-,-,-,-,-
Technology,technology,Production Unit Type,Technology,-,-,-,-,-
Fuel,energy_source_level_2,Fuel code,energy_source,fuel,Fuel,-,-,-
Efficiency,efficiency_estimate,,-,-,-,-,-,-
MinUpTime,-,-,-,-,-,-,-,-
MinDownTime,-,-,-,-,-,-,-,-
RampUpRate,-,-,-,-,-,-,-,-
RampDownRate,-,-,-,-,-,-,-,-
StartUpCost,-,-,-,-,-,-,-,-
NoLoadCost_pu,-,-,-,-,-,-,-,-
RampingCost,-,-,-,-,-,-,-,-
PartLoadMin,-,-,-,-,-,-,-,-
MinEfficiency,-,-,-,-,-,-,-,-
StartUpTime,-,-,-,-,-,-,-,-
CO2Intensity,,-,-,-,-,-,-,-
CHPType,chp,-,-,-,-,-,-,-
CHPPowerToHeat,-,-,-,-,-,-,-,-
CHPPowerLossFactor,-,-,-,-,-,-,-,-
CHPMaxHeat,chp_capacity_uba,-,-,-,-,-,-,-
COP,-,-,-,-,-,-,-,-
Tnominal,-,-,-,-,-,-,-,-
coef_COP_a,-,-,-,-,-,-,-,-
coef_COP_b,-,-,-,-,-,-,-,-
STOCapacity,-,-,-,-,-,-,-,-
STOSelfDischarge,-,-,-,-,-,-,-,-
STOMaxChargingPower,-,-,-,-,-,-,-,-
STOChargingEfficiency,-,-,-,-,-,-,-,-
WaterWithdrawal,-,-,-,-,-,-,-,-
WaterConsumption,-,-,-,-,-,-,-,-
Status,-,-,-,-,-,-,-,-
Source,source,-,-,-,-,-,-,-
Company,company,-,-,-,-,-,-,-
Lat,lat,-,-,-,-,-,-,-
Lon,lon,-,-,-,-,-,-,-
