00:00 - 01:00,172,,3107,,226,,213,,525,,7,,n/e,n/e,n/e,n/e,n/e,n/e,0,113,107,,32,,n/e,n/e,3010,,101,,258,,0,,20,,n/e,n/e,41,
01:00 - 02:00,172,,3138,,225,,213,,526,,7,,n/e,n/e,n/e,n/e,n/e,n/e,0,331,107,,32,,n/e,n/e,3010,,101,,258,,0,,20,,n/e,n/e,34,
02:00 - 03:00,172,,3177,,205,,218,,538,,7,,n/e,n/e,n/e,n/e,n/e,n/e,0,488,108,,31,,n/e,n/e,3008,,101,,253,,0,,19,,n/e,n/e,31,
03:00 - 04:00,172,,3233,,223,,219,,539,,7,,n/e,n/e,n/e,n/e,n/e,n/e,0,581,108,,31,,n/e,n/e,3008,,100,,251,,0,,19,,n/e,n/e,26,
04:00 - 05:00,172,,3221,,224,,223,,541,,7,,n/e,n/e,n/e,n/e,n/e,n/e,0,584,104,,42,,n/e,n/e,3008,,100,,251,,0,,19,,n/e,n/e,27,
05:00 - 06:00,172,,3228,,243,,222,,541,,7,,n/e,n/e,n/e,n/e,n/e,n/e,0,687,103,,51,,n/e,n/e,3009,,102,,252,,0,,18,,n/e,n/e,24,
06:00 - 07:00,172,,3161,,241,,225,,538,,7,,n/e,n/e,n/e,n/e,n/e,n/e,0,659,112,,41,,n/e,n/e,3009,,104,,252,,1,,18,,n/e,n/e,24,
07:00 - 08:00,172,,3036,,236,,224,,525,,7,,n/e,n/e,n/e,n/e,n/e,n/e,0,950,108,,51,,n/e,n/e,3007,,104,,251,,9,,18,,n/e,n/e,26,
08:00 - 09:00,172,,3124,,241,,231,,536,,7,,n/e,n/e,n/e,n/e,n/e,n/e,0,913,110,,44,,n/e,n/e,3006,,104,,252,,38,,18,,n/e,n/e,19,
09:00 - 10:00,172,,3162,,240,,232,,537,,7,,n/e,n/e,n/e,n/e,n/e,n/e,0,5,114,,35,,n/e,n/e,3006,,111,,255,,72,,18,,n/e,n/e,20,
10:00 - 11:00,172,,3210,,239,,228,,529,,7,,n/e,n/e,n/e,n/e,n/e,n/e,219,0,110,,34,,n/e,n/e,3004,,110,,255,,98,,19,,n/e,n/e,14,
11:00 - 12:00,181,,3352,,243,,236,,536,,7,,n/e,n/e,n/e,n/e,n/e,n/e,1,0,110,,34,,n/e,n/e,3003,,111,,256,,131,,20,,n/e,n/e,11,
12:00 - 13:00,180,,3325,,242,,235,,529,,7,,n/e,n/e,n/e,n/e,n/e,n/e,0,0,108,,34,,n/e,n/e,3001,,111,,256,,114,,20,,n/e,n/e,9,
13:00 - 14:00,173,,3299,,242,,231,,527,,7,,n/e,n/e,n/e,n/e,n/e,n/e,67,0,108,,34,,n/e,n/e,3000,,111,,256,,64,,20,,n/e,n/e,6,
14:00 - 15:00,172,,3295,,243,,230,,543,,7,,n/e,n/e,n/e,n/e,n/e,n/e,191,0,110,,34,,n/e,n/e,2999,,111,,256,,17,,20,,n/e,n/e,5,
15:00 - 16:00,172,,3346,,240,,225,,550,,7,,n/e,n/e,n/e,n/e,n/e,n/e,402,0,94,,112,,n/e,n/e,2999,,113,,256,,1,,20,,n/e,n/e,6,
