00:00 - 01:00,49,,n/e,n/e,n/e,n/e,630,,993,,11,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,165,,445,,674,
01:00 - 02:00,49,,n/e,n/e,n/e,n/e,493,,875,,11,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,163,,521,,908,
02:00 - 03:00,49,,n/e,n/e,n/e,n/e,487,,839,,11,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,162,,503,,863,
03:00 - 04:00,49,,n/e,n/e,n/e,n/e,504,,812,,15,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,166,,499,,733,
04:00 - 05:00,49,,n/e,n/e,n/e,n/e,495,,785,,13,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,165,,498,,722,
05:00 - 06:00,70,,n/e,n/e,n/e,n/e,498,,829,,15,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,167,,400,,718,
06:00 - 07:00,70,,n/e,n/e,n/e,n/e,496,,860,,12,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,169,,288,,761,
07:00 - 08:00,70,,n/e,n/e,n/e,n/e,507,,885,,15,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,177,,212,,728,
08:00 - 09:00,70,,n/e,n/e,n/e,n/e,505,,849,,13,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,192,,268,,547,
09:00 - 10:00,71,,n/e,n/e,n/e,n/e,512,,869,,16,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,194,,188,,434,
10:00 - 11:00,71,,n/e,n/e,n/e,n/e,549,,780,,20,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7,,195,,214,,321,
11:00 - 12:00,66,,n/e,n/e,n/e,n/e,535,,685,,19,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,33,,189,,139,,233,
12:00 - 13:00,72,,n/e,n/e,n/e,n/e,519,,709,,23,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,66,,190,,89,,145,
13:00 - 14:00,73,,n/e,n/e,n/e,n/e,552,,729,,24,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,80,,192,,90,,84,
14:00 - 15:00,71,,n/e,n/e,n/e,n/e,574,,793,,22,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,65,,190,,76,,48,
15:00 - 16:00,72,,n/e,n/e,n/e,n/e,535,,888,,19,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,34,,189,,81,,46,
16:00 - 17:00,72,,n/e,n/e,n/e,n/e,521,,1024,,20,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7,,189,,48,,40,
17:00 - 18:00,72,,n/e,n/e,n/e,n/e,525,,1157,,21,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,191,,42,,25,
18:00 - 19:00,70,,n/e,n/e,n/e,n/e,657,,1354,,13,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,188,,75,,39,
19:00 - 20:00,71,,n/e,n/e,n/e,n/e,568,,1407,,15,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,187,,101,,61,
20:00 - 21:00,70,,n/e,n/e,n/e,n/e,529,,1260,,15,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,186,,127,,83,
21:00 - 22:00,74,,n/e,n/e,n/e,n/e,524,,1119,,18,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,189,,173,,133,
22:00 - 23:00,74,,n/e,n/e,n/e,n/e,495,,1022,,15,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,186,,218,,248,
23:00 - 00:00,74,,n/e,n/e,n/e,n/e,493,,798,,15,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,188,,488,,407,
00:00 - 01:00,74,,n/e,n/e,n/e,n/e,495,,689,,15,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,187,,637,,505,
