,bus0,bus1,Optimized capacity,type
1,BE1 0,FR1 0,5804.99884700204,AC
2,BE1 0,NL1 0,4589.99999533706,AC
3,DE1 0,FR1 0,4454.99978170642,AC
4,DE1 0,NL1 0,5855.62960167615,AC
14801,DE1 0,BE1 0,1349.99984927524,DC
14814,GB0 0,NL1 0,1349.9995927644,DC
14826,GB0 0,FR1 0,2699.99890844116,DC
5581,GB0 0,GB2 0,3376.34938877704,DC
5580,GB0 0,GB2 0,337.499122516883,DC
T2,FR1 0,GB0 0,1349.99861860694,DC
T6,GB0 0,BE1 0,1349.99982042253,DC
T11,GB0 0,FR1 0,1889.99878596068,DC
T18,GB0 0,FR1 0,2699.99877801857,DC
T20,GB0 0,FR1 0,1889.99880248988,DC
T21,GB0 0,DE1 0,1889.99936750274,DC
T32,GB0 0,NL1 0,1619.9995931435,DC
