,bus0,bus1,Optimized capacity,type
1,BE1 0,FR1 0,7945.84360001761,AC
2,BE1 0,NL1 0,8365.27418830183,AC
3,DE1 0,FR1 0,5971.00390865273,AC
4,DE1 0,NL1 0,10349.4390593849,AC
14801,DE1 0,BE1 0,2460.3744614626,DC
14814,GB0 0,NL1 0,2460.37374270017,DC
14826,GB0 0,FR1 0,4920.74649512873,DC
5581,GB0 0,GB2 0,4558.0874490483,DC
5580,GB0 0,GB2 0,455.621919531766,DC
T2,FR1 0,GB0 0,2460.37098621818,DC
T6,GB0 0,BE1 0,2460.37426183059,DC
T11,GB0 0,FR1 0,3444.52131508194,DC
T18,GB0 0,FR1 0,4920.74619019698,DC
T20,GB0 0,FR1 0,3444.52135287908,DC
T21,GB0 0,DE1 0,3444.5231833353,DC
T32,GB0 0,NL1 0,2952.44871818116,DC
