tech,2019,2030,2040,2050
AC Transmission lines,8300.0,10310.629383382566,13461.58335869199,16320.442968037616
BioSNG,0.0,0.0991166313682413,0.1467620801302117,0.1712765449394553
CCGT,17641.5,29735.828271242808,22863.016597066395,12842.959502259426
CCS,0.0,3674.897101076914,42031654.31665585,61932681.64690973
CHP,55036.349866,36464.966033185185,46244.82098939447,58136.20917519466
DAC,0.0,0.0049974411431883,0.0080166577269362,3046.145503395825
DC Transmission lines,1000.0,3239.9992167779865,4373.998658724095,5904.8976447979
EV charger,0.0,148734.9897,297469.9794,421415.80415
H2,0.0,48.87333297348652,1511172.3889251165,3436443.6004628325
H2 turbine,0.0,0.3096128072772637,0.4407886160261475,0.4857878065260578
OCGT,69077.409846,38085.09974453639,38085.30265533025,38071.36085829079
SMR,0.0,10590.132830928287,10590.166453087955,10590.18381366138
V2G,0.0,148734.9897,297469.9794,421415.80415
agriculture machinery oil,0.0,352.69148919040293,352.69145401208266,352.69149557869827
ammonia cracker,0.0,0.0571523604305093,0.0873166922468852,0.1107746152272845
battery,0.0,3558.517262165496,473843.6067025356,641808.9734718236
battery storage,0.0,3522.508858278252,125915.42758139875,188760.37610767956
biogas,0.0,30854461.239390064,31683585.503184408,32313454.517886885
biomass,0.0,196749893.0886961,185196798.54853138,192110868.57222062
biomass boiler,35690.778,4.1896156787503775,5142.996102068522,5143.053984451997
biomass to liquid,0.0,0.05060025075999,0.0760957594369392,0.0944864786952211
coal,0.0,24652.27389131576,4580.330074372767,4580.330074372767
coal for industry,0.0,13559.566136609452,0.0,0.0
coal powerplants,29571.79,0.0,0.0,0.0
distribution network,73195.22502756072,78631.47949533154,107513.53693249842,112758.59971486892
gas,191327414.5,172742869.00955954,172676324.5925454,172684758.67390686
gas boiler,151304.46543320303,149178.3978080601,133618.50940240128,133618.6970287017
gas for industry,0.0,24487.430263625218,9305.442459088565,0.0052727517102279
hydroelectricity,10755.5795,10518.59585,10518.59585,10518.59585
kerosene for aviation,0.0,13857.752195911373,13857.752167027536,13857.752198933533
land transport oil,0.0,101910.5744532161,43675.96043973422,0.0
load shedding,0.0,31000000.0,30000000.0,28000000.0
naphtha for industry,0.0,25388.127777260223,25931.5067559665,26488.584413326087
nuclear,10013.0,0.0449117930905177,0.1275714822600553,0.1617606112119057
offshore wind,7554.500000000001,34338.28610032563,34338.3065692868,31055.306806557393
oil,0.0,6543682008.257063,4313554462.309997,4432337256.423749
oil boiler,72543.52360000004,66239.99999999999,0.0,0.0
oil powerplants,4639.29918,0.0,0.0,0.0
onshore wind,53189.3,52070.09808623458,126714.83054563704,181306.5343959039
power-to-gas,0.0,0.3764587501210705,27846.351321346425,67393.63178652292
power-to-heat,25595.288129985547,21020.30901386596,58728.03950358749,71682.12950427679
power-to-liquid,0.0,0.0232483836425883,23090.71751083316,55176.43035242048
shipping methanol,0.0,31.24844164884407,249.98893967613097,312.4862227082019
shipping oil,0.0,646.8465283557142,287.48728695397995,0.0
solar,39129.83450569866,101934.60988241168,343107.51746264455,491821.3056031817
solid biomass powerplants,3782.5763,0.0,0.0,0.0
thermal energy storage,0.0,507511.77841405454,1865339.4092915934,2275469.99379071
