,CCGT,CHP,H2 turbine,Imports_Exports,OCGT,battery storage,distribution network,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-01-01 00:00:00,2.88254824518708E-06,6.43443856019733E-06,1.76195416775125E-06,-19.5467688145707,6.25550442386894E-07,-0.000190201228188471,-34.3270586870723,38.6428536304437,46.2545849681628,-31.0233840484808,0,0,-1.9019717126298E-05,-2.49794221207692E-05,1.33066149936583E-05
2013-01-01 01:00:00,2.88553221265034E-06,6.46723750449801E-06,1.76564867164408E-06,-16.9370114660867,6.26044858701761E-07,-3.30292575183678E-05,-33.867794320786,36.0076018723123,45.8206378462793,-31.0233644999634,0,0,-1.89216189942272E-05,-2.47796789469929E-05,1.32116059158679E-05
2013-01-01 02:00:00,2.88598704561825E-06,6.47670269225811E-06,1.76646324233275E-06,-17.2744060499565,6.26163427870387E-07,-6.9271538509037E-05,-33.6569999407878,37.2742196038245,44.6806549764517,-31.0233629190036,0,0,-1.89085717652233E-05,-2.48357816114337E-05,1.32124540591337E-05
2013-01-01 03:00:00,2.88676110317233E-06,6.48750438554095E-06,1.76809426255193E-06,-13.252828828491,6.26297790054028E-07,-9.98797365675928E-05,-34.1778185432463,37.6454373642069,40.8087060178126,-31.0233599414356,0,0,-1.87966588758854E-05,-2.48500866700212E-05,1.32533465824001E-05
2013-01-01 04:00:00,2.90581721533934E-06,6.62709617142342E-06,1.79285768167462E-06,-6.91963538947528,6.28081461446974E-07,0.000825537091122714,-25.908619297264,32.1133510968127,31.7372368053934,-31.0231235421722,0,0,-1.81554733717348E-05,-2.37545714108957E-05,1.30867492309676E-05
2013-01-01 05:00:00,2.91295137021498E-06,6.70518686499163E-06,1.79856677270177E-06,-4.72438696160246,6.28871634650096E-07,0.425835897322925,-26.9401797137968,33.1210428611141,24.8591729312465,-26.7414515353035,0,0,-1.76823693460619E-05,-2.27484677713741E-05,1.29888066450077E-05
2013-01-01 06:00:00,2.91565481620445E-06,6.72132795183117E-06,1.80092196624575E-06,-4.00183889235139,6.29043269828564E-07,0.175907679170116,-27.3043407800613,36.4977321194314,18.9356761779232,-24.303102932502,0,0,-1.75590568704251E-05,-2.29709195244658E-05,1.31505252370305E-05
2013-01-01 07:00:00,2.91533645203281E-06,6.72582477360168E-06,1.79947760277933E-06,-12.6601681770536,6.28992023660765E-07,0.125499492692512,-27.5757909996981,40.5095475432102,16.8529793176587,-17.2520332119488,0,0,-1.75532063366859E-05,-2.39362998236357E-05,1.33305770772753E-05
2013-01-01 08:00:00,2.92102208207578E-06,6.75526403118339E-06,1.80393014875933E-06,-2.43601257910687,6.29342756926601E-07,0.100423278012473,-27.6149985820883,42.1516384026792,16.5817068567478,-28.7827233036736,0,0,-1.75179546865252E-05,-2.40678217037765E-05,1.34020502581046E-05
2013-01-01 09:00:00,2.96967682664297E-06,6.91158060129585E-06,1.85660018284857E-06,-2.42224428850259,6.33506589629073E-07,0.000639808537329737,-27.381281071964,42.1650769848587,17.3014425724511,-31.0231371555587,1.35956473756482,-2.95012095832705E-05,-1.7393011260765E-05,-2.39632028947986E-05,1.3687598204791E-05
