Technology,AIR,AMO,BIO,ELE,GAS,GEO,HRD,HYD,LIG,NUC,OIL,OTH,PEA,SUN,THE,WAT,WHT,WIN,WST
ABHP,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0
ALFC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ALKE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEVS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BSPG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CAES,0.25,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMC,0,0.00201207243460765,0,0,0.975855130784708,0,0.00804828973843059,0,0,0,0.0140845070422535,0,0,0,0,0,0,0,0
COMCX,0,0,0.15,0,0.75,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
DMFC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GETH,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSHP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GTUR,0,0.00343642611683849,0.00687285223367698,0,0.646048109965636,0,0,0.00343642611683849,0,0,0.323024054982818,0.00687285223367698,0,0,0,0,0,0,0.0103092783505155
GTURX,0,0,0,0,0.98,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0
H2ST,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HBBS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HDAMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HDLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HOBO,0,0,0.2,0,0.6,0,0.01,0,0.01,0,0.15,0,0.03,0,0,0,0,0,0
HOBOX,0,0,0,0,0.9,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
HPHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HPHSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HROR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HRORC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HYHP,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0
ICEN,0,0,0.136986301369863,0,0.383561643835616,0,0,0,0,0,0.36986301369863,0.0136986301369863,0,0,0,0,0,0,0.0958904109589041
ICENX,0,0,0.15,0,0.7,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0
MCFC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PAFC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P2BS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2GS,0,0,0,0.75,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
P2HT,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
PEFC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PEME,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHOT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
REFC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
REHE,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
SCSP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SOFC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SOTH,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SOXE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STUR,0,0,0.0668924640135478,0,0.0821337849280271,0.00846740050804403,0.329381879762913,0.000846740050804403,0.210838272650296,0.116850127011008,0.123624047417443,0.000846740050804403,0.0143945808636749,0.00592718035563082,0,0.000846740050804403,0,0,0.0389500423370025
STURX,0,0,0.15,0,0.7,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0
THMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WAVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WHEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WTOF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WSHP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
