Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Sector1,EfficiencySector1,ChargingEfficiencySector1,Sector2,EfficiencySector2,ChargingEfficiencySector2
,generators offwind_FR,480.0,1,FR,,,WTOF,WIN,1.0,0.0,0.0,0.35,0.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,generators offwind-ac_FR,24631.593829930087,1,FR,,,WTOF,WIN,1.0,0.0,0.0,0.02,0.02,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,generators offwind-dc_FR,4617.909521458745,1,FR,,,WTOF,WIN,1.0,0.0,0.0,0.02,0.02,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,generators onwind_FR,33406.59535967283,1,FR,,,WTON,WIN,1.0,0.0,0.0,0.0033928123,0.0033928123,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,generators ror_FR,6870.649149421663,1,FR,,,HROR,WAT,1.0,0.0,0.0,0.0390347764,0.0390347764,0.0,0.0,0.0,0.0,1.0,0.3,0.0,,,,,,,,,,,,,,,,,,,,
,generators solar_FR,31849.54346058418,1,FR,,,PHOT,SUN,1.0,0.0,0.0,0.0230804739,0.0230804739,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,generators solar rooftop_FR,62597.56033094427,1,FR,,,PHOT,SUN,1.0,0.0,0.0,0.02,0.02,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Electrolysis_FR_1,0.089115328363511,1,FR,,,PEME,ELE,0.7,2.25,1.0,0.6,0.6,20.0,6.0,3.5,0.2,0.55,0.083333333,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Electrolysis_FR_2,0.0445576641817555,1,FR,,,ALKE,ELE,0.7875000000000001,7.0,4.5,0.175,0.175,100.0,12.5,9.0,0.3,0.575,1.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Electrolysis_FR_3,0.0222788320908777,1,FR,,,SOXE,ELE,0.9625,14.0,7.0,0.06,0.06,400.0,25.0,15.0,0.4,0.7,2.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_FR_1,0.052087867013862,1,FR,,,PEFC,HYD,0.7,0.5,1.05,0.6,0.6,30.0,7.5,6.0,0.2,0.44,0.083333333,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_FR_2,0.026043933506931,1,FR,,,SOFC,HYD,0.75,14.0,7.0,0.075,0.075,300.0,19.0,12.0,0.3,0.54,1.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_FR_3,0.0130219667534655,1,FR,,,MCFC,HYD,0.7250000000000001,24.0,14.0,0.065,0.065,600.0,31.0,18.0,0.35,0.49,4.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_FR_4,0.0065109833767327,1,FR,,,PAFC,HYD,0.675,7.0,3.5,0.25,0.25,200.0,15.5,9.0,0.25,0.39,0.5,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_FR_5,0.0032554916883663,1,FR,,,ALFC,HYD,0.75,4.5,2.25,0.375,0.375,100.0,10.0,6.0,0.3,0.49,100.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_FR_6,0.0016277458441831,1,FR,,,REFC,HYD,0.675,2.25,1.1,0.25,0.25,60.0,7.5,6.0,0.25,0.44,0.166666667,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 turbine_FR_1,0.1857908998520639,1,FR,,,GTUR,HYD,0.24,0.0,0.0,0.092068966,0.092068966,1866.996374,868.0702473,0.0,0.172413793,0.11,0.0,0.6979286075,,,,,,,,,,,,,,,,,,,,
,links H2 turbine_FR_2,0.0928954499260319,1,FR,,,COMC,HYD,0.525,5.0,1.0,0.2482222222,0.2482222222,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,links H2 turbine_FR_3,0.0464477249630159,1,FR,,,ICEN,HYD,0.49,0.0,0.0,1.0,1.0,,,0.0,0.3,0.49,0.0,0.489795918367347,,,,,,,,,,,,,,,,,,,,
,links Haber-Bosch_FR,0.0317471223833675,1,FR,,,HBBS,ELE,0.875,36.0,18.0,0.6,0.6,4000.0,37.5,30.0,0.6,0.6,12.0,0.0,,,,,,,,,,,,,,,,,,,,
,links V2G_FR,106675.8,1,FR,,,BEVS,ELE,0.95,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,,,,,,,,,746730.6,0.0,2276.0,0.95,,,,,,,,
,links ammonia cracker_FR,0.0572953148448047,1,FR,,,P2BS,ELE,0.5,24.0,12.0,0.03,0.03,500.0,15.0,17.5,0.35,0.35,4.0,0.0,,,,,,,,,,,,,,,,,,,,
,links battery discharger_FR,8309.687147292954,1,FR,,,BATS,ELE,0.935,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,29975.110823227133,0.0008,5.0,0.935,,,,,,,,
,links methanolisation_FR,0.1261642328081391,1,FR,,,P2BS,ELE,0.5,24.0,12.0,0.03,0.03,500.0,15.0,17.5,0.35,0.35,4.0,0.0,,,,,,,,,,,,,,,,,,,,
,links nuclear_FR,26270.05377935536,1,FR,,,STUR,NUC,0.45,8.0,6.0,0.0007565441,0.0007565441,2000.0,0.0,0.0,0.2,0.45,7.0,0.0,,,,,,,,,,,,,,,,,,,,
,links oil_FR_1,145.14285714285714,1,FR,,,GTUR,OIL,0.4,5.0,1.0,0.085923077,0.085923077,112542.12,0.0,0.0,0.2,0.525,1.0,0.65,,,,,,,,,,,,,,,,,,,,
,links oil_FR_2,72.57142857142857,1,FR,,,ICEN,OIL,0.421,,,0.0572,0.0572,1200.0,85.0,0.0,0.8581,0.4063,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,links oil_FR_3,36.285714285714285,1,FR,,,STUR,OIL,0.2,0.0,0.0,0.02,0.02,,,0.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,links urban central gas CHP_FR_1,6868.928094684984,1,FR,,,COMC,GAS,0.525,5.0,1.0,0.0013141176,0.0013141176,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,1.0,0.0,6868.928094684984,,,,,,,,,,,,,,,,
,links urban central gas CHP_FR_2,3434.464047342492,1,FR,,,GTUR,GAS,0.4,5.0,1.0,0.085923077,0.085923077,112542.12,0.0,0.0,0.2,0.525,1.0,0.65,,1.5,0.0,2289.642698228328,,,,,,,,,,,,,,,,
,links urban central gas CHP_FR_3,1717.232023671246,1,FR,,,STUR,GAS,0.385,8.0,6.0,0.0028058361,0.0028058361,136849.915,0.0,0.0,0.3,0.385,7.0,1.0,,1.5,0.0,1144.821349114164,,,,,,,,,,,,,,,,
,links urban central gas CHP_FR_4,858.616011835623,1,FR,,,ICEN,GAS,0.421,,,0.0572,0.0572,1200.0,85.0,0.0,0.8581,0.4063,0.0,0.0,,2.0,0.0,429.3080059178115,,,,,,,,,,,,,,,,
,links urban central gas CHP CC_FR,0.1481695722723266,1,FR,,,COMC,GAS,0.525,5.0,1.0,0.2482222222,0.2482222222,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,1.0,0.0,0.1481695722723266,,,,,,,,,,,,,,,,
,links urban central solid biomass CHP_FR_1,3775.397543315851,1,FR,,,STUR,BIO,0.385,8.0,6.0,0.0011964585,0.0011964585,136849.915,0.0,0.0,0.3,0.385,7.0,1.0,,1.5,0.0,2516.931695543901,,,,,,,,,,,,,,,,
,links urban central solid biomass CHP_FR_2,1887.6987716579256,1,FR,,,ICEN,BIO,0.421,,,0.0572,0.0572,1200.0,85.0,0.0,0.8581,0.4063,0.0,0.0,,2.0,0.0,943.8493858289628,,,,,,,,,,,,,,,,
,links urban central solid biomass CHP CC_FR_1,0.3905278708063576,1,FR,,,STUR,BIO,0.38,1.0,1.0,0.33366435,0.33366435,1.108186813,42.68538462,0.0,0.49652433,0.39,0.0,0.0,,1.5,0.0,0.2603519138709051,,,,,,,,,,,,,,,,
,links urban central solid biomass CHP CC_FR_2,0.1952639354031788,1,FR,,,ICEN,BIO,0.49,0.0,0.0,1.0,1.0,,,0.0,0.3,0.49,0.0,0.489795918367347,,2.0,0.0,0.0976319677015894,,,,,,,,,,,,,,,,
,storage_units PHS_FR,5236.3,1,FR,,,HPHS,WAT,0.8,0.0,0.0,0.066666667,0.066666667,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,84112.15047430796,0.0,2971.1,0.8,,,,,,,,
,storage_units hydro_FR,8573.49299363057,1,FR,,,HDAM,WAT,0.8,0.0,0.0,0.0666666666666667,0.0666666666666667,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,9799999.932679966,0.0,0.0,0.8,,,,,,,,
,links CCGT_FR_1,8870.391133933636,1,FR,,,COMC,GAS,0.525,5.0,1.0,0.0012681653,0.0012681653,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,links CCGT_FR_3,274.34199383299904,1,FR,,,COMC,BIO,0.525,5.0,1.0,0.0401798561,0.0401798561,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,links OCGT_FR_1,18582.87575849776,1,FR,,,GTUR,GAS,0.4,5.0,1.0,0.085923077,0.085923077,112542.12,0.0,0.0,0.2,0.525,1.0,0.65,,,,,,,,,,,,,,,,,,,,
,links OCGT_FR_3,1032.3819865832086,1,FR,,,GTUR,OIL,0.4,5.0,1.0,0.085923077,0.085923077,112542.12,0.0,0.0,0.2,0.525,1.0,0.65,,,,,,,,,,,,,,,,,,,,
,links OCGT_FR_5,1032.3819865832086,1,FR,,,GTUR,BIO,0.4,5.0,1.0,0.085923077,0.085923077,112542.12,0.0,0.0,0.2,0.525,1.0,0.65,,,,,,,,,,,,,,,,,,,,
