index,DE -> SE,DE -> CZ,DE -> FR,DE -> AT,DE -> DK,DE -> LU,DE -> CH,DE -> PL,DE -> NL
2018-01-01 03:00:00+0000,76.0,2172.0,1458.0,3036.0,2091.0,412.0,3456.0,1259.0,1833.0
2018-01-01 04:00:00+0000,76.0,2127.0,1489.0,2977.0,2126.0,429.0,3071.0,1239.0,1925.0
2018-01-01 05:00:00+0000,76.0,2347.0,1422.0,3034.0,1982.0,366.0,3265.0,1286.0,1849.0
2018-01-01 06:00:00+0000,76.0,2223.0,1124.0,2918.0,2213.0,312.0,3015.0,1148.0,1369.0
2018-01-01 07:00:00+0000,76.0,2125.0,667.0,2769.0,2093.0,307.0,2883.0,1098.0,1371.0
2018-01-01 08:00:00+0000,69.0,2278.0,532.0,2904.0,2065.0,303.0,2886.0,1131.0,1595.0
2018-01-01 09:00:00+0000,66.0,2405.0,1412.0,3209.0,1977.0,405.0,3190.0,1118.0,1752.0
2018-01-01 10:00:00+0000,66.0,2431.0,1971.0,3280.0,2102.0,460.0,3302.0,1121.0,1675.0
2018-01-01 11:00:00+0000,66.0,2367.0,2307.0,3378.0,2076.0,509.0,3347.0,1073.0,1679.0
2018-01-01 12:00:00+0000,66.0,2235.0,2268.0,3289.0,1799.0,406.0,3133.0,885.0,1779.0
2018-01-01 13:00:00+0000,66.0,1829.0,449.0,2384.0,2077.0,228.0,1601.0,979.0,1462.0
2018-01-01 14:00:00+0000,66.0,1680.0,0.0,1952.0,2080.0,146.0,976.0,1058.0,1285.0
2018-01-01 15:00:00+0000,66.0,1655.0,0.0,1623.0,2069.0,129.0,1021.0,1116.0,1549.0
2018-01-01 16:00:00+0000,66.0,1125.0,0.0,917.0,1978.0,104.0,1499.0,951.0,1478.0
2018-01-01 17:00:00+0000,101.0,1197.0,0.0,996.0,1703.0,240.0,1417.0,1066.0,2134.0
2018-01-01 18:00:00+0000,173.0,1016.0,0.0,1238.0,1937.0,227.0,1579.0,998.0,2389.0
2018-01-01 19:00:00+0000,199.0,937.0,0.0,1685.0,2022.0,186.0,2218.0,889.0,2432.0
2018-01-01 20:00:00+0000,248.0,780.0,0.0,1808.0,1702.0,147.0,3065.0,924.0,2726.0
2018-01-01 21:00:00+0000,297.0,647.0,0.0,1520.0,1882.0,152.0,2672.0,882.0,2548.0
2018-01-01 22:00:00+0000,378.0,538.0,0.0,1761.0,2095.0,108.0,2210.0,742.0,2381.0
2018-01-01 23:00:00+0000,241.0,840.0,0.0,1895.0,2008.0,54.0,1953.0,824.0,1981.0
2018-01-02 00:00:00+0000,244.0,726.0,0.0,1768.0,2085.0,116.0,1822.0,738.0,1856.0
2018-01-02 01:00:00+0000,245.0,595.0,0.0,1765.0,2071.0,100.0,1822.0,631.0,1193.0
2018-01-02 02:00:00+0000,273.0,423.0,0.0,1678.0,2091.0,157.0,1971.0,566.0,1349.0
2018-01-02 03:00:00+0000,303.0,637.0,0.0,1832.0,1757.0,138.0,1999.0,716.0,1873.0
2018-01-02 04:00:00+0000,365.0,821.0,0.0,2141.0,1419.0,200.0,2302.0,981.0,2302.0
2018-01-02 05:00:00+0000,45.0,1003.0,0.0,1830.0,1284.0,287.0,2320.0,1134.0,2373.0
2018-01-02 06:00:00+0000,0.0,1032.0,0.0,1555.0,176.0,458.0,2961.0,1152.0,2298.0
2018-01-02 07:00:00+0000,0.0,894.0,0.0,1272.0,0.0,553.0,3410.0,1145.0,2215.0
2018-01-02 08:00:00+0000,0.0,830.0,0.0,1176.0,0.0,531.0,3578.0,991.0,2842.0
2018-01-02 09:00:00+0000,0.0,749.0,0.0,1094.0,0.0,574.0,3485.0,821.0,2759.0
2018-01-02 10:00:00+0000,0.0,792.0,0.0,1329.0,0.0,606.0,3408.0,906.0,3139.0
2018-01-02 11:00:00+0000,0.0,881.0,0.0,1365.0,0.0,588.0,3024.0,1014.0,3302.0
2018-01-02 12:00:00+0000,0.0,762.0,0.0,1085.0,0.0,543.0,2501.0,1114.0,3393.0
2018-01-02 13:00:00+0000,0.0,699.0,0.0,1055.0,0.0,524.0,2477.0,1067.0,3095.0
2018-01-02 14:00:00+0000,0.0,746.0,0.0,1045.0,0.0,479.0,2983.0,1051.0,2543.0
2018-01-02 15:00:00+0000,0.0,816.0,0.0,1043.0,0.0,431.0,2896.0,1107.0,2393.0
2018-01-02 16:00:00+0000,0.0,731.0,0.0,779.0,0.0,481.0,3104.0,1007.0,2591.0
2018-01-02 17:00:00+0000,0.0,767.0,0.0,877.0,0.0,481.0,3268.0,1027.0,2071.0
2018-01-02 18:00:00+0000,0.0,819.0,0.0,743.0,0.0,420.0,3421.0,1136.0,1625.0
2018-01-02 19:00:00+0000,0.0,866.0,0.0,1369.0,280.0,415.0,3954.0,1232.0,2075.0
2018-01-02 20:00:00+0000,0.0,786.0,0.0,1586.0,1202.0,330.0,3760.0,1154.0,2655.0
2018-01-02 21:00:00+0000,97.0,951.0,0.0,2138.0,1693.0,417.0,3995.0,1178.0,2260.0
2018-01-02 22:00:00+0000,76.0,1071.0,0.0,2561.0,2085.0,397.0,4267.0,1241.0,1821.0
2018-01-02 23:00:00+0000,75.0,1663.0,0.0,2613.0,2171.0,366.0,3329.0,1399.0,1449.0
2018-01-03 00:00:00+0000,75.0,1775.0,0.0,2625.0,2095.0,330.0,3082.0,1365.0,1365.0
2018-01-03 01:00:00+0000,75.0,2077.0,0.0,2928.0,2051.0,309.0,3319.0,1273.0,1601.0
2018-01-03 02:00:00+0000,72.0,2191.0,0.0,3016.0,2098.0,300.0,3420.0,1235.0,1718.0
