index,PL -> SE,PL -> SK,PL -> CZ,PL -> LT,PL -> DE
2015-01-01 03:00:00+0000,61.0,,1132.0,,
2015-01-01 04:00:00+0000,258.0,,1086.0,,
2015-01-01 05:00:00+0000,102.0,,986.0,,
2015-01-01 06:00:00+0000,0.0,,971.0,,
2015-01-01 07:00:00+0000,3.0,,941.0,,
2015-01-01 08:00:00+0000,100.0,,1080.0,,
2015-01-01 09:00:00+0000,100.0,,1210.0,,
2015-01-01 10:00:00+0000,100.0,,1182.0,,
2015-01-01 11:00:00+0000,100.0,,1198.0,,
2015-01-01 12:00:00+0000,96.0,,1150.0,,
2015-01-01 13:00:00+0000,0.0,,1156.0,,
2015-01-01 14:00:00+0000,0.0,,1159.0,,
2015-01-01 15:00:00+0000,0.0,,1079.0,,
2015-01-01 16:00:00+0000,0.0,,991.0,,
2015-01-01 17:00:00+0000,0.0,,983.0,,
2015-01-01 18:00:00+0000,0.0,,1009.0,,
2015-01-01 19:00:00+0000,0.0,,1177.0,,
2015-01-01 20:00:00+0000,0.0,,1265.0,,
2015-01-01 21:00:00+0000,194.0,,1281.0,,
2015-01-01 22:00:00+0000,3.0,,1276.0,,
2015-01-01 23:00:00+0000,97.0,704.0,1157.0,,
2015-01-02 00:00:00+0000,0.0,699.0,1137.0,,
2015-01-02 01:00:00+0000,0.0,703.0,1170.0,,
2015-01-02 02:00:00+0000,0.0,710.0,1155.0,,
2015-01-02 03:00:00+0000,0.0,719.0,1122.0,,
2015-01-02 04:00:00+0000,0.0,722.0,1201.0,,
2015-01-02 05:00:00+0000,0.0,698.0,1223.0,,
2015-01-02 06:00:00+0000,0.0,644.0,1164.0,,
2015-01-02 07:00:00+0000,0.0,635.0,1175.0,,
2015-01-02 08:00:00+0000,0.0,623.0,1164.0,,
2015-01-02 09:00:00+0000,0.0,601.0,1166.0,,
2015-01-02 10:00:00+0000,0.0,603.0,1134.0,,
2015-01-02 11:00:00+0000,0.0,598.0,1121.0,,
2015-01-02 12:00:00+0000,0.0,598.0,1209.0,,
2015-01-02 13:00:00+0000,0.0,613.0,1192.0,,
2015-01-02 14:00:00+0000,0.0,584.0,1172.0,,
2015-01-02 15:00:00+0000,0.0,633.0,1225.0,,
2015-01-02 16:00:00+0000,0.0,568.0,1068.0,,
2015-01-02 17:00:00+0000,0.0,484.0,1011.0,,
2015-01-02 18:00:00+0000,0.0,450.0,1007.0,,
2015-01-02 19:00:00+0000,0.0,504.0,1040.0,,
2015-01-02 20:00:00+0000,0.0,537.0,1018.0,,
2015-01-02 21:00:00+0000,0.0,566.0,968.0,,
2015-01-02 22:00:00+0000,0.0,571.0,924.0,,
2015-01-02 23:00:00+0000,0.0,562.0,924.0,,
2015-01-03 00:00:00+0000,0.0,635.0,1058.0,,
2015-01-03 01:00:00+0000,0.0,629.0,1030.0,,
2015-01-03 02:00:00+0000,0.0,605.0,969.0,,
2015-01-03 03:00:00+0000,0.0,603.0,946.0,,
2015-01-03 04:00:00+0000,0.0,572.0,918.0,,
2015-01-03 05:00:00+0000,0.0,565.0,960.0,,
2015-01-03 06:00:00+0000,0.0,570.0,1018.0,,
2015-01-03 07:00:00+0000,0.0,570.0,1047.0,,
2015-01-03 08:00:00+0000,0.0,563.0,1063.0,,
