avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
80,CH,Planned maintenance,A03,Cancelled,2024-10-02 17:00:00+02:00,YjwVqYdhDqOrZzj-has1NQ,185.0,Hydro Water Reservoir,12W-0000000925-8,intra_zonal,Maggia (OFIMA),Centrale di Robiei,1,MAW,PT15M,2,2024-10-02 07:00:00+02:00
0,CH,Planned maintenance,A03,Cancelled,2025-01-01 00:00:00+01:00,ZuH-H8BEWUkxFb-qjProLg,105.0,Hydro Pumped Storage,12W-0000000917-6,intra_zonal,KSL - KW Sarganserland AG,Mapragg - Gigerwald G1,1,MAW,PT15M,3,2024-09-23 00:00:00+02:00
0,CH,Planned maintenance,A03,Cancelled,2025-01-01 00:00:00+01:00,l-TrNYzfJPCBXGD_9hBLqA,105.0,Hydro Pumped Storage,12W-0000000917-6,intra_zonal,KSL - KW Sarganserland AG,Mapragg - Gigerwald G2,1,MAW,PT15M,3,2024-09-23 00:00:00+02:00
0,CH,Planned maintenance,A03,Cancelled,2025-01-01 00:00:00+01:00,wHf4kJQgPZX7MYQum8C4Zg,105.0,Hydro Pumped Storage,12W-0000000917-6,intra_zonal,KSL - KW Sarganserland AG,Mapragg - Gigerwald G3,1,MAW,PT15M,3,2024-09-23 00:00:00+02:00
0,CH,Planned maintenance,A03,,2024-10-28 17:00:00+01:00,3CGNlclywqTT2S58wLcf6w,102.0,Hydro Pumped Storage,12W-0000000018-B,intra_zonal,KLL - KW Linth-Limmern AG,Tierfehd - Limmern G1,1,MAW,PT15M,2,2024-10-28 05:00:00+01:00
0,CH,Planned maintenance,A03,Cancelled,2024-09-24 18:00:00+02:00,kN0ex6CmOWgOSQ1O46Z_8w,120.0,Hydro Water Reservoir,12W-0000000026-D,intra_zonal,Blenio (OFIBLE),Centrale di Olivone,1,MAW,PT15M,2,2024-09-24 06:00:00+02:00
302,CH,Planned maintenance,A03,,2024-09-20 12:00:00+02:00,om6QQlxS0zPp4fPo22oFZQ,484.0,Hydro Pumped Storage,12W-0000000116-C,intra_zonal,Hongrin-Léman (FMHL),Usine de Veytaux,1,MAW,PT15M,1,2024-09-20 10:00:00+02:00
0,CH,Planned maintenance,A03,,2024-11-19 18:00:00+01:00,L6lNd4gq8QDeo2EP1t2Vvg,288.0,Hydro Water Reservoir,12W-0000000902-P,intra_zonal,Gde-Dixence (GD),Usine de Fionnay,1,MAW,PT15M,1,2024-11-19 06:00:00+01:00
184,CH,Planned maintenance,A03,,2024-10-04 18:00:00+02:00,Ba_c9mvA6WHL414DHRj2Vw,288.0,Hydro Water Reservoir,12W-0000000902-P,intra_zonal,Gde-Dixence (GD),Usine de Fionnay,1,MAW,PT15M,1,2024-10-04 08:00:00+02:00
51,CH,Planned maintenance,A03,,2024-09-25 18:00:00+02:00,dDQv4ovz1bN8mObNuMDwSQ,155.0,Hydro Water Reservoir,12W-0000000925-8,intra_zonal,Maggia (OFIMA),Centrale di Verbano,1,MAW,PT15M,3,2024-09-25 06:00:00+02:00
4,CH,Planned maintenance,A03,,2024-10-16 17:00:00+02:00,JOMXFUFvZ8pp_r0tghBSNQ,108.0,Hydro Water Reservoir,12W-0000000925-8,intra_zonal,Maggia (OFIMA),Centrale di Cavergno,1,MAW,PT15M,1,2024-10-16 08:00:00+02:00
4,CH,Planned maintenance,A03,Cancelled,2024-09-26 17:00:00+02:00,j-ifnCYRc_PQ2im_IO1XRw,108.0,Hydro Water Reservoir,12W-0000000925-8,intra_zonal,Maggia (OFIMA),Centrale di Cavergno,1,MAW,PT15M,2,2024-09-26 08:00:00+02:00
13,CH,Planned maintenance,A03,,2024-10-01 14:00:00+02:00,Lk7I-kxLAyXbIk3AKKwA_w,340.0,Hydro Water Reservoir,12W-0000000105-J,intra_zonal,Electra-Massa (EM),Kraftwerk Bitsch,1,MAW,PT15M,2,2024-10-01 08:30:00+02:00
