Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,Paksi Atomerőmű,1916.0,1.0,HU,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mátrai Erőmű,852.0,1.0,HU,,,STUR,LIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DUMEuz -Dunamenti Erőmű,785.0,1.0,HU,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gönyűi Erőmű,437.0,1.0,HU,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alpiq Csepel Erőmű,401.0,1.0,HU,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ewiser szabályozó központ,203.0,1.0,HU,,,PHOT,SUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MVMZGuz,144.0,1.0,HU,,,PHOT,SUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MECSPVuz,,1.0,HU,,,PHOT,SUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kelenföldi Erőmű,173.0,1.0,HU,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LORIGTuz - Lőrinci Gázturbinás Erőmű,172.0,1.0,HU,,,STUR,OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MVM szabályozási központ,156.0,1.0,HU,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sinergy szabályozási központ,107.0,1.0,HU,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sajószögedi Gázturbinás Erőmű,120.0,1.0,HU,,,STUR,OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Litéri Gázturbinás Erőmű,120.0,1.0,HU,,,STUR,OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bakonyi Gázturbinás Erőmű,114.0,1.0,HU,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
