00:00 - 01:00,359,,n/e,n/e,n/e,n/e,1694,,n/e,n/e,0,,n/e,n/e,n/e,n/e,n/e,n/e,,168,31,,n/e,n/e,n/e,n/e,4128,,608,,n/e,n/e,0,,243,,448,,296,
01:00 - 02:00,357,,n/e,n/e,n/e,n/e,1629,,n/e,n/e,0,,n/e,n/e,n/e,n/e,n/e,n/e,,21,32,,n/e,n/e,n/e,n/e,4128,,609,,n/e,n/e,0,,242,,356,,197,
02:00 - 03:00,352,,n/e,n/e,n/e,n/e,1678,,n/e,n/e,0,,n/e,n/e,n/e,n/e,n/e,n/e,,10,32,,n/e,n/e,n/e,n/e,4128,,626,,n/e,n/e,0,,241,,271,,191,
03:00 - 04:00,353,,n/e,n/e,n/e,n/e,1705,,n/e,n/e,0,,n/e,n/e,n/e,n/e,n/e,n/e,,12,32,,n/e,n/e,n/e,n/e,4130,,630,,n/e,n/e,0,,243,,180,,168,
04:00 - 05:00,355,,n/e,n/e,n/e,n/e,1685,,n/e,n/e,0,,n/e,n/e,n/e,n/e,n/e,n/e,,18,32,,n/e,n/e,n/e,n/e,4130,,626,,n/e,n/e,0,,242,,125,,166,
05:00 - 06:00,362,,n/e,n/e,n/e,n/e,1667,,n/e,n/e,0,,n/e,n/e,n/e,n/e,n/e,n/e,,552,32,,n/e,n/e,n/e,n/e,4131,,650,,n/e,n/e,0,,246,,95,,127,
06:00 - 07:00,362,,n/e,n/e,n/e,n/e,1676,,n/e,n/e,0,,n/e,n/e,n/e,n/e,n/e,n/e,,69,32,,n/e,n/e,n/e,n/e,4131,,670,,n/e,n/e,0,,251,,117,,129,
07:00 - 08:00,360,,n/e,n/e,n/e,n/e,1603,,n/e,n/e,0,,n/e,n/e,n/e,n/e,n/e,n/e,,7,31,,n/e,n/e,n/e,n/e,4131,,673,,n/e,n/e,0,,257,,229,,147,
08:00 - 09:00,359,,n/e,n/e,n/e,n/e,1653,,n/e,n/e,0,,n/e,n/e,n/e,n/e,n/e,n/e,,106,31,,n/e,n/e,n/e,n/e,4132,,670,,n/e,n/e,73,,256,,260,,110,
09:00 - 10:00,359,,n/e,n/e,n/e,n/e,1702,,n/e,n/e,0,,n/e,n/e,n/e,n/e,n/e,n/e,,21,31,,n/e,n/e,n/e,n/e,4132,,686,,n/e,n/e,255,,259,,254,,105,
10:00 - 11:00,364,,n/e,n/e,n/e,n/e,1743,,n/e,n/e,0,,n/e,n/e,n/e,n/e,n/e,n/e,,7,31,,n/e,n/e,n/e,n/e,4131,,697,,n/e,n/e,425,,256,,220,,112,
11:00 - 12:00,357,,n/e,n/e,n/e,n/e,1751,,n/e,n/e,0,,n/e,n/e,n/e,n/e,n/e,n/e,,7,31,,n/e,n/e,n/e,n/e,4130,,743,,n/e,n/e,481,,260,,210,,69,
12:00 - 13:00,357,,n/e,n/e,n/e,n/e,1702,,n/e,n/e,0,,n/e,n/e,n/e,n/e,n/e,n/e,,9,31,,n/e,n/e,n/e,n/e,4131,,742,,n/e,n/e,485,,259,,188,,52,
13:00 - 14:00,360,,n/e,n/e,n/e,n/e,1736,,n/e,n/e,0,,n/e,n/e,n/e,n/e,n/e,n/e,,321,32,,n/e,n/e,n/e,n/e,4132,,703,,n/e,n/e,354,,248,,244,,73,
14:00 - 15:00,358,,n/e,n/e,n/e,n/e,1767,,n/e,n/e,0,,n/e,n/e,n/e,n/e,n/e,n/e,,139,32,,n/e,n/e,n/e,n/e,4133,,699,,n/e,n/e,154,,252,,267,,65,
15:00 - 16:00,359,,n/e,n/e,n/e,n/e,1745,,n/e,n/e,0,,n/e,n/e,n/e,n/e,n/e,n/e,49,1,32,,n/e,n/e,n/e,n/e,4131,,696,,n/e,n/e,17,,258,,237,,79,
16:00 - 17:00,357,,n/e,n/e,n/e,n/e,1883,,n/e,n/e,0,,n/e,n/e,n/e,n/e,n/e,n/e,70,0,32,,n/e,n/e,n/e,n/e,4130,,691,,n/e,n/e,0,,255,,265,,103,
