index,NO -> SE,NO -> FI,NO -> DK,NO -> NL
2018-01-01 03:00:00+0000,0.0,0.0,0.0,0.0
2018-01-01 04:00:00+0000,0.0,0.0,0.0,0.0
2018-01-01 05:00:00+0000,0.0,0.0,0.0,0.0
2018-01-01 06:00:00+0000,0.0,0.0,0.0,273.0
2018-01-01 07:00:00+0000,0.0,0.0,0.0,0.0
2018-01-01 08:00:00+0000,0.0,0.0,0.0,0.0
2018-01-01 09:00:00+0000,0.0,0.0,0.0,219.0
2018-01-01 10:00:00+0000,0.0,1.0,0.0,413.0
2018-01-01 11:00:00+0000,0.0,0.0,0.0,580.0
2018-01-01 12:00:00+0000,0.0,0.0,0.0,653.0
2018-01-01 13:00:00+0000,0.0,0.0,0.0,606.0
2018-01-01 14:00:00+0000,0.0,5.0,0.0,703.0
2018-01-01 15:00:00+0000,0.0,10.0,0.0,705.0
2018-01-01 16:00:00+0000,80.0,18.0,0.0,705.0
2018-01-01 17:00:00+0000,116.0,18.0,0.0,705.0
2018-01-01 18:00:00+0000,0.0,16.0,0.0,705.0
2018-01-01 19:00:00+0000,0.0,13.0,0.0,705.0
2018-01-01 20:00:00+0000,0.0,18.0,0.0,658.0
2018-01-01 21:00:00+0000,0.0,8.0,0.0,146.0
2018-01-01 22:00:00+0000,0.0,3.0,0.0,0.0
2018-01-01 23:00:00+0000,0.0,0.0,0.0,0.0
2018-01-02 00:00:00+0000,0.0,0.0,0.0,0.0
2018-01-02 01:00:00+0000,0.0,0.0,0.0,0.0
2018-01-02 02:00:00+0000,0.0,0.0,0.0,0.0
2018-01-02 03:00:00+0000,0.0,0.0,0.0,0.0
2018-01-02 04:00:00+0000,0.0,32.0,0.0,0.0
2018-01-02 05:00:00+0000,27.0,39.0,125.0,0.0
2018-01-02 06:00:00+0000,1517.0,35.0,716.0,277.0
2018-01-02 07:00:00+0000,1856.0,36.0,1296.0,303.0
2018-01-02 08:00:00+0000,2052.0,39.0,1515.0,303.0
2018-01-02 09:00:00+0000,2360.0,38.0,1530.0,304.0
2018-01-02 10:00:00+0000,2557.0,40.0,1527.0,303.0
2018-01-02 11:00:00+0000,2708.0,35.0,1528.0,304.0
2018-01-02 12:00:00+0000,2732.0,29.0,1527.0,304.0
2018-01-02 13:00:00+0000,3042.0,27.0,1528.0,304.0
2018-01-02 14:00:00+0000,2938.0,25.0,1527.0,304.0
2018-01-02 15:00:00+0000,2767.0,24.0,1531.0,303.0
2018-01-02 16:00:00+0000,2846.0,17.0,1532.0,304.0
2018-01-02 17:00:00+0000,2966.0,23.0,1527.0,304.0
2018-01-02 18:00:00+0000,2990.0,21.0,1316.0,304.0
2018-01-02 19:00:00+0000,1896.0,10.0,848.0,280.0
2018-01-02 20:00:00+0000,930.0,20.0,319.0,0.0
2018-01-02 21:00:00+0000,252.0,11.0,1.0,9.0
2018-01-02 22:00:00+0000,160.0,7.0,0.0,450.0
2018-01-02 23:00:00+0000,544.0,2.0,0.0,51.0
2018-01-03 00:00:00+0000,170.0,0.0,0.0,0.0
2018-01-03 01:00:00+0000,99.0,0.0,0.0,0.0
2018-01-03 02:00:00+0000,12.0,0.0,0.0,0.0
2018-01-03 03:00:00+0000,0.0,0.0,0.0,0.0
2018-01-03 04:00:00+0000,193.0,0.0,0.0,0.0
2018-01-03 05:00:00+0000,728.0,0.0,0.0,244.0
2018-01-03 06:00:00+0000,823.0,0.0,0.0,689.0
