23:00 - 00:00,33,,2301,,n/e,n/e,482,,62,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,133,,203,,n/e,n/e,2167,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,185,
00:00 - 01:00,33,,2183,,n/e,n/e,485,,62,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,130,,170,,n/e,n/e,2168,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,178,
01:00 - 02:00,33,,2181,,n/e,n/e,486,,61,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,128,,90,,n/e,n/e,2168,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,163,
02:00 - 03:00,34,,2121,,n/e,n/e,485,,62,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,128,,8,,n/e,n/e,2168,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,224,
03:00 - 04:00,33,,2116,,n/e,n/e,484,,62,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,129,,8,,n/e,n/e,2170,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,218,
04:00 - 05:00,32,,2119,,n/e,n/e,489,,34,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,132,,7,,n/e,n/e,2169,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,238,
05:00 - 06:00,32,,2120,,n/e,n/e,489,,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,135,,8,,n/e,n/e,2167,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,211,
06:00 - 07:00,32,,2171,,n/e,n/e,490,,49,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,146,,8,,n/e,n/e,2168,,n/e,n/e,n/e,n/e,1,,4,,n/e,n/e,232,
07:00 - 08:00,33,,2190,,n/e,n/e,488,,63,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,168,,87,,n/e,n/e,2168,,n/e,n/e,n/e,n/e,57,,4,,n/e,n/e,236,
08:00 - 09:00,33,,2158,,n/e,n/e,489,,63,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,179,,277,,n/e,n/e,2169,,n/e,n/e,n/e,n/e,271,,4,,n/e,n/e,199,
09:00 - 10:00,31,,2141,,n/e,n/e,489,,63,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,180,,263,,n/e,n/e,2169,,n/e,n/e,n/e,n/e,481,,4,,n/e,n/e,178,
10:00 - 11:00,33,,2212,,n/e,n/e,480,,61,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,162,,163,,n/e,n/e,2169,,n/e,n/e,n/e,n/e,577,,4,,n/e,n/e,117,
11:00 - 12:00,33,,2147,,n/e,n/e,480,,61,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,134,,193,,n/e,n/e,2168,,n/e,n/e,n/e,n/e,598,,4,,n/e,n/e,42,
12:00 - 13:00,32,,2126,,n/e,n/e,473,,61,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,135,,171,,n/e,n/e,2168,,n/e,n/e,n/e,n/e,519,,4,,n/e,n/e,9,
13:00 - 14:00,32,,2100,,n/e,n/e,473,,62,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,140,,158,,n/e,n/e,2169,,n/e,n/e,n/e,n/e,373,,4,,n/e,n/e,3,
14:00 - 15:00,33,,2531,,n/e,n/e,477,,61,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,156,,185,,n/e,n/e,2170,,n/e,n/e,n/e,n/e,211,,4,,n/e,n/e,2,
15:00 - 16:00,32,,2743,,n/e,n/e,480,,62,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,191,,492,,n/e,n/e,2170,,n/e,n/e,n/e,n/e,39,,4,,n/e,n/e,3,
16:00 - 17:00,31,,2765,,n/e,n/e,484,,62,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,193,,1071,,n/e,n/e,2168,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,11,
17:00 - 18:00,31,,2760,,n/e,n/e,488,,63,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,205,,1245,,n/e,n/e,2168,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,67,
