Hydro Water Reservoir,24961,25378,25393,26313,26472,26533,26683,26683,26701,26660,26712
Other,0,0,0,0,0,0,31,31,31,31,31
Other renewable,,,,,,,100,100,100,100,100
Fossil Gas,1412,1412,611,635,635,642,639,639,459,473,478
Fossil Oil shale,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Nuclear,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil Peat,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil Coal-derived gas,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Solar,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9,17
Hydro Pumped Storage,1042,1042,1042,1031,1031,1031,1065,1065,1065,1065,1065
Fossil Hard coal,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil Oil,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Wind Onshore,627,692,904,1232,2262,3866,5105,5105,5130,5133,5133
Wind Offshore,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6
Marine,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil Brown coal/Lignite,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Waste,,,,,,,90,90,90,92,93
Biomass,n/e,n/e,n/e,n/e,n/e,n/e,n/e,,,14,14
Geothermal,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Hydro Run-of-river and poundage,4351,4522,4660,5586,5937,6248,6677,6677,6702,6875,7230
Total Grand capacity,32393,33046,32610,34797,36337,38320,40390,40390,40278,40452,40879
