00:00 - 01:00,274,,1908,,50,,1542,,5959,,371,,n/e,n/e,n/e,n/e,n/e,n/e,25,,248,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,2486,
01:00 - 02:00,274,,1906,,48,,1551,,5873,,370,,n/e,n/e,n/e,n/e,n/e,n/e,27,,247,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,2365,
02:00 - 03:00,273,,1875,,47,,1532,,5794,,370,,n/e,n/e,n/e,n/e,n/e,n/e,7,,247,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,2249,
03:00 - 04:00,276,,1891,,48,,1526,,5829,,370,,n/e,n/e,n/e,n/e,n/e,n/e,0,,249,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,2056,
04:00 - 05:00,274,,1964,,49,,1618,,5924,,369,,n/e,n/e,n/e,n/e,n/e,n/e,0,,250,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,1905,
05:00 - 06:00,274,,2004,,50,,1715,,5945,,368,,n/e,n/e,n/e,n/e,n/e,n/e,12,,264,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,1602,
06:00 - 07:00,273,,1971,,51,,1712,,5971,,367,,n/e,n/e,n/e,n/e,n/e,n/e,19,,287,,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,21,,n/e,n/e,n/e,n/e,1348,
07:00 - 08:00,276,,1941,,51,,1812,,5993,,366,,n/e,n/e,n/e,n/e,n/e,n/e,12,,292,,42,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,153,,n/e,n/e,n/e,n/e,1412,
08:00 - 09:00,275,,2096,,56,,1883,,6018,,367,,n/e,n/e,n/e,n/e,n/e,n/e,10,,291,,42,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,329,,n/e,n/e,n/e,n/e,1466,
09:00 - 10:00,277,,2449,,57,,1916,,6103,,368,,n/e,n/e,n/e,n/e,n/e,n/e,34,,282,,5,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,553,,n/e,n/e,n/e,n/e,1440,
10:00 - 11:00,276,,2509,,58,,1903,,6108,,367,,n/e,n/e,n/e,n/e,n/e,n/e,23,,284,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,782,,n/e,n/e,n/e,n/e,1258,
11:00 - 12:00,275,,2584,,59,,1914,,6195,,368,,n/e,n/e,n/e,n/e,n/e,n/e,66,,281,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,916,,n/e,n/e,n/e,n/e,1218,
12:00 - 13:00,274,,2597,,58,,1919,,6211,,368,,n/e,n/e,n/e,n/e,n/e,n/e,262,,294,,0,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,889,,n/e,n/e,n/e,n/e,1247,
13:00 - 14:00,273,,2498,,56,,1926,,6110,,368,,n/e,n/e,n/e,n/e,n/e,n/e,157,,295,,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,561,,n/e,n/e,n/e,n/e,1328,
14:00 - 15:00,272,,2620,,55,,1939,,6213,,368,,n/e,n/e,n/e,n/e,n/e,n/e,214,,299,,42,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,242,,n/e,n/e,n/e,n/e,1487,
15:00 - 16:00,269,,2610,,52,,1945,,6309,,368,,n/e,n/e,n/e,n/e,n/e,n/e,257,,312,,42,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,20,,n/e,n/e,n/e,n/e,1757,
16:00 - 17:00,273,,2544,,51,,1935,,6009,,370,,n/e,n/e,n/e,n/e,n/e,n/e,209,,318,,42,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,2053,
17:00 - 18:00,276,,2255,,52,,1935,,6054,,370,,n/e,n/e,n/e,n/e,n/e,n/e,97,,320,,42,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,2264,
