index,BG -> RoW,RoW -> BG,EE -> RoW,RoW -> EE,EL -> RoW,RoW -> EL,FI -> RoW,RoW -> FI,HR -> RoW,RoW -> HR,HU -> RoW,RoW -> HU,IT -> RoW,RoW -> IT,LT -> RoW,RoW -> LT,LV -> RoW,RoW -> LV,PL -> RoW,RoW -> PL,RO -> RoW,RoW -> RO,SK -> RoW,RoW -> SK
2023-01-01 00:00:00+00:00,1236.0,0.0,393.0,0.0,0.0,1037.0,0.0,0.0,618.0,0.0,522.0,456.0,0.0,590.0,0.0,304.0,0.0,78.0,0.0,0.0,610.0,325.0,493.0,0.0
2023-01-01 00:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 01:00:00+00:00,1273.0,0.0,423.0,0.0,0.0,950.0,0.0,0.0,477.0,0.0,455.0,439.0,0.0,590.0,0.0,292.0,0.0,70.0,0.0,0.0,534.0,279.0,518.0,0.0
2023-01-01 01:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 02:00:00+00:00,1140.0,0.0,403.0,0.0,0.0,1017.0,0.0,0.0,412.0,0.0,394.0,398.0,0.0,452.0,0.0,253.0,0.0,80.0,0.0,0.0,510.0,275.0,554.0,0.0
2023-01-01 02:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 03:00:00+00:00,1060.0,0.0,381.0,0.0,0.0,1078.0,0.0,0.0,206.0,0.0,313.0,385.0,0.0,1.0,0.0,254.0,0.0,77.0,0.0,0.0,444.0,245.0,483.0,0.0
2023-01-01 03:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 04:00:00+00:00,1050.0,0.0,344.0,0.0,0.0,1105.0,0.0,0.0,235.0,0.0,289.0,351.0,0.0,1.0,0.0,264.0,0.0,82.0,0.0,0.0,462.0,241.0,513.0,0.0
2023-01-01 04:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 05:00:00+00:00,1082.0,0.0,317.0,0.0,0.0,1150.0,0.0,0.0,278.0,0.0,293.0,341.0,0.0,1.0,0.0,268.0,0.0,85.0,0.0,0.0,476.0,265.0,543.0,0.0
2023-01-01 05:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 06:00:00+00:00,962.0,0.0,234.0,0.0,0.0,1070.0,0.0,0.0,225.0,0.0,262.0,236.0,0.0,1.0,0.0,183.0,0.0,18.0,0.0,0.0,522.0,239.0,555.0,0.0
2023-01-01 06:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 07:00:00+00:00,1093.0,0.0,184.0,0.0,0.0,980.0,0.0,0.0,98.0,0.0,245.0,297.0,0.0,1.0,0.0,77.0,0.0,4.0,0.0,0.0,617.0,164.0,378.0,0.0
2023-01-01 07:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 08:00:00+00:00,1238.0,0.0,123.0,0.0,0.0,1007.0,0.0,0.0,195.0,0.0,318.0,256.0,0.0,81.0,0.0,62.0,0.0,2.0,0.0,0.0,630.0,140.0,301.0,0.0
2023-01-01 08:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 09:00:00+00:00,1295.0,0.0,41.0,0.0,0.0,1035.0,0.0,0.0,378.0,0.0,395.0,282.0,0.0,542.0,0.0,50.0,28.0,0.0,0.0,0.0,620.0,150.0,297.0,0.0
2023-01-01 09:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 10:00:00+00:00,1387.0,0.0,53.0,0.0,0.0,909.0,0.0,0.0,258.0,0.0,371.0,318.0,0.0,599.0,0.0,85.0,24.0,0.0,0.0,0.0,766.0,123.0,280.0,0.0
2023-01-01 10:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 11:00:00+00:00,1478.0,0.0,28.0,0.0,0.0,795.0,0.0,0.0,443.0,0.0,370.0,303.0,0.0,601.0,0.0,123.0,11.0,0.0,0.0,0.0,742.0,157.0,291.0,0.0
2023-01-01 11:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 12:00:00+00:00,1379.0,0.0,22.0,0.0,0.0,801.0,0.0,0.0,554.0,0.0,353.0,226.0,0.0,601.0,0.0,128.0,8.0,0.0,0.0,0.0,669.0,183.0,301.0,0.0
2023-01-01 12:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 13:00:00+00:00,1203.0,0.0,0.0,22.0,0.0,1037.0,0.0,0.0,858.0,0.0,410.0,218.0,0.0,601.0,0.0,91.0,28.0,0.0,0.0,0.0,553.0,261.0,374.0,0.0
2023-01-01 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 14:00:00+00:00,925.0,0.0,0.0,29.0,0.0,1055.0,0.0,0.0,1093.0,0.0,426.0,144.0,0.0,601.0,0.0,86.0,53.0,0.0,0.0,0.0,596.0,303.0,443.0,0.0
2023-01-01 14:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 15:00:00+00:00,853.0,0.0,163.0,0.0,0.0,1059.0,0.0,0.0,1327.0,0.0,423.0,186.0,0.0,600.0,0.0,224.0,3.0,0.0,0.0,0.0,424.0,514.0,566.0,0.0
2023-01-01 15:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 16:00:00+00:00,894.0,0.0,269.0,0.0,0.0,1068.0,0.0,0.0,1370.0,0.0,410.0,193.0,0.0,589.0,0.0,322.0,0.0,40.0,0.0,0.0,444.0,463.0,558.0,0.0
2023-01-01 16:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 17:00:00+00:00,865.0,0.0,297.0,0.0,0.0,1021.0,0.0,0.0,1185.0,0.0,361.0,212.0,0.0,569.0,0.0,331.0,0.0,36.0,0.0,0.0,483.0,408.0,544.0,0.0
2023-01-01 17:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 18:00:00+00:00,862.0,0.0,332.0,0.0,0.0,1137.0,0.0,0.0,1317.0,0.0,401.0,226.0,0.0,572.0,0.0,355.0,0.0,46.0,0.0,0.0,399.0,454.0,567.0,0.0
2023-01-01 18:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 19:00:00+00:00,925.0,0.0,316.0,0.0,0.0,1134.0,0.0,0.0,1115.0,0.0,391.0,293.0,0.0,492.0,0.0,324.0,0.0,51.0,0.0,0.0,498.0,419.0,494.0,0.0
2023-01-01 19:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
