Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,Gde-Dixence (GD),1926.0,1.0,CH,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KLL - KW Linth-Limmern AG,1524.0,1.0,CH,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KW Oberhasli AG (KWO),1307.0,1.0,CH,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KKL - KernKW Leibstadt AG,1233.0,1.0,CH,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kernkraftwerk Gösgen,1020.0,1.0,CH,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nant de Drance (NDD),930.0,1.0,CH,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KKB - KernKW Beznau,730.0,1.0,CH,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KHR - KW Hinterrhein AG,640.0,1.0,CH,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maggia (OFIMA),605.0,1.0,CH,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blenio (OFIBLE),540.0,1.0,CH,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hongrin-Léman (FMHL),484.0,1.0,CH,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emosson (ESA),420.0,1.0,CH,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kraftwerke Mauvoisin AG,421.0,1.0,CH,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EKW - Engadiner KW AG,416.0,1.0,CH,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KSL - KW Sarganserland AG,415.0,1.0,CH,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electra-Massa (EM),340.0,1.0,CH,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KVR - KW Vorderrhein AG,336.0,1.0,CH,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KWM - KW Mattmark AG,263.0,1.0,CH,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KWZ - KW Zervreila AG,258.0,1.0,CH,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AET Leventina,226.0,1.0,CH,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kraftwerk Mittelbünden,198.0,1.0,CH,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kraftwerk Bergell,193.0,1.0,CH,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kraftwerk Lötschen,126.0,1.0,CH,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kraftwerk Etzelwerk,125.0,1.0,CH,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kraftwerk Amsteg,120.0,1.0,CH,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Verzasca,114.0,1.0,CH,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wägital,108.0,1.0,CH,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kraftwerk CB-VE,107.0,1.0,CH,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KW Laufenburg CH,106.0,1.0,CH,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KWG - KW Göschenen AG,,1.0,CH,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kraftwerk Göschenen,102.0,1.0,CH,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KW Rheinfelden CH,100.0,1.0,CH,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
