,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,47.5619-9.0353-CH,0.755,1.0,CH,,,Other or unspecified technology,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Otto Wartmann,47.5619,9.0353
,46.8083-9.8393-CH,0.08,1.0,CH,,,Other or unspecified technology,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davos Biogas GmbH,46.8083,9.8393
,47.2278-8.2363-CH,0.26,1.0,CH,,,Other or unspecified technology,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armin Müller-Flühler,47.2278,8.2363
,47.1691-7.2549-CH,0.45,1.0,CH,,,Other or unspecified technology,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydroelectra AG,47.1691,7.2549
,46.2942-7.9084-CH,0.48,1.0,CH,,,Other or unspecified technology,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Val Biogas GmbH,46.2942,7.9084
,46.066-7.2183-CH,0.112,1.0,CH,,,,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Services Industriels de Bagnes (SIB),46.066,7.2183
,47.4382-7.5303-CH,0.39,1.0,CH,,,Other or unspecified technology,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EBL (Genossenschaft Elektra Baselland),47.4382,7.5303
,46.2384-7.8524-CH,0.11,1.0,CH,,,Other or unspecified technology,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KWT Törbel Moosalp AG ,46.2384,7.8524
,47.0363-8.1819-CH,0.006,1.0,CH,,,Other or unspecified technology,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juridical person,47.0363,8.1819
,47.1915-7.1785-CH,0.353,1.0,CH,,,Other or unspecified technology,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turbinor SA,47.1915,7.1785
,46.6254-7.6936-CH,0.016,1.0,CH,,,Other or unspecified technology,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural person,46.6254,7.6936
,47.2743-8.3385-CH,0.003,1.0,CH,,,Other or unspecified technology,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juridical person,47.2743,8.3385
,47.2823-8.4043-CH,0.36,1.0,CH,,,Other or unspecified technology,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ökopower AG,47.2823,8.4043
,47.0444-7.2758-CH,0.625,1.0,CH,,,Other or unspecified technology,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Axpo Kompogas AG,47.0444,7.2758
,46.9911-9.3426-CH,0.043,1.0,CH,,,Other or unspecified technology,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Politische Gemeinde Mels, Elektrizitäts- & Wasserwerk",46.9911,9.3426
,46.2274-7.3556-CH,0.12,1.0,CH,,,Other or unspecified technology,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ville de Sion,46.2274,7.3556
,46.02-7.7486-CH,0.06,1.0,CH,,,Other or unspecified technology,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Einwohnergemeinde Zermatt Wasserversorgung,46.02,7.7486
,46.8871-8.2125-CH,0.027,1.0,CH,,,Other or unspecified technology,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juridical person,46.8871,8.2125
,46.6595-7.4911-CH,0.023,1.0,CH,,,Other or unspecified technology,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juridical person,46.6595,7.4911
,46.7905-7.1172-CH,0.04,1.0,CH,,,Other or unspecified technology,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anne-Elisabeth Nobs,46.7905,7.1172
,46.8499-9.5329-CH,0.25,1.0,CH,,,Other or unspecified technology,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Halbmil Biogas GmbH,46.8499,9.5329
,47.3245-7.9559-CH,0.38,1.0,CH,,,Other or unspecified technology,Bioenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAWA Biogas GmbH,47.3245,7.9559
