00:00 - 01:00,106,,13,,n/e,n/e,100,,0,,49,,n/e,n/e,n/e,n/e,n/e,n/e,,100,710,,21,,n/e,n/e,2431,,120,,55,,0,,n/e,n/e,n/e,n/e,0,
01:00 - 02:00,107,,13,,n/e,n/e,100,,0,,49,,n/e,n/e,n/e,n/e,n/e,n/e,,300,652,,21,,n/e,n/e,2435,,120,,55,,0,,n/e,n/e,n/e,n/e,0,
02:00 - 03:00,107,,13,,n/e,n/e,97,,0,,49,,n/e,n/e,n/e,n/e,n/e,n/e,,305,613,,20,,n/e,n/e,2438,,121,,55,,0,,n/e,n/e,n/e,n/e,1,
03:00 - 04:00,109,,14,,n/e,n/e,104,,0,,49,,n/e,n/e,n/e,n/e,n/e,n/e,,309,627,,20,,n/e,n/e,2436,,121,,55,,0,,n/e,n/e,n/e,n/e,1,
04:00 - 05:00,108,,14,,n/e,n/e,108,,0,,51,,n/e,n/e,n/e,n/e,n/e,n/e,,313,627,,20,,n/e,n/e,2442,,124,,54,,0,,n/e,n/e,n/e,n/e,1,
05:00 - 06:00,109,,13,,n/e,n/e,102,,0,,51,,n/e,n/e,n/e,n/e,n/e,n/e,,30,702,,28,,n/e,n/e,2445,,123,,55,,0,,n/e,n/e,n/e,n/e,1,
06:00 - 07:00,109,,12,,n/e,n/e,93,,0,,50,,n/e,n/e,n/e,n/e,n/e,n/e,,111,718,,28,,n/e,n/e,2449,,123,,54,,0,,n/e,n/e,n/e,n/e,1,
07:00 - 08:00,106,,13,,n/e,n/e,99,,0,,50,,n/e,n/e,n/e,n/e,n/e,n/e,,83,737,,56,,n/e,n/e,2446,,122,,53,,1,,n/e,n/e,n/e,n/e,1,
08:00 - 09:00,108,,14,,n/e,n/e,112,,0,,50,,n/e,n/e,n/e,n/e,n/e,n/e,20,,774,,65,,n/e,n/e,2440,,123,,55,,7,,n/e,n/e,n/e,n/e,0,
09:00 - 10:00,107,,14,,n/e,n/e,114,,0,,50,,n/e,n/e,n/e,n/e,n/e,n/e,22,,779,,68,,n/e,n/e,2440,,123,,53,,22,,n/e,n/e,n/e,n/e,1,
