Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,KLGLW,228,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STLGW,225,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HMGTO,219,1.0,UK,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WTMSO,210,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GRIFW,204,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRYRB,200,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLDNW,198,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLDCW,196,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FELL,180,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GNFSW,165,1.0,UK,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SLOY,153,1.0,UK,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FAWN,150,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GRMO,144,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALGW,144,1.0,UK,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
