index,SI -> AT,SI -> IT,SI -> HU,SI -> HR
2022-01-01 00:00:00+0000,39.0,657.0,,0.0
2022-01-01 00:15:00+0000,38.0,,,
2022-01-01 00:30:00+0000,53.0,,,
2022-01-01 00:45:00+0000,0.0,,,
2022-01-01 01:00:00+0000,52.0,654.0,,0.0
2022-01-01 01:15:00+0000,0.0,,,
2022-01-01 01:30:00+0000,0.0,,,
2022-01-01 01:45:00+0000,67.0,,,
2022-01-01 02:00:00+0000,69.0,854.0,,0.0
2022-01-01 02:15:00+0000,75.0,,,
2022-01-01 02:30:00+0000,77.0,,,
2022-01-01 02:45:00+0000,80.0,,,
2022-01-01 03:00:00+0000,82.0,764.0,,0.0
2022-01-01 03:15:00+0000,83.0,,,
2022-01-01 03:30:00+0000,88.0,,,
2022-01-01 03:45:00+0000,88.0,,,
2022-01-01 04:00:00+0000,97.0,806.0,,0.0
2022-01-01 04:15:00+0000,95.0,,,
2022-01-01 04:30:00+0000,99.0,,,
2022-01-01 04:45:00+0000,99.0,,,
2022-01-01 05:00:00+0000,97.0,875.0,,0.0
2022-01-01 05:15:00+0000,105.0,,,
2022-01-01 05:30:00+0000,111.0,,,
2022-01-01 05:45:00+0000,126.0,,,
2022-01-01 06:00:00+0000,167.0,870.0,,0.0
2022-01-01 06:15:00+0000,169.0,,,
2022-01-01 06:30:00+0000,175.0,,,
2022-01-01 06:45:00+0000,158.0,,,
2022-01-01 07:00:00+0000,159.0,961.0,,0.0
2022-01-01 07:15:00+0000,141.0,,,
2022-01-01 07:30:00+0000,136.0,,,
2022-01-01 07:45:00+0000,130.0,,,
2022-01-01 08:00:00+0000,146.0,930.0,,0.0
2022-01-01 08:15:00+0000,137.0,,,
2022-01-01 08:30:00+0000,121.0,,,
2022-01-01 08:45:00+0000,119.0,,,
2022-01-01 09:00:00+0000,119.0,692.0,,0.0
2022-01-01 09:15:00+0000,112.0,,,
2022-01-01 09:30:00+0000,94.0,,,
2022-01-01 09:45:00+0000,86.0,,,
