index,SE -> NO,SE -> FI,SE -> DE,SE -> DK,SE -> PL
2015-01-01 03:00:00+0000,2083.0,1452.0,0.0,0.0,0.0
2015-01-01 04:00:00+0000,2144.0,1574.0,0.0,0.0,0.0
2015-01-01 05:00:00+0000,2383.0,1400.0,0.0,0.0,0.0
2015-01-01 06:00:00+0000,2605.0,1392.0,0.0,0.0,0.0
2015-01-01 07:00:00+0000,2706.0,1272.0,0.0,0.0,0.0
2015-01-01 08:00:00+0000,3035.0,1263.0,0.0,0.0,0.0
2015-01-01 09:00:00+0000,3043.0,1407.0,0.0,0.0,0.0
2015-01-01 10:00:00+0000,3050.0,1558.0,0.0,0.0,0.0
2015-01-01 11:00:00+0000,3161.0,1526.0,0.0,0.0,0.0
2015-01-01 12:00:00+0000,3314.0,1582.0,0.0,0.0,0.0
2015-01-01 13:00:00+0000,2993.0,1900.0,0.0,0.0,0.0
2015-01-01 14:00:00+0000,2310.0,2241.0,0.0,0.0,16.0
2015-01-01 15:00:00+0000,1264.0,2261.0,0.0,0.0,513.0
2015-01-01 16:00:00+0000,1178.0,2281.0,0.0,0.0,603.0
2015-01-01 17:00:00+0000,1254.0,2329.0,0.0,0.0,603.0
2015-01-01 18:00:00+0000,1648.0,2303.0,0.0,0.0,601.0
2015-01-01 19:00:00+0000,1953.0,2021.0,0.0,0.0,544.0
2015-01-01 20:00:00+0000,2413.0,2288.0,0.0,0.0,28.0
2015-01-01 21:00:00+0000,2423.0,2175.0,0.0,0.0,0.0
2015-01-01 22:00:00+0000,2321.0,1947.0,0.0,0.0,0.0
2015-01-01 23:00:00+0000,2287.0,1825.0,0.0,0.0,0.0
2015-01-02 00:00:00+0000,1945.0,1745.0,0.0,0.0,0.0
2015-01-02 01:00:00+0000,1999.0,1760.0,0.0,0.0,0.0
2015-01-02 02:00:00+0000,2139.0,1840.0,0.0,0.0,0.0
2015-01-02 03:00:00+0000,2076.0,2015.0,0.0,0.0,0.0
2015-01-02 04:00:00+0000,1358.0,2235.0,0.0,0.0,0.0
2015-01-02 05:00:00+0000,1239.0,2297.0,0.0,0.0,0.0
2015-01-02 06:00:00+0000,1104.0,2368.0,0.0,0.0,0.0
2015-01-02 07:00:00+0000,1387.0,2342.0,0.0,0.0,0.0
2015-01-02 08:00:00+0000,1686.0,2290.0,0.0,0.0,2.0
2015-01-02 09:00:00+0000,1776.0,2193.0,0.0,0.0,238.0
2015-01-02 10:00:00+0000,1530.0,2176.0,0.0,0.0,539.0
2015-01-02 11:00:00+0000,1424.0,2257.0,0.0,0.0,597.0
2015-01-02 12:00:00+0000,1550.0,2536.0,0.0,0.0,598.0
2015-01-02 13:00:00+0000,1545.0,2570.0,0.0,0.0,598.0
2015-01-02 14:00:00+0000,1245.0,2502.0,0.0,0.0,598.0
2015-01-02 15:00:00+0000,1237.0,2563.0,0.0,0.0,598.0
2015-01-02 16:00:00+0000,1212.0,2617.0,0.0,0.0,598.0
2015-01-02 17:00:00+0000,1251.0,2595.0,0.0,0.0,598.0
2015-01-02 18:00:00+0000,1284.0,2470.0,0.0,0.0,598.0
2015-01-02 19:00:00+0000,1669.0,2112.0,0.0,0.0,590.0
2015-01-02 20:00:00+0000,1962.0,2358.0,0.0,0.0,54.0
2015-01-02 21:00:00+0000,1602.0,2118.0,0.0,0.0,116.0
2015-01-02 22:00:00+0000,1873.0,1886.0,0.0,0.0,0.0
2015-01-02 23:00:00+0000,2103.0,1721.0,0.0,0.0,0.0
2015-01-03 00:00:00+0000,2025.0,1879.0,0.0,0.0,0.0
2015-01-03 01:00:00+0000,1932.0,1895.0,0.0,0.0,0.0
2015-01-03 02:00:00+0000,1729.0,1791.0,0.0,0.0,0.0
2015-01-03 03:00:00+0000,1734.0,1864.0,0.0,0.0,0.0
2015-01-03 04:00:00+0000,1881.0,1892.0,0.0,0.0,0.0
2015-01-03 05:00:00+0000,2135.0,1682.0,0.0,0.0,0.0
2015-01-03 06:00:00+0000,1601.0,1780.0,0.0,0.0,0.0
2015-01-03 07:00:00+0000,1574.0,1626.0,0.0,0.0,4.0
2015-01-03 08:00:00+0000,1387.0,1696.0,0.0,0.0,255.0
2015-01-03 09:00:00+0000,1396.0,1611.0,0.0,0.0,586.0
2015-01-03 10:00:00+0000,1390.0,1669.0,0.0,0.0,598.0
2015-01-03 11:00:00+0000,1416.0,1722.0,0.0,0.0,598.0
2015-01-03 12:00:00+0000,1358.0,1685.0,0.0,0.0,598.0
2015-01-03 13:00:00+0000,1271.0,2195.0,0.0,0.0,598.0
2015-01-03 14:00:00+0000,1099.0,2524.0,0.0,1.0,598.0
2015-01-03 15:00:00+0000,750.0,2391.0,0.0,425.0,598.0
2015-01-03 16:00:00+0000,626.0,2538.0,0.0,1026.0,598.0
2015-01-03 17:00:00+0000,565.0,2484.0,216.0,893.0,598.0
2015-01-03 18:00:00+0000,839.0,2380.0,264.0,95.0,598.0
2015-01-03 19:00:00+0000,1050.0,2118.0,130.0,0.0,598.0
2015-01-03 20:00:00+0000,1006.0,2461.0,0.0,0.0,592.0
