Fuel,Technology,Type / Class,Age bin,PowerCapacity,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,RampingCost,PartLoadMin,StartUpTime,CHPType,NoLoadCost_pu,MinEfficiency,CO2Intensity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
HRD,STUR,Sub-critical,30.00000001,150,0.35280893282292,9.5,8.5,0.0429,0.0429,81.5,1.65,0.35,3.7,,,,0.88,,,
HRD,STUR,Sub-critical,30.00000001,149.9999999999,0.299192034680751,9.5,8.5,0.0429,0.0429,81.5,1.65,0.35,3.7,,,,0.88,,,
HRD,STUR,Sub-critical,30.00000001,7.5,0.299192034680751,9.5,8.5,0.0429,0.0429,81.5,1.65,0.35,3.7,,,,0.88,,,
HRD,STUR,Sub-critical,30.00000001,7.4999999999,0.231612820496938,9.5,8.5,0.0429,0.0429,81.5,1.65,0.35,3.7,,,,0.88,,,
HRD,STUR,supercritical,9.999999999,400,0.429836636719965,6.5,2.25,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,supercritical,9.999999999,399.9999999999,0.402280847419801,6.5,2.25,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,supercritical,9.999999999,150,0.402280847419801,6.5,2.25,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,supercritical,9.999999999,149.9999999999,0.341145628852422,6.5,2.25,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,supercritical,9.999999999,7.5,0.341145628852422,6.5,2.25,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,supercritical,9.999999999,7.4999999999,0.264090256891436,6.5,2.25,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,supercritical,10,400,0.395803120841215,6.5,2.25,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,supercritical,10,399.9999999999,0.370429138098666,6.5,2.25,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,supercritical,10,150,0.370429138098666,6.5,2.25,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,supercritical,10,149.9999999999,0.314134471159787,6.5,2.25,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,supercritical,10,7.5,0.314134471159787,6.5,2.25,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,supercritical,10,7.4999999999,0.243180173423625,6.5,2.25,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,supercritical,30,400,0.395803120841215,6.5,2.25,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,supercritical,30,399.9999999999,0.370429138098666,6.5,2.25,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,supercritical,30,150,0.370429138098666,6.5,2.25,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,supercritical,30,149.9999999999,0.314134471159787,6.5,2.25,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,supercritical,30,7.5,0.314134471159787,6.5,2.25,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,supercritical,30,7.4999999999,0.243180173423625,6.5,2.25,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,supercritical,30.00000001,400,0.376975951159586,6.5,8.5,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,supercritical,30.00000001,399.9999999999,0.35280893282292,6.5,8.5,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,supercritical,30.00000001,150,0.35280893282292,6.5,8.5,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,supercritical,30.00000001,149.9999999999,0.299192034680751,6.5,8.5,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,supercritical,30.00000001,7.5,0.299192034680751,6.5,8.5,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,supercritical,30.00000001,7.4999999999,0.231612820496938,6.5,8.5,0.0433,0.0433,26.85,1.55,0.35,5,,,,0.88,,,
HRD,STUR,Ultra-supercritical,9.999999999,400,0.437103512831725,6.5,2.25,0.0433,0.0433,26.85,1.8,0.35,5,,,,0.88,,,
HRD,STUR,Ultra-supercritical,9.999999999,399.9999999999,0.409081861643812,6.5,2.25,0.0433,0.0433,26.85,1.8,0.35,5,,,,0.88,,,
HRD,STUR,Ultra-supercritical,9.999999999,150,0.409081861643812,6.5,2.25,0.0433,0.0433,26.85,1.8,0.35,5,,,,0.88,,,
