Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,EHIBGES,5633.0,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DUERO G,3543.0,1.0,ES,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TAJO G,2232.0,1.0,ES,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EOLICAGEST,2341.0,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENH-FEC-GR,1871.0,1.0,ES,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EREGPEM,1322.0,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SIL G,1557.0,1.0,ES,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MUELA G,1512.0,1.0,ES,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MUELA B,1390.0,1.0,ES,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DUERO B,1308.0,1.0,ES,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FHIBGES,647.0,1.0,ES,,,PHOT,SUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EOLICAGES1,816.0,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COFRENTES,1064.0,1.0,ES,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VANDELLOS,1045.0,1.0,ES,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EEGPEM,1039.0,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALMARAZ 1,1011.0,1.0,ES,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALMARAZ 2,1006.0,1.0,ES,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRILLO,1003.0,1.0,ES,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASCO 1,996.0,1.0,ES,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASCO 2,992.0,1.0,ES,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SOLARES 1,606.0,1.0,ES,,,PHOT,SUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EFWMARK,1205.0,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GNF MI¿O,941.0,1.0,ES,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BESOS 5,859.0,1.0,ES,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.G.RODR 5,856.0,1.0,ES,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HCGSCSA,678.0,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CASTELLO 4,839.0,1.0,ES,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HCGSIHA,1090.0,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARCOS3,823.0,1.0,ES,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
