"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Wind Onshore","18WEHIBGES-123-W","EHIBGES","5933","5933","Spain","400","26.05.2016",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Water Reservoir","18WDUER-12345-0N","DUERO G","3543","3534","Spain","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Wind Onshore","18WEGREEN-1234-3","EOLICAGEST","2154","2301","Spain","400","19.05.2016",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Water Reservoir","18WTAJO-12345-0U","TAJO G","2232","2228","Spain","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Water Reservoir","18WEBRFEN-123-0T","ENH-FEC-GR","1871","1871","Spain","220","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Water Reservoir","18WSIL-123456-0G","SIL G","1557","1557","Spain","220","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Pumped Storage","18WMUEL-12345-03","MUELA G","1512","1512","Valencia","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Pumped Storage","18WMUEB-12345-0T","MUELA B","1390","1390","Valencia","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Pumped Storage","18WDUEB-12345-0Z","DUERO B","1308","1308","Spain","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Wind Onshore","18WEEGPEM-1234-9","EEGPEM","1039","1127","Spain","400","01.04.2016",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Wind Onshore","18W000000000IG3U","HCGSCSA","697","1077","Spain","400","01.09.2020",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Nuclear","18WCOF1-12345-0O","COFRENTES","1064","1064","Valencia","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Nuclear","18WVAN2-12345-0W","VANDELLOS","1045","1045","Tarragona","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Wind Onshore","18W000000000MU2B","EOLICAGES1","1107","1045","Spain","400","22.03.2022",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Nuclear","18WALZ1-12345-0E","ALMARAZ 1","1011","1011","Cáceres","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Nuclear","18WALZ2-12345-04","ALMARAZ 2","1006","1006","Cáceres","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Nuclear","18WTRL1-12345-0Y","TRILLO","1003","1003","Guadalajara","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Nuclear","18WASC1-12345-0Z","ASCO 1","996","996","Tarragona","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Nuclear","18WASC2-12345-0P","ASCO 2","992","992","Tarragona","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Water Reservoir","18WUFMI-12345-0L","GNF MI¿O","941","941","Spain","220","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Wind Onshore","18WEFWMARK-123-K","EFWMARK","963","917","Spain","400","11.02.2016",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","18W000000000N85U","FV100EGHAB","203","900","Spain","400","01.05.2022",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","18W000000000A0UJ","SOLARES 1","679","899","Spain","400","31.12.2019",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","18WBES5-123456-T","BESOS 5","859","859","Barcelona","220","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","18WPGR5-123456-J","P.G.RODR 5","856","856","A Coruña","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","18WCTN4-123456-C","CASTELLO 4","839","839","Castellón","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","18WARCOS3-123-0Z","ARCOS3","823","823","Cádiz","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","18WALG3-12345--K","ALG3","821","821","Cádiz","220","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","18WESC6-12345-07","ESC IBER 6","816","816","Murcia","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","18WECT3-123456-N","ESCAT3","804","804","Zaragoza","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","18WCTNU-12345-0U","CASTELNOU","791","791","Teruel","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","18WAMBIETA-12-0S","AMBIETA","786","786","Vizcaya","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","18WBAHIAB-123-0X","BAHIAB","785","785","Vizcaya","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","18WCTN3-12345-04","CASTELLO 3","782","782","Castellón","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Wind Onshore","18WEREGPEM-123-F","EREGPEM","1322","757","Spain","400","11.11.2016",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Water Reservoir","18WJUCA-12345-0Q","JUCAR","739","732","Spain","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Wind Onshore","18W000000000IG2W","HCGSIHA","980","715","Spain","400","01.09.2020",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Wind Onshore","18W000000000F0OB","EGASNE2","615","651","Spain","400","03.12.2020",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Water Reservoir","18WSBEU-12345-0Q","SIL-BIB-EU","626","626","Spain","220","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Wind Onshore","18W0000000001EAG","EGASNE1","480","626","Spain","400","01.03.2017",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Hard coal","18WBRR1-12345-0H","BARRIOS","570","570","Cádiz","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Hard coal","18WABO2-12345-0N","ABO¿O 2","562","562","Asturias","220","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","18W000000000LD1V","FREGPEM","536","520","Spain","400","04.05.2022",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Wind Onshore","18W000000000RVKQ","EEGPES","N/A","478","Spain","400","08.11.2024",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","18W000000000Q7E3","FIIBGES","N/A","448","Spain","400","06.06.2024",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Pumped Storage","18WSLTG-12345-0T","SALLENT G","439","439","Lleida","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","18WPBCN1-12345-D","PBCN1","435","435","Barcelona","220","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","18WPBCN2-12345-4","PBCN2","431","431","Barcelona","220","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","18W000000000RHV9","FIBGEPI","N/A","430","Cáceres","400","27.09.2024",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","18WSRI5-123456-L","SOTO5","428","428","Asturias","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","18W18WSRI4--123V","SOTORIBE 4","426","426","Asturias","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Water Reservoir","18WHCHI-12345-0M","HC-HIDRAUL","425","426","Asturias","132","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","18WCTJON1-123-06","CASTEJO1 H","425","425","Navarra","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Water Reservoir","18WGDLQ-12345-0A","GUADALQUIV","424","424","Spain","132","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","18WPVENT1--1234A","PVENT1","420","420","Tarragona","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Pumped Storage","18WTJEB-12345-0X","TAJOENC B","420","420","Málaga","220","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","18WCTJON3--1234S","CASTEJO3 H","418","418","Navarra","400","01.01.2012",""
"CTA|ES / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","18WCTGN1-1234-0C","ESC CART 1","418","418","Murcia","400","01.01.2012",""
