"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","15W-MAVIRGY-UZ-O","MAVIRGYuz","N/A","3379","Budapest","132","31.12.2024",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Nuclear","15WPAKS------PPL","Paksi Atomerőmű","1916","1916","Paks","400","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Brown coal/Lignite","15WMATRA-----PPK","Mátrai Erőmű","852","852","Visonta","220","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","15WDUME------PPI","DUMEuz -Dunamenti Erőmű","760","760","Százhalombatta","220","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Other renewable","15WSINERGYR--PP6","SINERGYR","611","735","Budapest","132","01.07.2021",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","15WMVMZG-----UZ9","MVMZGuz","279","590","Budapest","132","31.05.2022",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","15WGONYU-----PP5","Gönyűi Erőmű","437","437","Gönyű","400","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","15WCSEPEL----PPI","Alpiq Csepel Erőmű","401","401","Budapest","120","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Other renewable","15WPLOOP-----PPL","BÖRZE szabályozási központ","338","344","Budapest","132","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Other renewable","15WEWISER----PP7","Ewiser szabályozó központ","343","343","Cirák","132","30.11.2020",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","15WEONSUM----PPI","EONSUM szabályozási központ","80","309","Budapest","20","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","15W-MECSPV--UZ-G","MECSPVuz","234","234","Mezőcsát","220","31.03.2023",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","15WKELENF----PP8","Kelenföldi Erőmű","173","173","Budapest","120","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Oil","15WLORINC----PPF","LORIGTuz - Lőrinci Gázturbinás Erőmű","172","172","Budapest","120","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","15WMVMSZK----PPY","MVM szabályozási központ","156","148","Budapest","20","31.12.2014",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","15WSINERGY---PPQ","Sinergy szabályozási központ","124","125","Budapest","20","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Oil","15WSAJSZOGED-PP4","Sajószögedi Gázturbinás Erőmű","120","120","Sajószöged","120","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Oil","15WLITER-----PPP","Litéri Gázturbinás Erőmű","120","120","Budapest","120","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","15WBAKONY----PP6","Bakonyi Gázturbinás Erőmű","114","114","Ajka","120","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Other","15W-MET-----UZ-L","METuz","N/A","112","Budapest","22","31.10.2024",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","15WKISP------PP6","Kispesti Erőmű","109","109","Budapest","120","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","15WVPP-------PPZ","VPP szabályozási csoport","68","103","Budapest","20","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Other renewable","15W-VLTRCK1-UZ-O","VLTRCK1uz","31","103","Budapest","22","31.01.2023",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","15WUJPEST----PPO","Újpesti Erőmű","102","102","Budapest","120","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Biomass","15W-OROEBIO-UZ-J","OROEBIOuz","N/A","100","Oroszlány","132","30.09.2024",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","15WDKCE------PPQ","Debreceni Kombináltciklusú Erőmű","95","95","Debrecen","120","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Brown coal/Lignite","15WAJKA------PPT","Ajkai Hőerőmű","93","93","Ajka","120","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","15WGREEN-----PPZ","GREENuz-GREENERGY szabályozási központ","79","84","Budapest","20","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","15WVPPPV-----PP5","VPPPV szabályozó központ","28","70","Budapest","22","30.04.2022",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","15W-FRET----UZ-R","FRETuz","N/A","70","Sényő","132","31.12.2024",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Biomass","15WPECS------PPO","Pécsi Erőmű","62","62","Pécs","120","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","15WBUZSPV----PPB","BUZSPVuz","61","61","Buzsák","22","31.07.2022",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","15W-OMNI----UZ-K","OMNIuz","N/A","48","Budapest","22","31.08.2024",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","15WNYKCE-----PP6","Nyíregyházi Kombináltciklusú Erőmű","47","47","Oroszlány","120","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Biomass","15WPANNON----PPS","Pannongreen","44","44","Pécs","120","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Hard coal","15WHAMBURGERHPPF","Hamburger Hungária","42","42","Dunaújváros","132","01.08.2021",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","15WVEOLIASZK-PPQ","VEOLIA szabályozási központ","68","34","Budapest","20","01.04.2015",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Biomass","15WBAKONYI---PPL","Bakonyi Bioerőmű","28","28","Ajka","120","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","15WTATAB-----PPG","Tatabánya Erőmű","25","25","Tatabánya","120","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Wind Onshore","15WSOPKOV----PPO","Sopronkövesd szélerőműpark","23","23","Sopronkövesd","120","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","15W-MVMZG2--UZ-F","MVMZG2uz","N/A","20","Budapest","132","29.02.2024",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","15W-SZK007--UZ-V","SZK007uz","N/A","20","Dombóvár","132","31.12.2024",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","15W-HUGRPV--UZ-H","HUGRPVuz","20","20","Halmajugra","132","31.07.2023",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","15WDUNAPVSZK-PPW","DUNAPVSZK","17","17","Százhalombatta","132","30.04.2021",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","15W-GREEN2--UZ-B","GREEN2uz","N/A","14","Budapest","22","30.04.2024",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","15WTUSKESPV--PPG","Tüskésréti Naperőmű (Pécs)","10","10","Pécs","35","20.08.2018",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","15WAUDIPV----PPX","Győri AUDI naperőmű","10","10","Győr","22","01.12.2019",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","15WALPIQ-----PPY","ALPIQ szabályzási csoport","17","7","Budapest","132","31.12.2013",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","15WMOLFPV----PP2","MOL DUFI naperőmű","6","6","Százhalombatta","132","01.09.2019",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","15WTMPKPV----PPQ","MOL Tiszaújváros MPK naperőmű","6","6","MOL Petrolkémia Zrt. Telephely","132","01.07.2019",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","15WKAPKPV----PPS","Kaposvár Keleti naperőmű","49","0","Kaposvár Kelet","132","11.11.2020",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","15WKAPNPV----PPZ","Kaposvár Nyugati naperőmű","49","0","Kaposvár Nyugat","132","25.11.2020",""
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","15WTPUSPV----PP3","TPUSPV","47","N/A","Tiszapüspöki naperőmű","132","31.03.2022","31.12.2024"
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","15WBABRPV----PP7","Bükkábrányi naperőmű","20","N/A","Bükkábrány","35","01.03.2019","31.12.2024"
"CTA|HU / 01.01.2024 00:00 - 01.01.2025 00:00","Solar","15WNYPAZPV---UZI","NYPAZPVuz","20","N/A","Nyírpazony","11","31.05.2022","31.01.2025"
