"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"CTA|AT / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","14W-PROD-SIM---P","KW Simmering","1349","1349","intra_zonal","380","01.07.2011",""
"CTA|AT / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","14W-WGM-KW-----J","GDK-Mellach","838","838","intra_zonal","380","29.08.2013",""
"CTA|AT / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Pumped Storage","14W-DMH-KW-----9","Malta-Hauptstufe","728","730","intra_zonal","380","01.07.2011",""
"CTA|AT / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","14W-KW-THE-EVN-7","Kraftwerk Theiß","495","495","intra_zonal","110","10.06.2010",""
"CTA|AT / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Pumped Storage","14W-TKP-KW-----I","Limberg II","480","481","intra_zonal","380","01.07.2011",""
"CTA|AT / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Pumped Storage","14W-DRP-KW-----M","Reisseck 2","430","430","intra_zonal","380","01.12.2016",""
"CTA|AT / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Pumped Storage","14W-TZH-KW-----7","Häusling","420","420","intra_zonal","380","01.07.2011",""
"CTA|AT / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","14WENERGIE--WT02","Kraftwerk Timelkam Gesamtanlage","400","400","intra_zonal","110","01.07.2011",""
"CTA|AT / 01.01.2024 00:00 - 01.01.2025 00:00","Fossil Gas","14W-PROD-DO----O","KW Donaustadt","395","395","intra_zonal","380","01.07.2011",""
"CTA|AT / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Water Reservoir","11WD2KAUT0001512","KW Kaunertal","392","392","intra_zonal","220","01.10.2018",""
"CTA|AT / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Water Reservoir","14W-TZMA-KW----N","Mayrhofen","370","370","intra_zonal","380","01.07.2011",""
"CTA|AT / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Run-of-river and poundage","14W-BAW-KW-----F","Altenwörth","333","333","intra_zonal","380","01.07.2011",""
"CTA|AT / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Run-of-river and poundage","14W-BGS-KW-----Q","Greifenstein","297","297","intra_zonal","380","01.07.2011",""
"CTA|AT / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Run-of-river and poundage","14W-BAS-KW-----I","Aschach","289","288","intra_zonal","380","01.07.2011",""
"CTA|AT / 01.01.2024 00:00 - 01.01.2025 00:00","Hydro Water Reservoir","14W-TKH-KW-----O","Kaprun-Hauptstufe","280","280","intra_zonal","110","01.07.2011",""
