index,EL -> TR,EL -> MK,EL -> AL
2022-01-01 03:00:00+0000,0.0,0.0,0.0
2022-01-01 04:00:00+0000,0.0,0.0,1.0
2022-01-01 05:00:00+0000,0.0,0.0,29.0
2022-01-01 06:00:00+0000,0.0,0.0,13.0
2022-01-01 07:00:00+0000,0.0,0.0,46.0
2022-01-01 08:00:00+0000,0.0,0.0,65.0
2022-01-01 09:00:00+0000,0.0,0.0,14.0
2022-01-01 10:00:00+0000,0.0,0.0,25.0
2022-01-01 11:00:00+0000,0.0,0.0,10.0
2022-01-01 12:00:00+0000,0.0,0.0,10.0
2022-01-01 13:00:00+0000,0.0,0.0,2.0
2022-01-01 14:00:00+0000,0.0,0.0,0.0
2022-01-01 15:00:00+0000,0.0,0.0,2.0
2022-01-01 16:00:00+0000,0.0,0.0,29.0
2022-01-01 17:00:00+0000,0.0,0.0,35.0
2022-01-01 18:00:00+0000,0.0,0.0,14.0
2022-01-01 19:00:00+0000,0.0,0.0,33.0
2022-01-01 20:00:00+0000,0.0,0.0,73.0
2022-01-01 21:00:00+0000,0.0,0.0,93.0
2022-01-01 22:00:00+0000,0.0,0.0,62.0
2022-01-01 23:00:00+0000,0.0,0.0,64.0
2022-01-02 00:00:00+0000,0.0,0.0,47.0
2022-01-02 01:00:00+0000,0.0,0.0,75.0
2022-01-02 02:00:00+0000,0.0,0.0,70.0
2022-01-02 03:00:00+0000,0.0,0.0,146.0
2022-01-02 04:00:00+0000,0.0,81.0,249.0
2022-01-02 05:00:00+0000,0.0,95.0,267.0
2022-01-02 06:00:00+0000,0.0,51.0,292.0
2022-01-02 07:00:00+0000,0.0,93.0,287.0
2022-01-02 08:00:00+0000,0.0,105.0,271.0
2022-01-02 09:00:00+0000,0.0,82.0,200.0
2022-01-02 10:00:00+0000,0.0,101.0,201.0
2022-01-02 11:00:00+0000,0.0,63.0,184.0
2022-01-02 12:00:00+0000,0.0,11.0,137.0
2022-01-02 13:00:00+0000,0.0,0.0,48.0
2022-01-02 14:00:00+0000,0.0,0.0,15.0
2022-01-02 15:00:00+0000,0.0,0.0,0.0
2022-01-02 16:00:00+0000,0.0,0.0,11.0
2022-01-02 17:00:00+0000,0.0,0.0,0.0
2022-01-02 18:00:00+0000,0.0,0.0,0.0
2022-01-02 19:00:00+0000,0.0,0.0,0.0
2022-01-02 20:00:00+0000,0.0,0.0,0.0
2022-01-02 21:00:00+0000,0.0,0.0,0.0
2022-01-02 22:00:00+0000,0.0,0.0,57.0
2022-01-02 23:00:00+0000,0.0,0.0,54.0
2022-01-03 00:00:00+0000,0.0,0.0,16.0
2022-01-03 01:00:00+0000,0.0,0.0,1.0
2022-01-03 02:00:00+0000,0.0,0.0,1.0
2022-01-03 03:00:00+0000,0.0,0.0,0.0
2022-01-03 04:00:00+0000,0.0,0.0,6.0
2022-01-03 05:00:00+0000,0.0,0.0,44.0
2022-01-03 06:00:00+0000,0.0,0.0,81.0
2022-01-03 07:00:00+0000,0.0,6.0,69.0
2022-01-03 08:00:00+0000,0.0,12.0,115.0
2022-01-03 09:00:00+0000,0.0,39.0,130.0
2022-01-03 10:00:00+0000,0.0,18.0,122.0
2022-01-03 11:00:00+0000,0.0,10.0,129.0
2022-01-03 12:00:00+0000,0.0,6.0,130.0
2022-01-03 13:00:00+0000,0.0,1.0,119.0
2022-01-03 14:00:00+0000,0.0,1.0,138.0
2022-01-03 15:00:00+0000,0.0,7.0,107.0
2022-01-03 16:00:00+0000,0.0,3.0,114.0
2022-01-03 17:00:00+0000,0.0,2.0,125.0
2022-01-03 18:00:00+0000,0.0,0.0,120.0
2022-01-03 19:00:00+0000,0.0,0.0,83.0
2022-01-03 20:00:00+0000,0.0,4.0,118.0
2022-01-03 21:00:00+0000,0.0,36.0,192.0
2022-01-03 22:00:00+0000,0.0,3.0,159.0
2022-01-03 23:00:00+0000,0.0,0.0,11.0
2022-01-04 00:00:00+0000,0.0,0.0,24.0
2022-01-04 01:00:00+0000,0.0,0.0,10.0
2022-01-04 02:00:00+0000,0.0,0.0,8.0
2022-01-04 03:00:00+0000,0.0,0.0,16.0
2022-01-04 04:00:00+0000,0.0,0.0,35.0
2022-01-04 05:00:00+0000,0.0,0.0,7.0
2022-01-04 06:00:00+0000,0.0,1.0,12.0
2022-01-04 07:00:00+0000,0.0,144.0,84.0
2022-01-04 08:00:00+0000,0.0,186.0,103.0
2022-01-04 09:00:00+0000,0.0,161.0,82.0
2022-01-04 10:00:00+0000,0.0,184.0,116.0
2022-01-04 11:00:00+0000,0.0,118.0,87.0
2022-01-04 12:00:00+0000,0.0,170.0,117.0
2022-01-04 13:00:00+0000,0.0,121.0,71.0
2022-01-04 14:00:00+0000,0.0,119.0,66.0
2022-01-04 15:00:00+0000,0.0,46.0,29.0
2022-01-04 16:00:00+0000,0.0,32.0,86.0
2022-01-04 17:00:00+0000,0.0,0.0,34.0
2022-01-04 18:00:00+0000,0.0,0.0,2.0
