01:00 - 02:00,630,,n/e,n/e,583,,7049,,1154,,94,,n/e,n/e,n/e,n/e,661,,0,825,2406,,258,,n/e,n/e,n/e,n/e,1589,,n/e,n/e,0,,36,,n/e,n/e,3285,
02:00 - 03:00,624,,n/e,n/e,582,,6952,,1155,,94,,n/e,n/e,n/e,n/e,662,,0,919,2387,,251,,n/e,n/e,n/e,n/e,1586,,n/e,n/e,0,,37,,n/e,n/e,3426,
03:00 - 04:00,631,,n/e,n/e,582,,7119,,1176,,94,,n/e,n/e,n/e,n/e,663,,0,1207,2321,,224,,n/e,n/e,n/e,n/e,1657,,n/e,n/e,0,,36,,n/e,n/e,3730,
04:00 - 05:00,633,,n/e,n/e,583,,7607,,1252,,94,,n/e,n/e,n/e,n/e,663,,0,1752,2244,,228,,n/e,n/e,n/e,n/e,1657,,n/e,n/e,0,,36,,n/e,n/e,3780,
05:00 - 06:00,637,,n/e,n/e,580,,8912,,1196,,93,,n/e,n/e,n/e,n/e,663,,0,1177,3224,,255,,n/e,n/e,n/e,n/e,1974,,n/e,n/e,0,,33,,n/e,n/e,3612,
06:00 - 07:00,639,,n/e,n/e,579,,9304,,1195,,93,,n/e,n/e,n/e,n/e,648,,0,130,4191,,644,,n/e,n/e,n/e,n/e,2264,,n/e,n/e,59,,33,,n/e,n/e,3496,
07:00 - 08:00,643,,n/e,n/e,580,,10207,,1334,,93,,n/e,n/e,n/e,n/e,650,,221,,4857,,677,,n/e,n/e,n/e,n/e,2330,,n/e,n/e,1186,,32,,n/e,n/e,3141,
08:00 - 09:00,639,,n/e,n/e,580,,10313,,1261,,93,,n/e,n/e,n/e,n/e,650,,595,,5156,,665,,n/e,n/e,n/e,n/e,2394,,n/e,n/e,3443,,33,,n/e,n/e,2831,
09:00 - 10:00,645,,n/e,n/e,578,,10013,,1183,,93,,n/e,n/e,n/e,n/e,648,,183,,4737,,465,,n/e,n/e,n/e,n/e,2272,,n/e,n/e,5453,,31,,n/e,n/e,2657,
10:00 - 11:00,639,,n/e,n/e,578,,9484,,1184,,94,,n/e,n/e,n/e,n/e,646,,183,,3998,,449,,n/e,n/e,n/e,n/e,2255,,n/e,n/e,6562,,32,,n/e,n/e,2655,
11:00 - 12:00,641,,n/e,n/e,579,,9681,,1181,,93,,n/e,n/e,n/e,n/e,649,,92,,3242,,435,,n/e,n/e,n/e,n/e,2252,,n/e,n/e,6620,,35,,n/e,n/e,2794,
12:00 - 13:00,646,,n/e,n/e,579,,9524,,1183,,93,,n/e,n/e,n/e,n/e,645,,92,,3144,,417,,n/e,n/e,n/e,n/e,2125,,n/e,n/e,5982,,35,,n/e,n/e,2599,
13:00 - 14:00,641,,n/e,n/e,578,,11087,,1189,,95,,n/e,n/e,n/e,n/e,646,,92,,3308,,522,,n/e,n/e,n/e,n/e,2264,,n/e,n/e,4119,,35,,n/e,n/e,2344,
14:00 - 15:00,643,,n/e,n/e,578,,12098,,1342,,107,,n/e,n/e,n/e,n/e,646,,329,,4164,,816,,n/e,n/e,n/e,n/e,2431,,n/e,n/e,1803,,34,,n/e,n/e,1986,
15:00 - 16:00,651,,n/e,n/e,576,,13945,,1607,,95,,n/e,n/e,n/e,n/e,646,,621,,5192,,930,,n/e,n/e,n/e,n/e,2482,,n/e,n/e,176,,32,,n/e,n/e,1826,
16:00 - 17:00,652,,n/e,n/e,576,,15205,,1678,,107,,n/e,n/e,n/e,n/e,648,,965,,6329,,1095,,n/e,n/e,n/e,n/e,2508,,n/e,n/e,0,,30,,n/e,n/e,1881,
17:00 - 18:00,651,,n/e,n/e,580,,14807,,1694,,174,,n/e,n/e,n/e,n/e,649,,1160,,6428,,1131,,n/e,n/e,n/e,n/e,2449,,n/e,n/e,0,,25,,n/e,n/e,1865,
18:00 - 19:00,653,,n/e,n/e,587,,15106,,1639,,247,,n/e,n/e,n/e,n/e,650,,831,,6226,,954,,n/e,n/e,n/e,n/e,2398,,n/e,n/e,0,,22,,n/e,n/e,1692,
19:00 - 20:00,656,,n/e,n/e,638,,14434,,1692,,242,,n/e,n/e,n/e,n/e,649,,718,,5212,,876,,n/e,n/e,n/e,n/e,2346,,n/e,n/e,0,,21,,n/e,n/e,1597,
20:00 - 21:00,652,,n/e,n/e,646,,13769,,1580,,242,,n/e,n/e,n/e,n/e,649,,480,,4288,,791,,n/e,n/e,n/e,n/e,2142,,n/e,n/e,0,,21,,n/e,n/e,1600,
21:00 - 22:00,643,,n/e,n/e,643,,12743,,1315,,239,,n/e,n/e,n/e,n/e,650,,187,,3596,,490,,n/e,n/e,n/e,n/e,1959,,n/e,n/e,0,,23,,n/e,n/e,1566,
22:00 - 23:00,646,,n/e,n/e,668,,11087,,1152,,240,,n/e,n/e,n/e,n/e,650,,38,91,3165,,447,,n/e,n/e,n/e,n/e,1791,,n/e,n/e,0,,23,,n/e,n/e,1513,
23:00 - 00:00,648,,n/e,n/e,679,,8974,,1222,,238,,n/e,n/e,n/e,n/e,648,,0,264,2637,,287,,n/e,n/e,n/e,n/e,1484,,n/e,n/e,0,,22,,n/e,n/e,1411,
