Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Sector1,EfficiencySector1,ChargingEfficiencySector1,Sector2,EfficiencySector2,ChargingEfficiencySector2
,generators offwind_UK,13923.999999999998,1,UK,,,WTOF,WIN,1.0,0.0,0.0,0.02,0.02,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,generators offwind-ac_UK,0.0936999107836264,1,UK,,,WTOF,WIN,1.0,0.0,0.0,1.2962962963,1.2962962963,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,generators offwind-dc_UK,0.0621472507291478,1,UK,,,WTOF,WIN,1.0,0.0,0.0,1.2962962963,1.2962962963,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,generators onwind_UK,72497.41423458487,1,UK,,,WTON,WIN,1.0,0.0,0.0,0.02,0.02,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,generators ror_UK,3636.175,1,UK,,,HROR,WAT,1.0,0.0,0.0,0.0709677419,0.0709677419,0.0,0.0,0.0,0.0,1.0,0.3,0.0,,,,,,,,,,,,,,,,,,,,
,generators solar_UK,14649.081292706403,1,UK,,,PHOT,SUN,1.0,0.0,0.0,0.02,0.02,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,generators solar rooftop_UK,20212.994446854616,1,UK,,,PHOT,SUN,1.0,0.0,0.0,0.02,0.02,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Electrolysis_UK_1,3376.2735418622383,1,UK,,,PEME,ELE,0.7,2.25,1.0,0.6,0.6,20.0,6.0,3.5,0.2,0.55,0.083333333,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Electrolysis_UK_2,1688.1367709311191,1,UK,,,ALKE,ELE,0.7875000000000001,7.0,4.5,0.175,0.175,100.0,12.5,9.0,0.3,0.575,1.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Electrolysis_UK_3,844.0683854655596,1,UK,,,SOXE,ELE,0.9625,14.0,7.0,0.06,0.06,400.0,25.0,15.0,0.4,0.7,2.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_UK_1,0.0268629188096615,1,UK,,,PEFC,HYD,0.7,0.5,1.05,0.6,0.6,30.0,7.5,6.0,0.2,0.44,0.083333333,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_UK_2,0.0134314594048307,1,UK,,,SOFC,HYD,0.75,14.0,7.0,0.075,0.075,300.0,19.0,12.0,0.3,0.54,1.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_UK_3,0.0067157297024153,1,UK,,,MCFC,HYD,0.7250000000000001,24.0,14.0,0.065,0.065,600.0,31.0,18.0,0.35,0.49,4.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_UK_4,0.0033578648512076,1,UK,,,PAFC,HYD,0.675,7.0,3.5,0.25,0.25,200.0,15.5,9.0,0.25,0.39,0.5,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_UK_5,0.0016789324256038,1,UK,,,ALFC,HYD,0.75,4.5,2.25,0.375,0.375,100.0,10.0,6.0,0.3,0.49,100.0,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 Fuel Cell_UK_6,0.0008394662128019,1,UK,,,REFC,HYD,0.675,2.25,1.1,0.25,0.25,60.0,7.5,6.0,0.25,0.44,0.166666667,0.0,,,,,,,,,,,,,,,,,,,,
,links H2 turbine_UK_1,0.0816483665706458,1,UK,,,GTUR,HYD,0.24,0.0,0.0,0.092068966,0.092068966,1866.996374,868.0702473,0.0,0.172413793,0.11,0.0,0.6979286075,,,,,,,,,,,,,,,,,,,,
,links H2 turbine_UK_2,0.0408241832853229,1,UK,,,COMC,HYD,0.525,5.0,1.0,0.2482222222,0.2482222222,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,links H2 turbine_UK_3,0.0204120916426614,1,UK,,,ICEN,HYD,0.49,0.0,0.0,1.0,1.0,,,0.0,0.3,0.49,0.0,0.489795918367347,,,,,,,,,,,,,,,,,,,,
,links Haber-Bosch_UK,121.9608975638368,1,UK,,,HBBS,ELE,0.875,36.0,18.0,0.6,0.6,4000.0,37.5,30.0,0.6,0.6,12.0,0.0,,,,,,,,,,,,,,,,,,,,
