00:00 - 01:00,251,,3175,,185,,241,,234,,3,,n/e,n/e,n/e,n/e,n/e,n/e,0,0,51,,23,,n/e,n/e,3485,,94,,271,,0,,20,,n/e,n/e,120,
01:00 - 02:00,244,,2676,,188,,240,,230,,3,,n/e,n/e,n/e,n/e,n/e,n/e,0,81,51,,23,,n/e,n/e,3486,,93,,269,,0,,20,,n/e,n/e,121,
02:00 - 03:00,243,,2609,,186,,239,,230,,3,,n/e,n/e,n/e,n/e,n/e,n/e,0,463,51,,22,,n/e,n/e,3487,,91,,267,,0,,20,,n/e,n/e,120,
03:00 - 04:00,242,,2604,,186,,240,,232,,3,,n/e,n/e,n/e,n/e,n/e,n/e,0,1061,51,,22,,n/e,n/e,3483,,90,,266,,0,,20,,n/e,n/e,141,
04:00 - 05:00,243,,2630,,187,,243,,232,,3,,n/e,n/e,n/e,n/e,n/e,n/e,0,1117,51,,22,,n/e,n/e,3483,,91,,265,,0,,20,,n/e,n/e,169,
05:00 - 06:00,243,,2649,,192,,254,,229,,3,,n/e,n/e,n/e,n/e,n/e,n/e,0,1113,51,,22,,n/e,n/e,3483,,91,,266,,0,,18,,n/e,n/e,174,
06:00 - 07:00,243,,2618,,199,,281,,222,,3,,n/e,n/e,n/e,n/e,n/e,n/e,0,1105,52,,27,,n/e,n/e,3482,,103,,270,,0,,18,,n/e,n/e,187,
07:00 - 08:00,245,,2628,,198,,288,,225,,3,,n/e,n/e,n/e,n/e,n/e,n/e,0,827,61,,32,,n/e,n/e,3483,,107,,270,,3,,18,,n/e,n/e,196,
08:00 - 09:00,244,,2560,,194,,284,,225,,3,,n/e,n/e,n/e,n/e,n/e,n/e,0,710,54,,29,,n/e,n/e,3482,,109,,272,,5,,18,,n/e,n/e,218,
09:00 - 10:00,246,,2600,,189,,288,,227,,3,,n/e,n/e,n/e,n/e,n/e,n/e,0,162,52,,23,,n/e,n/e,3466,,109,,271,,18,,18,,n/e,n/e,226,
