00:00 - 01:00,344,,n/e,n/e,n/e,n/e,1617,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,25,24,,n/e,n/e,n/e,n/e,4877,,473,,n/e,n/e,0,,246,,570,,465,
01:00 - 02:00,305,,n/e,n/e,n/e,n/e,1593,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,444,24,,n/e,n/e,n/e,n/e,4877,,464,,n/e,n/e,0,,250,,586,,494,
02:00 - 03:00,233,,n/e,n/e,n/e,n/e,1555,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,768,24,,n/e,n/e,n/e,n/e,4878,,462,,n/e,n/e,0,,249,,543,,515,
03:00 - 04:00,230,,n/e,n/e,n/e,n/e,1581,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,596,24,,n/e,n/e,n/e,n/e,4877,,463,,n/e,n/e,0,,250,,563,,500,
04:00 - 05:00,242,,n/e,n/e,n/e,n/e,1599,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,857,24,,n/e,n/e,n/e,n/e,4876,,462,,n/e,n/e,0,,250,,554,,473,
05:00 - 06:00,266,,n/e,n/e,n/e,n/e,1603,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,914,23,,n/e,n/e,n/e,n/e,4875,,473,,n/e,n/e,0,,252,,592,,453,
06:00 - 07:00,269,,n/e,n/e,n/e,n/e,1626,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,536,23,,n/e,n/e,n/e,n/e,4872,,474,,n/e,n/e,0,,249,,634,,403,
07:00 - 08:00,270,,n/e,n/e,n/e,n/e,1584,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,345,23,,n/e,n/e,n/e,n/e,4869,,494,,n/e,n/e,0,,250,,604,,396,
08:00 - 09:00,277,,n/e,n/e,n/e,n/e,1658,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,24,23,,n/e,n/e,n/e,n/e,4869,,558,,n/e,n/e,0,,245,,585,,371,
09:00 - 10:00,293,,n/e,n/e,n/e,n/e,1710,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,2,23,,n/e,n/e,n/e,n/e,4882,,598,,n/e,n/e,28,,245,,561,,392,
10:00 - 11:00,297,,n/e,n/e,n/e,n/e,1844,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,1,23,,n/e,n/e,n/e,n/e,4897,,612,,n/e,n/e,178,,242,,572,,357,
11:00 - 12:00,296,,n/e,n/e,n/e,n/e,1816,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,1,23,,n/e,n/e,n/e,n/e,4909,,627,,n/e,n/e,424,,244,,581,,352,
12:00 - 13:00,295,,n/e,n/e,n/e,n/e,1797,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,133,,22,,n/e,n/e,n/e,n/e,4919,,618,,n/e,n/e,588,,237,,575,,353,
13:00 - 14:00,316,,n/e,n/e,n/e,n/e,1683,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,22,20,22,,n/e,n/e,n/e,n/e,4929,,607,,n/e,n/e,478,,246,,624,,424,
14:00 - 15:00,285,,n/e,n/e,n/e,n/e,1840,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,223,21,,n/e,n/e,n/e,n/e,4936,,605,,n/e,n/e,191,,246,,624,,463,
15:00 - 16:00,275,,n/e,n/e,n/e,n/e,1929,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,369,21,,n/e,n/e,n/e,n/e,4940,,610,,n/e,n/e,57,,244,,619,,468,
16:00 - 17:00,279,,n/e,n/e,n/e,n/e,1605,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,75,0,21,,n/e,n/e,n/e,n/e,4937,,615,,n/e,n/e,3,,245,,635,,487,
17:00 - 18:00,283,,n/e,n/e,n/e,n/e,1688,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,661,,21,,n/e,n/e,n/e,n/e,4931,,606,,n/e,n/e,0,,249,,644,,520,
