00:00 - 01:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,254,,32,,318,,n/e,n/e,3017,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,5,
01:00 - 02:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,122,,32,,308,,n/e,n/e,3017,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,4,
02:00 - 03:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,116,,31,,299,,n/e,n/e,3017,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,2,
03:00 - 04:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,97,,31,,295,,n/e,n/e,3016,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,1,
04:00 - 05:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,94,,31,,309,,n/e,n/e,3016,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,0,
05:00 - 06:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,74,,31,,338,,n/e,n/e,3016,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,0,
06:00 - 07:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,60,,31,,325,,n/e,n/e,3016,,n/e,n/e,n/e,n/e,0,,n/e,n/e,n/e,n/e,0,
07:00 - 08:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,57,,31,,310,,n/e,n/e,2960,,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,1,
08:00 - 09:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,79,,31,,293,,n/e,n/e,2957,,n/e,n/e,n/e,n/e,12,,n/e,n/e,n/e,n/e,3,
09:00 - 10:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,90,,31,,301,,n/e,n/e,2955,,n/e,n/e,n/e,n/e,27,,n/e,n/e,n/e,n/e,4,
10:00 - 11:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,95,,31,,300,,n/e,n/e,2954,,n/e,n/e,n/e,n/e,38,,n/e,n/e,n/e,n/e,5,
11:00 - 12:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,134,,31,,308,,n/e,n/e,2979,,n/e,n/e,n/e,n/e,41,,n/e,n/e,n/e,n/e,2,
12:00 - 13:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,118,,31,,307,,n/e,n/e,3002,,n/e,n/e,n/e,n/e,36,,n/e,n/e,n/e,n/e,1,
13:00 - 14:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,133,,31,,326,,n/e,n/e,3007,,n/e,n/e,n/e,n/e,23,,n/e,n/e,n/e,n/e,1,
14:00 - 15:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,127,,31,,343,,n/e,n/e,2964,,n/e,n/e,n/e,n/e,8,,n/e,n/e,n/e,n/e,3,
