From / To,AL,AM,AT,AZ,BY,BE,BA,BG,HR,CY,CZ,DK,EE,FI,FR,GE,DE,EL,HU,IS,IE,IT,XK,LV,LT,LU,MT,MD,ME,NL,MK,NO,PL,PT,RO,RU,RS,SK,SI,ES,SE,CH,TR,UA,UK
DK,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,700,0,1632,0,0,0,0,0,0,0,0,2300,0,0,0,1400
EE,0,0,0,0,0.000000001,0,0,0,0,0,0,0,-,1000,0,0,0,0,0,0,0,0,0,922,0,0,0,0,0,0,0,0,0,0,0,0.000000001,0,0,0,0,0,0,0,0,0
FI,0,0,0,0,0,0,0,0,0,0,0,0,1016,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0.0000000014,0,0,0,0,3200,0,0,0,0
FR,0,0,0,0,0,2100,0,0,0,0,0,0,0,0,-,0,2200,0,0,0,0,4508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3284,0,3200,0,0,3514
GE,0,200,0,700,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,700,0,0
DE,0,0,4900,0,0,1000,0,0,0,0,2100,2500,0,0,2500,0,-,0,0,0,0,0,0,0,0,4000,0,0,0,3500,0,1400,2000,0,0,0,0,0,0,0,600,3500,0,0,0
EL,250,0,0,0,0,0,0,600,0,0.00001,0,0,0,0,0,0,0,-,0,0,0,500,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,100,0,0
HU,0,0,1100,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,700,1500,1100,0,0,0,0,900,0
IS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001
IE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
