,bus,type,carrier,e_nom,e_nom_mod,e_nom_extendable,e_nom_min,e_nom_max,e_nom_set,e_min_pu,e_max_pu,e_initial,e_initial_per_period,e_cyclic,e_cyclic_per_period,p_set,q_set,e_set,sign,marginal_cost,marginal_cost_quadratic,marginal_cost_storage,capital_cost,overnight_cost,discount_rate,fom_cost,standing_loss,active,build_year,lifetime,e_nom_opt,country,node,heat_load
NL1 0 residential rural water tanks-2030,NL1 0 residential rural water tanks,,residential rural water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.009500910730793014,0.0,0.0,35104.335138024115,,,0.0,0.013792883256083743,True,2030,20.0,0.3308361027782977,NL,NL1 0,residential rural heat
NL1 0 services rural water tanks-2030,NL1 0 services rural water tanks,,services rural water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.010652681601013667,0.0,0.0,35104.335138024115,,,0.0,0.013792883256083743,True,2030,20.0,1.7106336080301008,NL,NL1 0,services rural heat
NL1 0 residential urban decentral water tanks-2030,NL1 0 residential urban decentral water tanks,,residential urban decentral water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.010362601531585594,0.0,0.0,35104.335138024115,,,0.0,0.013792883256083743,True,2030,20.0,0.34347664405787914,NL,NL1 0,residential urban decentral heat
NL1 0 services urban decentral water tanks-2030,NL1 0 services urban decentral water tanks,,services urban decentral water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.01034937810197565,0.0,0.0,35104.335138024115,,,0.0,0.013792883256083743,True,2030,20.0,0.4096152021038474,NL,NL1 0,services urban decentral heat
NL1 0 urban central water tanks-2030,NL1 0 urban central water tanks,,urban central water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.010144913914982946,0.0,0.0,51.13948964357274,,,0.0,0.0002314546917104865,True,2030,25.0,436948.5714929997,NL,NL1 0,urban central heat
