name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,p_init,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,overnight_cost,discount_rate,fom_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt
NL1 0 offwind-ac-2030,NL1 0,,,131.0654667651962,0.0,True,0.0,3218.2622364026006,,0.0,1.0000000000000002,,,-inf,inf,0.0,1.0,offwind-ac,0.025157102936217667,0.0,True,2030,30.0,205851.12463939027,,,0.0,1.0000000000000002,False,0.0,0.0,0.0,0,0,1,0,,,,,1699.0119698838546,3218.2522633331428
NL1 0 offwind-dc-2030,NL1 0,,,2268.880518464652,0.0,True,0.0,50152.60808329759,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-dc,0.025043066118794664,0.0,True,2030,30.0,247823.67698350435,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,29417.419348985502,28305.740897662465
NL1 0 onwind-2030,NL1 0,,,4188.375,0.0,True,0.0,40542.46810776089,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.02400537612914864,0.0,True,2030,30.0,115719.82225714701,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,15185.13970981054,1901.5048629405717
NL1 0 solar-2030,NL1 0,,,11110.021999999999,0.0,True,0.0,149493.92467116608,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.020976690838565643,0.0,True,2030,40.0,52359.079122601375,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,18271.217712554142,0.20620558245171255
NL1 0 oil,NL1 0 oil,PQ,,0.0,0.0,True,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,oil,52.92122871808585,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,388766.74622971186
NL1 0 gas,NL1 0 gas,PQ,,75342.2763646117,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,gas,35.11096704321841,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,75342.2763646117
NL1 0 residential rural solar thermal collector-2030,NL1 0 residential rural heat,PQ,,0.0,0.0,True,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,residential rural solar thermal,0.009186653420739642,0.0,True,2030,20.0,27211.936169229415,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.10890791323824835
NL1 0 services rural solar thermal collector-2030,NL1 0 services rural heat,PQ,,0.0,0.0,True,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,services rural solar thermal,0.010483724303684074,0.0,True,2030,20.0,27211.936169229415,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.10939466942589057
NL1 0 residential urban decentral solar thermal collector-2030,NL1 0 residential urban decentral heat,PQ,,0.0,0.0,True,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,residential urban decentral solar thermal,0.009573073233458204,0.0,True,2030,20.0,27211.936169229415,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.11290172455028731
NL1 0 services urban decentral solar thermal collector-2030,NL1 0 services urban decentral heat,PQ,,0.0,0.0,True,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,services urban decentral solar thermal,0.010392622536470813,0.0,True,2030,20.0,27211.936169229415,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.10986508038460947
NL1 0 urban central solar thermal collector-2030,NL1 0 urban central heat,PQ,,0.0,0.0,True,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,urban central solar thermal,0.010165342175722809,0.0,True,2030,20.0,17664.37569062365,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.17623206878081474
NL1 0 solar rooftop-2030,NL1 0 low voltage,PQ,,0.0,0.0,True,0.0,15310.666093519449,,0.0,1.0,,,-inf,inf,0.0,1.0,solar rooftop,0.02050328797758584,0.0,True,2030,40.0,45519.755319603464,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,15310.617197951555
NL1 0  solar-2000,NL1 0,PQ,,13.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.020718778151361222,0.0,True,2000,40.0,52359.079122601375,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,13.0
NL1 0  onwind-2005,NL1 0,PQ,,777.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,onwind,0.02512443675746181,0.0,True,2005,30.0,115719.82225714701,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,777.0
NL1 0  solar-2005,NL1 0,PQ,,38.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01940279900276274,0.0,True,2005,40.0,52359.079122601375,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,38.0
NL1 0  offwind-ac-2010,NL1 0,PQ,,228.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind,0.025103185451964813,0.0,True,2010,30.0,207408.24037726465,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,228.0
