name,bus,bus0,bus1,bus2,bus3,bus4,efficiency,efficiency2,efficiency3,efficiency4,carrier,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,p_nom_opt,urban central heat_fraction,services urban decentral heat_fraction,services rural heat_fraction,residential rural heat_fraction,residential urban decentral heat_fraction
NL1 0 offwind-ac-2030,NL1 0,,,,,,1.0000000000000002,,,,offwind-ac,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,3218.2522633331428,0.0,0.0,0.0,0.0,0.0
NL1 0 offwind-dc-2030,NL1 0,,,,,,1.0,,,,offwind-dc,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,28305.740897662465,0.0,0.0,0.0,0.0,0.0
NL1 0 onwind-2030,NL1 0,,,,,,1.0,,,,onwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1901.504862940572,0.0,0.0,0.0,0.0,0.0
NL1 0 solar-2030,NL1 0,,,,,,1.0,,,,solar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.2062055824517125,0.0,0.0,0.0,0.0,0.0
NL1 0 oil,NL1 0 oil,,,,,,1.0,,,,oil,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,388766.7462297119,0.0,0.0,0.0,0.0,0.0
NL1 0 gas,NL1 0 gas,,,,,,1.0,,,,gas,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,75342.2763646117,0.0,0.0,0.0,0.0,0.0
NL1 0 residential rural solar thermal collector-2030,NL1 0 residential rural heat,,,,,,1.0,,,,residential rural solar thermal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.1089079132382483,0.0,0.0,0.0,0.0,0.0
NL1 0 services rural solar thermal collector-2030,NL1 0 services rural heat,,,,,,1.0,,,,services rural solar thermal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.1093946694258905,0.0,0.0,0.0,0.0,0.0
NL1 0 residential urban decentral solar thermal collector-2030,NL1 0 residential urban decentral heat,,,,,,1.0,,,,residential urban decentral solar thermal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.1129017245502873,0.0,0.0,0.0,0.0,0.0
NL1 0 services urban decentral solar thermal collector-2030,NL1 0 services urban decentral heat,,,,,,1.0,,,,services urban decentral solar thermal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.1098650803846094,0.0,0.0,0.0,0.0,0.0
