name,bus0,bus1,bus2,bus3,bus4,type,carrier,efficiency,efficiency2,efficiency3,efficiency4,active,build_year,lifetime,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_set,p_init,p_min_pu,p_max_pu,capital_cost,overnight_cost,discount_rate,fom_cost,marginal_cost,marginal_cost_quadratic,stand_by_cost,length,terrain_factor,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,delay,delay2,delay3,delay4,cyclic_delay,cyclic_delay2,cyclic_delay3,cyclic_delay4,p_nom_opt,geometry,tags,under_construction,underground,underwater_fraction,length_original,reversed
NL1 0 residential urban decentral air heat pump-2030,NL1 0 low voltage,NL1 0 residential urban decentral heat,,,,,residential urban decentral air heat pump,1.0,1.0,1.0,1.0,True,2030,18.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,464475.86492974695,,,0.0,0.00921211052117525,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,1807.7646217924482,,,,,,0.0,False
NL1 0 residential urban decentral water tanks charger,NL1 0 residential urban decentral heat,NL1 0 residential urban decentral water tanks,,,,,residential urban decentral water tanks charger,0.8367,1.0,1.0,1.0,True,0,inf,0.0,0.0,True,0.0,inf,,,,0.0,1.0,0.0,,,0.0,0.010607686632237852,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,47.51803545474424,,,,,,0.0,False
NL1 0 residential urban decentral water tanks discharger,NL1 0 residential urban decentral water tanks,NL1 0 residential urban decentral heat,,,,,residential urban decentral water tanks discharger,0.8367,1.0,1.0,1.0,True,0,inf,0.0,0.0,True,0.0,inf,,,,0.0,1.0,0.0,,,0.0,0.009962256655160272,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,39.751422121097974,,,,,,0.0,False
NL1 0 residential urban decentral resistive heater-2030,NL1 0 low voltage,NL1 0 residential urban decentral heat,,,,,residential urban decentral resistive heater,0.9,1.0,1.0,1.0,True,2030,20.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,79054.77447986482,,,0.0,0.009194319211430938,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.5648483642491113,,,,,,0.0,False
NL1 0 residential urban decentral gas boiler-2030,NL1 0 gas,NL1 0 residential urban decentral heat,co2 atmosphere,,,,residential urban decentral gas boiler,0.98,0.198,1.0,1.0,True,2030,20.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,97846.11056504669,,,0.0,0.009952053215270167,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.08927458503835856,,,,,,0.0,False
NL1 0 services urban decentral air heat pump-2030,NL1 0 low voltage,NL1 0 services urban decentral heat,,,,,services urban decentral air heat pump,1.0,1.0,1.0,1.0,True,2030,18.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,464475.86492974695,,,0.0,0.010890473269890169,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,954.3519899856888,,,,,,0.0,False
NL1 0 services urban decentral water tanks charger,NL1 0 services urban decentral heat,NL1 0 services urban decentral water tanks,,,,,services urban decentral water tanks charger,0.8367,1.0,1.0,1.0,True,0,inf,0.0,0.0,True,0.0,inf,,,,0.0,1.0,0.0,,,0.0,0.010466790797339639,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,47.086306152378306,,,,,,0.0,False
NL1 0 services urban decentral water tanks discharger,NL1 0 services urban decentral water tanks,NL1 0 services urban decentral heat,,,,,services urban decentral water tanks discharger,0.8367,1.0,1.0,1.0,True,0,inf,0.0,0.0,True,0.0,inf,,,,0.0,1.0,0.0,,,0.0,0.010336145474657294,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,39.38893744175606,,,,,,0.0,False
NL1 0 services urban decentral resistive heater-2030,NL1 0 low voltage,NL1 0 services urban decentral heat,,,,,services urban decentral resistive heater,0.9,1.0,1.0,1.0,True,2030,20.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,79054.77447986482,,,0.0,0.009392168093258,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,160.202425832307,,,,,,0.0,False
NL1 0 services urban decentral gas boiler-2030,NL1 0 gas,NL1 0 services urban decentral heat,co2 atmosphere,,,,services urban decentral gas boiler,0.98,0.198,1.0,1.0,True,2030,20.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,97846.11056504669,,,0.0,0.010326085571366952,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.1101145144849474,,,,,,0.0,False
NL1 0 urban central air heat pump-2030,NL1 0 low voltage,NL1 0 urban central heat,,,,,urban central air heat pump,1.0,1.0,1.0,1.0,True,2030,25.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,316283.0357721848,,,0.0,0.010038560722285653,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.061654565431380655,,,,,,0.0,False
NL1 0 urban central water tanks charger,NL1 0 urban central heat,NL1 0 urban central water tanks,,,,,urban central water tanks charger,0.8367,1.0,1.0,1.0,True,0,inf,0.0,0.0,True,0.0,inf,,,,0.0,1.0,0.0,,,0.0,0.010494651811874828,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,6058.016223478148,,,,,,0.0,False
NL1 0 urban central water tanks discharger,NL1 0 urban central water tanks,NL1 0 urban central heat,,,,,urban central water tanks discharger,0.8367,1.0,1.0,1.0,True,0,inf,0.0,0.0,True,0.0,inf,,,,0.0,1.0,0.0,,,0.0,0.010002648532601832,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,6661.2822840903145,,,,,,0.0,False
NL1 0 urban central resistive heater-2030,NL1 0 low voltage,NL1 0 urban central heat,,,,,urban central resistive heater,0.99,1.0,1.0,1.0,True,2030,20.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,7702.175148330644,,,0.0,0.010830709013250983,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,6393.750484770163,,,,,,0.0,False
NL1 0 urban central gas boiler-2030,NL1 0 gas,NL1 0 urban central heat,co2 atmosphere,,,,urban central gas boiler,1.04,0.198,1.0,1.0,True,2030,25.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,7494.287552425229,,,0.0,0.009648443248883372,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.8892946726257012,,,,,,0.0,False
NL1 0 urban central gas CHP-2030,NL1 0 gas,NL1 0,NL1 0 urban central heat,co2 atmosphere,,,urban central gas CHP,0.41,0.41,0.198,1.0,True,2030,25.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,28919.11093124968,,,0.0,4.454361751304261,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,190.03109280275967,,,,,,0.0,False
NL1 0 urban central gas CHP CC-2030,NL1 0 gas,NL1 0,NL1 0 urban central heat,co2 atmosphere,NL1 0 co2 stored,,urban central gas CHP CC,0.38821999999999995,0.43772,0.019799999999999998,0.17820000000000003,True,2030,25.0,0.0,0.0,True,0.0,inf,,,,0.0,1.0,90831.4134374175,,,0.0,4.453848064181077,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.8458688789867029,,,,,,0.0,False
NL1 0 biogas to gas,NL1 0 biogas,NL1 0 gas,co2 atmosphere,,,,biogas to gas,1.0,-0.198,1.0,1.0,True,0,inf,0.0,0.0,True,0.0,inf,,,,0.0,1.0,209515.79321695745,,,0.0,3.6798518470814727,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,0,0,0,True,True,True,True,0.05851679114128261,,,,,,0.0,False
